# Alchemical Symbols
U+1F700, \xf0\x9f\x9c\x80, ALCHEMICAL SYMBOL FOR QUINTESSENCE
U+1F701, \xf0\x9f\x9c\x81, ALCHEMICAL SYMBOL FOR AIR
U+1F702, \xf0\x9f\x9c\x82, ALCHEMICAL SYMBOL FOR FIRE
U+1F703, \xf0\x9f\x9c\x83, ALCHEMICAL SYMBOL FOR EARTH
U+1F704, \xf0\x9f\x9c\x84, ALCHEMICAL SYMBOL FOR WATER
U+1F705, \xf0\x9f\x9c\x85, ALCHEMICAL SYMBOL FOR AQUAFORTIS
U+1F706, \xf0\x9f\x9c\x86, ALCHEMICAL SYMBOL FOR AQUA REGIA
U+1F707, \xf0\x9f\x9c\x87, ALCHEMICAL SYMBOL FOR AQUA REGIA-2
U+1F708, \xf0\x9f\x9c\x88, ALCHEMICAL SYMBOL FOR AQUA VITAE
U+1F709, \xf0\x9f\x9c\x89, ALCHEMICAL SYMBOL FOR AQUA VITAE-2
U+1F70A, \xf0\x9f\x9c\x8a, ALCHEMICAL SYMBOL FOR VINEGAR
U+1F70B, \xf0\x9f\x9c\x8b, ALCHEMICAL SYMBOL FOR VINEGAR-2
U+1F70C, \xf0\x9f\x9c\x8c, ALCHEMICAL SYMBOL FOR VINEGAR-3
U+1F70D, \xf0\x9f\x9c\x8d, ALCHEMICAL SYMBOL FOR SULFUR
U+1F70E, \xf0\x9f\x9c\x8e, ALCHEMICAL SYMBOL FOR PHILOSOPHERS SULFUR
U+1F70F, \xf0\x9f\x9c\x8f, ALCHEMICAL SYMBOL FOR BLACK SULFUR
U+1F710, \xf0\x9f\x9c\x90, ALCHEMICAL SYMBOL FOR MERCURY SUBLIMATE
U+1F711, \xf0\x9f\x9c\x91, ALCHEMICAL SYMBOL FOR MERCURY SUBLIMATE-2
U+1F712, \xf0\x9f\x9c\x92, ALCHEMICAL SYMBOL FOR MERCURY SUBLIMATE-3
U+1F713, \xf0\x9f\x9c\x93, ALCHEMICAL SYMBOL FOR CINNABAR
U+1F714, \xf0\x9f\x9c\x94, ALCHEMICAL SYMBOL FOR SALT
U+1F715, \xf0\x9f\x9c\x95, ALCHEMICAL SYMBOL FOR NITRE
U+1F716, \xf0\x9f\x9c\x96, ALCHEMICAL SYMBOL FOR VITRIOL
U+1F717, \xf0\x9f\x9c\x97, ALCHEMICAL SYMBOL FOR VITRIOL-2
U+1F718, \xf0\x9f\x9c\x98, ALCHEMICAL SYMBOL FOR ROCK SALT
U+1F719, \xf0\x9f\x9c\x99, ALCHEMICAL SYMBOL FOR ROCK SALT-2
U+1F71A, \xf0\x9f\x9c\x9a, ALCHEMICAL SYMBOL FOR GOLD
U+1F71B, \xf0\x9f\x9c\x9b, ALCHEMICAL SYMBOL FOR SILVER
U+1F71C, \xf0\x9f\x9c\x9c, ALCHEMICAL SYMBOL FOR IRON ORE
U+1F71D, \xf0\x9f\x9c\x9d, ALCHEMICAL SYMBOL FOR IRON ORE-2
U+1F71E, \xf0\x9f\x9c\x9e, ALCHEMICAL SYMBOL FOR CROCUS OF IRON
U+1F71F, \xf0\x9f\x9c\x9f, ALCHEMICAL SYMBOL FOR REGULUS OF IRON
U+1F720, \xf0\x9f\x9c\xa0, ALCHEMICAL SYMBOL FOR COPPER ORE
U+1F721, \xf0\x9f\x9c\xa1, ALCHEMICAL SYMBOL FOR IRON-COPPER ORE
U+1F722, \xf0\x9f\x9c\xa2, ALCHEMICAL SYMBOL FOR SUBLIMATE OF COPPER
U+1F723, \xf0\x9f\x9c\xa3, ALCHEMICAL SYMBOL FOR CROCUS OF COPPER
U+1F724, \xf0\x9f\x9c\xa4, ALCHEMICAL SYMBOL FOR CROCUS OF COPPER-2
U+1F725, \xf0\x9f\x9c\xa5, ALCHEMICAL SYMBOL FOR COPPER ANTIMONIATE
U+1F726, \xf0\x9f\x9c\xa6, ALCHEMICAL SYMBOL FOR SALT OF COPPER ANTIMONIATE
U+1F727, \xf0\x9f\x9c\xa7, ALCHEMICAL SYMBOL FOR SUBLIMATE OF SALT OF COPPER
U+1F728, \xf0\x9f\x9c\xa8, ALCHEMICAL SYMBOL FOR VERDIGRIS
U+1F729, \xf0\x9f\x9c\xa9, ALCHEMICAL SYMBOL FOR TIN ORE
U+1F72A, \xf0\x9f\x9c\xaa, ALCHEMICAL SYMBOL FOR LEAD ORE
U+1F72B, \xf0\x9f\x9c\xab, ALCHEMICAL SYMBOL FOR ANTIMONY ORE
U+1F72C, \xf0\x9f\x9c\xac, ALCHEMICAL SYMBOL FOR SUBLIMATE OF ANTIMONY
U+1F72D, \xf0\x9f\x9c\xad, ALCHEMICAL SYMBOL FOR SALT OF ANTIMONY
U+1F72E, \xf0\x9f\x9c\xae, ALCHEMICAL SYMBOL FOR SUBLIMATE OF SALT OF ANTIMONY
U+1F72F, \xf0\x9f\x9c\xaf, ALCHEMICAL SYMBOL FOR VINEGAR OF ANTIMONY
U+1F730, \xf0\x9f\x9c\xb0, ALCHEMICAL SYMBOL FOR REGULUS OF ANTIMONY
U+1F731, \xf0\x9f\x9c\xb1, ALCHEMICAL SYMBOL FOR REGULUS OF ANTIMONY-2
U+1F732, \xf0\x9f\x9c\xb2, ALCHEMICAL SYMBOL FOR REGULUS
U+1F733, \xf0\x9f\x9c\xb3, ALCHEMICAL SYMBOL FOR REGULUS-2
U+1F734, \xf0\x9f\x9c\xb4, ALCHEMICAL SYMBOL FOR REGULUS-3
U+1F735, \xf0\x9f\x9c\xb5, ALCHEMICAL SYMBOL FOR REGULUS-4
