# Braille Patterns
U+2800, \xe2\xa0\x80, BRAILLE PATTERN BLANK
U+2801, \xe2\xa0\x81, BRAILLE PATTERN DOTS-1
U+2802, \xe2\xa0\x82, BRAILLE PATTERN DOTS-2
U+2803, \xe2\xa0\x83, BRAILLE PATTERN DOTS-12
U+2804, \xe2\xa0\x84, BRAILLE PATTERN DOTS-3
U+2805, \xe2\xa0\x85, BRAILLE PATTERN DOTS-13
U+2806, \xe2\xa0\x86, BRAILLE PATTERN DOTS-23
U+2807, \xe2\xa0\x87, BRAILLE PATTERN DOTS-123
U+2808, \xe2\xa0\x88, BRAILLE PATTERN DOTS-4
U+2809, \xe2\xa0\x89, BRAILLE PATTERN DOTS-14
U+280A, \xe2\xa0\x8a, BRAILLE PATTERN DOTS-24
U+280B, \xe2\xa0\x8b, BRAILLE PATTERN DOTS-124
U+280C, \xe2\xa0\x8c, BRAILLE PATTERN DOTS-34
U+280D, \xe2\xa0\x8d, BRAILLE PATTERN DOTS-134
U+280E, \xe2\xa0\x8e, BRAILLE PATTERN DOTS-234
U+280F, \xe2\xa0\x8f, BRAILLE PATTERN DOTS-1234
U+2810, \xe2\xa0\x90, BRAILLE PATTERN DOTS-5
U+2811, \xe2\xa0\x91, BRAILLE PATTERN DOTS-15
U+2812, \xe2\xa0\x92, BRAILLE PATTERN DOTS-25
U+2813, \xe2\xa0\x93, BRAILLE PATTERN DOTS-125
U+2814, \xe2\xa0\x94, BRAILLE PATTERN DOTS-35
U+2815, \xe2\xa0\x95, BRAILLE PATTERN DOTS-135
U+2816, \xe2\xa0\x96, BRAILLE PATTERN DOTS-235
U+2817, \xe2\xa0\x97, BRAILLE PATTERN DOTS-1235
U+2818, \xe2\xa0\x98, BRAILLE PATTERN DOTS-45
U+2819, \xe2\xa0\x99, BRAILLE PATTERN DOTS-145
U+281A, \xe2\xa0\x9a, BRAILLE PATTERN DOTS-245
U+281B, \xe2\xa0\x9b, BRAILLE PATTERN DOTS-1245
