# Byzantine Musical Symbols
U+1D000, \xf0\x9d\x80\x80, BYZANTINE MUSICAL SYMBOL PSILI
U+1D001, \xf0\x9d\x80\x81, BYZANTINE MUSICAL SYMBOL DASEIA
U+1D002, \xf0\x9d\x80\x82, BYZANTINE MUSICAL SYMBOL PERISPOMENI
U+1D003, \xf0\x9d\x80\x83, BYZANTINE MUSICAL SYMBOL OXEIA EKFONITIKON
U+1D004, \xf0\x9d\x80\x84, BYZANTINE MUSICAL SYMBOL OXEIA DIPLI
U+1D005, \xf0\x9d\x80\x85, BYZANTINE MUSICAL SYMBOL VAREIA EKFONITIKON
U+1D006, \xf0\x9d\x80\x86, BYZANTINE MUSICAL SYMBOL VAREIA DIPLI
U+1D007, \xf0\x9d\x80\x87, BYZANTINE MUSICAL SYMBOL KATHISTI
U+1D008, \xf0\x9d\x80\x88, BYZANTINE MUSICAL SYMBOL SYRMATIKI
U+1D009, \xf0\x9d\x80\x89, BYZANTINE MUSICAL SYMBOL PARAKLITIKI
U+1D00A, \xf0\x9d\x80\x8a, BYZANTINE MUSICAL SYMBOL YPOKRISIS
U+1D00B, \xf0\x9d\x80\x8b, BYZANTINE MUSICAL SYMBOL YPOKRISIS DIPLI
U+1D00C, \xf0\x9d\x80\x8c, BYZANTINE MUSICAL SYMBOL KREMASTI
U+1D00D, \xf0\x9d\x80\x8d, BYZANTINE MUSICAL SYMBOL APESO EKFONITIKON
U+1D00E, \xf0\x9d\x80\x8e, BYZANTINE MUSICAL SYMBOL EXO EKFONITIKON
U+1D00F, \xf0\x9d\x80\x8f, BYZANTINE MUSICAL SYMBOL TELEIA
U+1D010, \xf0\x9d\x80\x90, BYZANTINE MUSICAL SYMBOL KENTIMATA
U+1D011, \xf0\x9d\x80\x91, BYZANTINE MUSICAL SYMBOL APOSTROFOS
U+1D012, \xf0\x9d\x80\x92, BYZANTINE MUSICAL SYMBOL APOSTROFOS DIPLI
U+1D013, \xf0\x9d\x80\x93, BYZANTINE MUSICAL SYMBOL SYNEVMA
U+1D014, \xf0\x9d\x80\x94, BYZANTINE MUSICAL SYMBOL THITA
U+1D015, \xf0\x9d\x80\x95, BYZANTINE MUSICAL SYMBOL OLIGON ARCHAION
U+1D016, \xf0\x9d\x80\x96, BYZANTINE MUSICAL SYMBOL GORGON ARCHAION
U+1D017, \xf0\x9d\x80\x97, BYZANTINE MUSICAL SYMBOL PSILON
U+1D018, \xf0\x9d\x80\x98, BYZANTINE MUSICAL SYMBOL CHAMILON
U+1D019, \xf0\x9d\x80\x99, BYZANTINE MUSICAL SYMBOL VATHY
U+1D01A, \xf0\x9d\x80\x9a, BYZANTINE MUSICAL SYMBOL ISON ARCHAION
U+1D01B, \xf0\x9d\x80\x9b, BYZANTINE MUSICAL SYMBOL KENTIMA ARCHAION
U+1D01C, \xf0\x9d\x80\x9c, BYZANTINE MUSICAL SYMBOL KENTIMATA ARCHAION
U+1D01D, \xf0\x9d\x80\x9d, BYZANTINE MUSICAL SYMBOL SAXIMATA
U+1D01E, \xf0\x9d\x80\x9e, BYZANTINE MUSICAL SYMBOL PARICHON
U+1D01F, \xf0\x9d\x80\x9f, BYZANTINE MUSICAL SYMBOL STAVROS APODEXIA
U+1D020, \xf0\x9d\x80\xa0, BYZANTINE MUSICAL SYMBOL OXEIAI ARCHAION
U+1D021, \xf0\x9d\x80\xa1, BYZANTINE MUSICAL SYMBOL VAREIAI ARCHAION
U+1D022, \xf0\x9d\x80\xa2, BYZANTINE MUSICAL SYMBOL APODERMA ARCHAION
U+1D023, \xf0\x9d\x80\xa3, BYZANTINE MUSICAL SYMBOL APOTHEMA
U+1D024, \xf0\x9d\x80\xa4, BYZANTINE MUSICAL SYMBOL KLASMA
U+1D025, \xf0\x9d\x80\xa5, BYZANTINE MUSICAL SYMBOL REVMA
U+1D026, \xf0\x9d\x80\xa6, BYZANTINE MUSICAL SYMBOL PIASMA ARCHAION
U+1D027, \xf0\x9d\x80\xa7, BYZANTINE MUSICAL SYMBOL TINAGMA
U+1D028, \xf0\x9d\x80\xa8, BYZANTINE MUSICAL SYMBOL ANATRICHISMA
U+1D029, \xf0\x9d\x80\xa9, BYZANTINE MUSICAL SYMBOL SEISMA
U+1D02A, \xf0\x9d\x80\xaa, BYZANTINE MUSICAL SYMBOL SYNAGMA ARCHAION
U+1D02B, \xf0\x9d\x80\xab, BYZANTINE MUSICAL SYMBOL SYNAGMA META STAVROU
U+1D02C, \xf0\x9d\x80\xac, BYZANTINE MUSICAL SYMBOL OYRANISMA ARCHAION
U+1D02D, \xf0\x9d\x80\xad, BYZANTINE MUSICAL SYMBOL THEMA
U+1D02E, \xf0\x9d\x80\xae, BYZANTINE MUSICAL SYMBOL LEMOI
U+1D02F, \xf0\x9d\x80\xaf, BYZANTINE MUSICAL SYMBOL DYO
U+1D030, \xf0\x9d\x80\xb0, BYZANTINE MUSICAL SYMBOL TRIA
U+1D031, \xf0\x9d\x80\xb1, BYZANTINE MUSICAL SYMBOL TESSERA
U+1D032, \xf0\x9d\x80\xb2, BYZANTINE MUSICAL SYMBOL KRATIMATA
U+1D033, \xf0\x9d\x80\xb3, BYZANTINE MUSICAL SYMBOL APESO EXO NEO
U+1D034, \xf0\x9d\x80\xb4, BYZANTINE MUSICAL SYMBOL FTHORA ARCHAION
U+1D035, \xf0\x9d\x80\xb5, BYZANTINE MUSICAL SYMBOL IMIFTHORA
U+1D036, \xf0\x9d\x80\xb6, BYZANTINE MUSICAL SYMBOL TROMIKON ARCHAION
U+1D037, \xf0\x9d\x80\xb7, BYZANTINE MUSICAL SYMBOL KATAVA TROMIKON
U+1D038, \xf0\x9d\x80\xb8, BYZANTINE MUSICAL SYMBOL PELASTON
U+1D039, \xf0\x9d\x80\xb9, BYZANTINE MUSICAL SYMBOL PSIFISTON
U+1D03A, \xf0\x9d\x80\xba, BYZANTINE MUSICAL SYMBOL KONTEVMA
U+1D03B, \xf0\x9d\x80\xbb, BYZANTINE MUSICAL SYMBOL CHOREVMA ARCHAION
U+1D03C, \xf0\x9d\x80\xbc, BYZANTINE MUSICAL SYMBOL RAPISMA
U+1D03D, \xf0\x9d\x80\xbd, BYZANTINE MUSICAL SYMBOL PARAKALESMA ARCHAION
U+1D03E, \xf0\x9d\x80\xbe, BYZANTINE MUSICAL SYMBOL PARAKLITIKI ARCHAION
U+1D03F, \xf0\x9d\x80\xbf, BYZANTINE MUSICAL SYMBOL ICHADIN
U+1D040, \xf0\x9d\x81\x80, BYZANTINE MUSICAL SYMBOL NANA
U+1D041, \xf0\x9d\x81\x81, BYZANTINE MUSICAL SYMBOL PETASMA
U+1D042, \xf0\x9d\x81\x82, BYZANTINE MUSICAL SYMBOL KONTEVMA ALLO
U+1D043, \xf0\x9d\x81\x83, BYZANTINE MUSICAL SYMBOL TROMIKON ALLO
U+1D044, \xf0\x9d\x81\x84, BYZANTINE MUSICAL SYMBOL STRAGGISMATA
U+1D045, \xf0\x9d\x81\x85, BYZANTINE MUSICAL SYMBOL GRONTHISMATA
U+1D046, \xf0\x9d\x81\x86, BYZANTINE MUSICAL SYMBOL ISON NEO
U+1D047, \xf0\x9d\x81\x87, BYZANTINE MUSICAL SYMBOL OLIGON NEO
U+1D048, \xf0\x9d\x81\x88, BYZANTINE MUSICAL SYMBOL OXEIA NEO
U+1D049, \xf0\x9d\x81\x89, BYZANTINE MUSICAL SYMBOL PETASTI
U+1D04A, \xf0\x9d\x81\x8a, BYZANTINE MUSICAL SYMBOL KOUFISMA
U+1D04B, \xf0\x9d\x81\x8b, BYZANTINE MUSICAL SYMBOL PETASTOKOUFISMA
U+1D04C, \xf0\x9d\x81\x8c, BYZANTINE MUSICAL SYMBOL KRATIMOKOUFISMA
U+1D04D, \xf0\x9d\x81\x8d, BYZANTINE MUSICAL SYMBOL PELASTON NEO
U+1D04E, \xf0\x9d\x81\x8e, BYZANTINE MUSICAL SYMBOL KENTIMATA NEO ANO
U+1D04F, \xf0\x9d\x81\x8f, BYZANTINE MUSICAL SYMBOL KENTIMA NEO ANO
U+1D050, \xf0\x9d\x81\x90, BYZANTINE MUSICAL SYMBOL YPSILI
U+1D051, \xf0\x9d\x81\x91, BYZANTINE MUSICAL SYMBOL APOSTROFOS NEO
U+1D052, \xf0\x9d\x81\x92, BYZANTINE MUSICAL SYMBOL APOSTROFOI SYNDESMOS NEO
U+1D053, \xf0\x9d\x81\x93, BYZANTINE MUSICAL SYMBOL YPORROI
U+1D054, \xf0\x9d\x81\x94, BYZANTINE MUSICAL SYMBOL KRATIMOYPORROON
U+1D055, \xf0\x9d\x81\x95, BYZANTINE MUSICAL SYMBOL ELAFRON
U+1D056, \xf0\x9d\x81\x96, BYZANTINE MUSICAL SYMBOL CHAMILI
U+1D057, \xf0\x9d\x81\x97, BYZANTINE MUSICAL SYMBOL MIKRON ISON
U+1D058, \xf0\x9d\x81\x98, BYZANTINE MUSICAL SYMBOL VAREIA NEO
U+1D059, \xf0\x9d\x81\x99, BYZANTINE MUSICAL SYMBOL PIASMA NEO
U+1D05A, \xf0\x9d\x81\x9a, BYZANTINE MUSICAL SYMBOL PSIFISTON NEO
U+1D05B, \xf0\x9d\x81\x9b, BYZANTINE MUSICAL SYMBOL OMALON
U+1D05C, \xf0\x9d\x81\x9c, BYZANTINE MUSICAL SYMBOL ANTIKENOMA
U+1D05D, \xf0\x9d\x81\x9d, BYZANTINE MUSICAL SYMBOL LYGISMA
U+1D05E, \xf0\x9d\x81\x9e, BYZANTINE MUSICAL SYMBOL PARAKLITIKI NEO
U+1D05F, \xf0\x9d\x81\x9f, BYZANTINE MUSICAL SYMBOL PARAKALESMA NEO
U+1D060, \xf0\x9d\x81\xa0, BYZANTINE MUSICAL SYMBOL ETERON PARAKALESMA
U+1D061, \xf0\x9d\x81\xa1, BYZANTINE MUSICAL SYMBOL KYLISMA
U+1D062, \xf0\x9d\x81\xa2, BYZANTINE MUSICAL SYMBOL ANTIKENOKYLISMA
U+1D063, \xf0\x9d\x81\xa3, BYZANTINE MUSICAL SYMBOL TROMIKON NEO
U+1D064, \xf0\x9d\x81\xa4, BYZANTINE MUSICAL SYMBOL EKSTREPTON
U+1D065, \xf0\x9d\x81\xa5, BYZANTINE MUSICAL SYMBOL SYNAGMA NEO
U+1D066, \xf0\x9d\x81\xa6, BYZANTINE MUSICAL SYMBOL SYRMA
U+1D067, \xf0\x9d\x81\xa7, BYZANTINE MUSICAL SYMBOL CHOREVMA NEO
U+1D068, \xf0\x9d\x81\xa8, BYZANTINE MUSICAL SYMBOL EPEGERMA
