# Carian
U+102A0, \xf0\x90\x8a\xa0, CARIAN LETTER A
U+102A1, \xf0\x90\x8a\xa1, CARIAN LETTER P2
U+102A2, \xf0\x90\x8a\xa2, CARIAN LETTER D
U+102A3, \xf0\x90\x8a\xa3, CARIAN LETTER L
U+102A4, \xf0\x90\x8a\xa4, CARIAN LETTER UUU
U+102A5, \xf0\x90\x8a\xa5, CARIAN LETTER R
U+102A6, \xf0\x90\x8a\xa6, CARIAN LETTER LD
U+102A7, \xf0\x90\x8a\xa7, CARIAN LETTER A2
U+102A8, \xf0\x90\x8a\xa8, CARIAN LETTER Q
U+102A9, \xf0\x90\x8a\xa9, CARIAN LETTER B
U+102AA, \xf0\x90\x8a\xaa, CARIAN LETTER M
U+102AB, \xf0\x90\x8a\xab, CARIAN LETTER O
U+102AC, \xf0\x90\x8a\xac, CARIAN LETTER D2
U+102AD, \xf0\x90\x8a\xad, CARIAN LETTER T
U+102AE, \xf0\x90\x8a\xae, CARIAN LETTER SH
U+102AF, \xf0\x90\x8a\xaf, CARIAN LETTER SH2
U+102B0, \xf0\x90\x8a\xb0, CARIAN LETTER S
U+102B1, \xf0\x90\x8a\xb1, CARIAN LETTER C-18
U+102B2, \xf0\x90\x8a\xb2, CARIAN LETTER U
U+102B3, \xf0\x90\x8a\xb3, CARIAN LETTER NN
U+102B4, \xf0\x90\x8a\xb4, CARIAN LETTER X
U+102B5, \xf0\x90\x8a\xb5, CARIAN LETTER N
U+102B6, \xf0\x90\x8a\xb6, CARIAN LETTER TT2
U+102B7, \xf0\x90\x8a\xb7, CARIAN LETTER P
U+102B8, \xf0\x90\x8a\xb8, CARIAN LETTER SS
U+102B9, \xf0\x90\x8a\xb9, CARIAN LETTER I
U+102BA, \xf0\x90\x8a\xba, CARIAN LETTER E
U+102BB, \xf0\x90\x8a\xbb, CARIAN LETTER UUUU
U+102BC, \xf0\x90\x8a\xbc, CARIAN LETTER K
U+102BD, \xf0\x90\x8a\xbd, CARIAN LETTER K2
U+102BE, \xf0\x90\x8a\xbe, CARIAN LETTER ND
U+102BF, \xf0\x90\x8a\xbf, CARIAN LETTER UU
U+102C0, \xf0\x90\x8b\x80, CARIAN LETTER G
U+102C1, \xf0\x90\x8b\x81, CARIAN LETTER G2
U+102C2, \xf0\x90\x8b\x82, CARIAN LETTER ST
U+102C3, \xf0\x90\x8b\x83, CARIAN LETTER ST2
U+102C4, \xf0\x90\x8b\x84, CARIAN LETTER NG
U+102C5, \xf0\x90\x8b\x85, CARIAN LETTER II
U+102C6, \xf0\x90\x8b\x86, CARIAN LETTER C-39
U+102C7, \xf0\x90\x8b\x87, CARIAN LETTER TT
U+102C8, \xf0\x90\x8b\x88, CARIAN LETTER UUU2
U+102C9, \xf0\x90\x8b\x89, CARIAN LETTER RR
U+102CA, \xf0\x90\x8b\x8a, CARIAN LETTER MB
