# Control Pictures
U+2400, \xe2\x90\x80, SYMBOL FOR NULL
U+2401, \xe2\x90\x81, SYMBOL FOR START OF HEADING
U+2402, \xe2\x90\x82, SYMBOL FOR START OF TEXT
U+2403, \xe2\x90\x83, SYMBOL FOR END OF TEXT
U+2404, \xe2\x90\x84, SYMBOL FOR END OF TRANSMISSION
U+2405, \xe2\x90\x85, SYMBOL FOR ENQUIRY
U+2406, \xe2\x90\x86, SYMBOL FOR ACKNOWLEDGE
U+2407, \xe2\x90\x87, SYMBOL FOR BELL
U+2408, \xe2\x90\x88, SYMBOL FOR BACKSPACE
U+2409, \xe2\x90\x89, SYMBOL FOR HORIZONTAL TABULATION
U+240A, \xe2\x90\x8a, SYMBOL FOR LINE FEED
U+240B, \xe2\x90\x8b, SYMBOL FOR VERTICAL TABULATION
U+240C, \xe2\x90\x8c, SYMBOL FOR FORM FEED
U+240D, \xe2\x90\x8d, SYMBOL FOR CARRIAGE RETURN
U+240E, \xe2\x90\x8e, SYMBOL FOR SHIFT OUT
U+240F, \xe2\x90\x8f, SYMBOL FOR SHIFT IN
U+2410, \xe2\x90\x90, SYMBOL FOR DATA LINK ESCAPE
U+2411, \xe2\x90\x91, SYMBOL FOR DEVICE CONTROL ONE
U+2412, \xe2\x90\x92, SYMBOL FOR DEVICE CONTROL TWO
U+2413, \xe2\x90\x93, SYMBOL FOR DEVICE CONTROL THREE
U+2414, \xe2\x90\x94, SYMBOL FOR DEVICE CONTROL FOUR
U+2415, \xe2\x90\x95, SYMBOL FOR NEGATIVE ACKNOWLEDGE
U+2416, \xe2\x90\x96, SYMBOL FOR SYNCHRONOUS IDLE
U+2417, \xe2\x90\x97, SYMBOL FOR END OF TRANSMISSION BLOCK
U+2418, \xe2\x90\x98, SYMBOL FOR CANCEL
U+2419, \xe2\x90\x99, SYMBOL FOR END OF MEDIUM
U+241A, \xe2\x90\x9a, SYMBOL FOR SUBSTITUTE
U+241B, \xe2\x90\x9b, SYMBOL FOR ESCAPE
U+241C, \xe2\x90\x9c, SYMBOL FOR FILE SEPARATOR
U+241D, \xe2\x90\x9d, SYMBOL FOR GROUP SEPARATOR
U+241E, \xe2\x90\x9e, SYMBOL FOR RECORD SEPARATOR
U+241F, \xe2\x90\x9f, SYMBOL FOR UNIT SEPARATOR
U+2420, \xe2\x90\xa0, SYMBOL FOR SPACE
U+2421, \xe2\x90\xa1, SYMBOL FOR DELETE
U+2422, \xe2\x90\xa2, BLANK SYMBOL
U+2423, \xe2\x90\xa3, OPEN BOX
U+2424, \xe2\x90\xa4, SYMBOL FOR NEWLINE
U+2425, \xe2\x90\xa5, SYMBOL FOR DELETE FORM TWO
U+2426, \xe2\x90\xa6, SYMBOL FOR SUBSTITUTE FORM TWO
U+2440, \xe2\x91\x80, OCR HOOK
U+2441, \xe2\x91\x81, OCR CHAIR
U+2442, \xe2\x91\x82, OCR FORK
U+2443, \xe2\x91\x83, OCR INVERTED FORK
U+2444, \xe2\x91\x84, OCR BELT BUCKLE
U+2445, \xe2\x91\x85, OCR BOW TIE
U+2446, \xe2\x91\x86, OCR BRANCH BANK IDENTIFICATION
U+2447, \xe2\x91\x87, OCR AMOUNT OF CHECK
U+2448, \xe2\x91\x88, OCR DASH
U+2449, \xe2\x91\x89, OCR CUSTOMER ACCOUNT NUMBER
U+244A, \xe2\x91\x8a, OCR DOUBLE BACKSLASH
U+2460, \xe2\x91\xa0, CIRCLED DIGIT ONE
U+2461, \xe2\x91\xa1, CIRCLED DIGIT TWO
U+2462, \xe2\x91\xa2, CIRCLED DIGIT THREE
U+2463, \xe2\x91\xa3, CIRCLED DIGIT FOUR
U+2464, \xe2\x91\xa4, CIRCLED DIGIT FIVE
