# Cuneiform
U+12000, \xf0\x92\x80\x80, CUNEIFORM SIGN A
U+12001, \xf0\x92\x80\x81, CUNEIFORM SIGN A TIMES A
U+12002, \xf0\x92\x80\x82, CUNEIFORM SIGN A TIMES BAD
U+12003, \xf0\x92\x80\x83, CUNEIFORM SIGN A TIMES GAN2 TENU
U+12004, \xf0\x92\x80\x84, CUNEIFORM SIGN A TIMES HA
U+12005, \xf0\x92\x80\x85, CUNEIFORM SIGN A TIMES IGI
U+12006, \xf0\x92\x80\x86, CUNEIFORM SIGN A TIMES LAGAR GUNU
U+12007, \xf0\x92\x80\x87, CUNEIFORM SIGN A TIMES MUSH
U+12008, \xf0\x92\x80\x88, CUNEIFORM SIGN A TIMES SAG
U+12009, \xf0\x92\x80\x89, CUNEIFORM SIGN A2
U+1200A, \xf0\x92\x80\x8a, CUNEIFORM SIGN AB
U+1200B, \xf0\x92\x80\x8b, CUNEIFORM SIGN AB TIMES ASH2
U+1200C, \xf0\x92\x80\x8c, CUNEIFORM SIGN AB TIMES DUN3 GUNU
U+1200D, \xf0\x92\x80\x8d, CUNEIFORM SIGN AB TIMES GAL
U+1200E, \xf0\x92\x80\x8e, CUNEIFORM SIGN AB TIMES GAN2 TENU
U+1200F, \xf0\x92\x80\x8f, CUNEIFORM SIGN AB TIMES HA
U+12010, \xf0\x92\x80\x90, CUNEIFORM SIGN AB TIMES IGI GUNU
U+12011, \xf0\x92\x80\x91, CUNEIFORM SIGN AB TIMES IMIN
U+12012, \xf0\x92\x80\x92, CUNEIFORM SIGN AB TIMES LAGAB
U+12013, \xf0\x92\x80\x93, CUNEIFORM SIGN AB TIMES SHESH
U+12014, \xf0\x92\x80\x94, CUNEIFORM SIGN AB TIMES U PLUS U PLUS U
U+12015, \xf0\x92\x80\x95, CUNEIFORM SIGN AB GUNU
U+12016, \xf0\x92\x80\x96, CUNEIFORM SIGN AB2
U+12017, \xf0\x92\x80\x97, CUNEIFORM SIGN AB2 TIMES BALAG
U+12018, \xf0\x92\x80\x98, CUNEIFORM SIGN AB2 TIMES GAN2 TENU
U+12019, \xf0\x92\x80\x99, CUNEIFORM SIGN AB2 TIMES ME PLUS EN
U+1201A, \xf0\x92\x80\x9a, CUNEIFORM SIGN AB2 TIMES SHA3
U+1201B, \xf0\x92\x80\x9b, CUNEIFORM SIGN AB2 TIMES TAK4
U+1201C, \xf0\x92\x80\x9c, CUNEIFORM SIGN AD
U+1201D, \xf0\x92\x80\x9d, CUNEIFORM SIGN AK
U+1201E, \xf0\x92\x80\x9e, CUNEIFORM SIGN AK TIMES ERIN2
U+1201F, \xf0\x92\x80\x9f, CUNEIFORM SIGN AK TIMES SHITA PLUS GISH
U+12020, \xf0\x92\x80\xa0, CUNEIFORM SIGN AL
U+12021, \xf0\x92\x80\xa1, CUNEIFORM SIGN AL TIMES AL
U+12022, \xf0\x92\x80\xa2, CUNEIFORM SIGN AL TIMES DIM2
U+12023, \xf0\x92\x80\xa3, CUNEIFORM SIGN AL TIMES GISH
U+12024, \xf0\x92\x80\xa4, CUNEIFORM SIGN AL TIMES HA
U+12025, \xf0\x92\x80\xa5, CUNEIFORM SIGN AL TIMES KAD3
