# Dingbats
U+2701, \xe2\x9c\x81, UPPER BLADE SCISSORS
U+2702, \xe2\x9c\x82, BLACK SCISSORS
U+2703, \xe2\x9c\x83, LOWER BLADE SCISSORS
U+2704, \xe2\x9c\x84, WHITE SCISSORS
U+2705, \xe2\x9c\x85, WHITE HEAVY CHECK MARK
U+2706, \xe2\x9c\x86, TELEPHONE LOCATION SIGN
U+2707, \xe2\x9c\x87, TAPE DRIVE
U+2708, \xe2\x9c\x88, AIRPLANE
U+2709, \xe2\x9c\x89, ENVELOPE
U+270A, \xe2\x9c\x8a, RAISED FIST
U+270B, \xe2\x9c\x8b, RAISED HAND
U+270C, \xe2\x9c\x8c, VICTORY HAND
U+270D, \xe2\x9c\x8d, WRITING HAND
U+270E, \xe2\x9c\x8e, LOWER RIGHT PENCIL
U+270F, \xe2\x9c\x8f, PENCIL
U+2710, \xe2\x9c\x90, UPPER RIGHT PENCIL
U+2711, \xe2\x9c\x91, WHITE NIB
U+2712, \xe2\x9c\x92, BLACK NIB
U+2713, \xe2\x9c\x93, CHECK MARK
U+2714, \xe2\x9c\x94, HEAVY CHECK MARK
U+2715, \xe2\x9c\x95, MULTIPLICATION X
U+2716, \xe2\x9c\x96, HEAVY MULTIPLICATION X
U+2717, \xe2\x9c\x97, BALLOT X
U+2718, \xe2\x9c\x98, HEAVY BALLOT X
U+2719, \xe2\x9c\x99, OUTLINED GREEK CROSS
U+271A, \xe2\x9c\x9a, HEAVY GREEK CROSS
U+271B, \xe2\x9c\x9b, OPEN CENTRE CROSS
U+271C, \xe2\x9c\x9c, HEAVY OPEN CENTRE CROSS
U+271D, \xe2\x9c\x9d, LATIN CROSS
U+271E, \xe2\x9c\x9e, SHADOWED WHITE LATIN CROSS
U+271F, \xe2\x9c\x9f, OUTLINED LATIN CROSS
U+2720, \xe2\x9c\xa0, MALTESE CROSS
U+2721, \xe2\x9c\xa1, STAR OF DAVID
U+2722, \xe2\x9c\xa2, FOUR TEARDROP-SPOKED ASTERISK
U+2723, \xe2\x9c\xa3, FOUR BALLOON-SPOKED ASTERISK
U+2724, \xe2\x9c\xa4, HEAVY FOUR BALLOON-SPOKED ASTERISK
U+2725, \xe2\x9c\xa5, FOUR CLUB-SPOKED ASTERISK
U+2726, \xe2\x9c\xa6, BLACK FOUR POINTED STAR
U+2727, \xe2\x9c\xa7, WHITE FOUR POINTED STAR
U+2728, \xe2\x9c\xa8, SPARKLES
U+2729, \xe2\x9c\xa9, STRESS OUTLINED WHITE STAR
U+272A, \xe2\x9c\xaa, CIRCLED WHITE STAR
U+272B, \xe2\x9c\xab, OPEN CENTRE BLACK STAR
U+272C, \xe2\x9c\xac, BLACK CENTRE WHITE STAR
U+272D, \xe2\x9c\xad, OUTLINED BLACK STAR
U+272E, \xe2\x9c\xae, HEAVY OUTLINED BLACK STAR
U+272F, \xe2\x9c\xaf, PINWHEEL STAR
U+2730, \xe2\x9c\xb0, SHADOWED WHITE STAR
U+2731, \xe2\x9c\xb1, HEAVY ASTERISK
U+2732, \xe2\x9c\xb2, OPEN CENTRE ASTERISK
U+2733, \xe2\x9c\xb3, EIGHT SPOKED ASTERISK
U+2734, \xe2\x9c\xb4, EIGHT POINTED BLACK STAR
U+2735, \xe2\x9c\xb5, EIGHT POINTED PINWHEEL STAR
U+2736, \xe2\x9c\xb6, SIX POINTED BLACK STAR
U+2737, \xe2\x9c\xb7, EIGHT POINTED RECTILINEAR BLACK STAR
U+2738, \xe2\x9c\xb8, HEAVY EIGHT POINTED RECTILINEAR BLACK STAR
U+2739, \xe2\x9c\xb9, TWELVE POINTED BLACK STAR
U+273A, \xe2\x9c\xba, SIXTEEN POINTED ASTERISK
U+273B, \xe2\x9c\xbb, TEARDROP-SPOKED ASTERISK
U+273C, \xe2\x9c\xbc, OPEN CENTRE TEARDROP-SPOKED ASTERISK
U+273D, \xe2\x9c\xbd, HEAVY TEARDROP-SPOKED ASTERISK
U+273E, \xe2\x9c\xbe, SIX PETALLED BLACK AND WHITE FLORETTE
U+273F, \xe2\x9c\xbf, BLACK FLORETTE
U+2740, \xe2\x9d\x80, WHITE FLORETTE
U+2741, \xe2\x9d\x81, EIGHT PETALLED OUTLINED BLACK FLORETTE
U+2742, \xe2\x9d\x82, CIRCLED OPEN CENTRE EIGHT POINTED STAR
U+2743, \xe2\x9d\x83, HEAVY TEARDROP-SPOKED PINWHEEL ASTERISK
U+2744, \xe2\x9d\x84, SNOWFLAKE
U+2745, \xe2\x9d\x85, TIGHT TRIFOLIATE SNOWFLAKE
U+2746, \xe2\x9d\x86, HEAVY CHEVRON SNOWFLAKE
U+2747, \xe2\x9d\x87, SPARKLE
U+2748, \xe2\x9d\x88, HEAVY SPARKLE
U+2749, \xe2\x9d\x89, BALLOON-SPOKED ASTERISK
U+274A, \xe2\x9d\x8a, EIGHT TEARDROP-SPOKED PROPELLER ASTERISK
U+274B, \xe2\x9d\x8b, HEAVY EIGHT TEARDROP-SPOKED PROPELLER ASTERISK
U+274C, \xe2\x9d\x8c, CROSS MARK
U+274D, \xe2\x9d\x8d, SHADOWED WHITE CIRCLE
U+274E, \xe2\x9d\x8e, NEGATIVE SQUARED CROSS MARK
U+274F, \xe2\x9d\x8f, LOWER RIGHT DROP-SHADOWED WHITE SQUARE
U+2750, \xe2\x9d\x90, UPPER RIGHT DROP-SHADOWED WHITE SQUARE
U+2751, \xe2\x9d\x91, LOWER RIGHT SHADOWED WHITE SQUARE
U+2752, \xe2\x9d\x92, UPPER RIGHT SHADOWED WHITE SQUARE
U+2753, \xe2\x9d\x93, BLACK QUESTION MARK ORNAMENT
U+2754, \xe2\x9d\x94, WHITE QUESTION MARK ORNAMENT
U+2755, \xe2\x9d\x95, WHITE EXCLAMATION MARK ORNAMENT
U+2756, \xe2\x9d\x96, BLACK DIAMOND MINUS WHITE X
U+2757, \xe2\x9d\x97, HEAVY EXCLAMATION MARK SYMBOL
U+2758, \xe2\x9d\x98, LIGHT VERTICAL BAR
U+2759, \xe2\x9d\x99, MEDIUM VERTICAL BAR
U+275A, \xe2\x9d\x9a, HEAVY VERTICAL BAR
U+275B, \xe2\x9d\x9b, HEAVY SINGLE TURNED COMMA QUOTATION MARK ORNAMENT
U+275C, \xe2\x9d\x9c, HEAVY SINGLE COMMA QUOTATION MARK ORNAMENT
U+275D, \xe2\x9d\x9d, HEAVY DOUBLE TURNED COMMA QUOTATION MARK ORNAMENT
U+275E, \xe2\x9d\x9e, HEAVY DOUBLE COMMA QUOTATION MARK ORNAMENT
U+275F, \xe2\x9d\x9f, HEAVY LOW SINGLE COMMA QUOTATION MARK ORNAMENT
U+2760, \xe2\x9d\xa0, HEAVY LOW DOUBLE COMMA QUOTATION MARK ORNAMENT
U+2761, \xe2\x9d\xa1, CURVED STEM PARAGRAPH SIGN ORNAMENT
U+2762, \xe2\x9d\xa2, HEAVY EXCLAMATION MARK ORNAMENT
U+2763, \xe2\x9d\xa3, HEAVY HEART EXCLAMATION MARK ORNAMENT
U+2764, \xe2\x9d\xa4, HEAVY BLACK HEART
U+2765, \xe2\x9d\xa5, ROTATED HEAVY BLACK HEART BULLET
U+2766, \xe2\x9d\xa6, FLORAL HEART
U+2767, \xe2\x9d\xa7, ROTATED FLORAL HEART BULLET
U+2768, \xe2\x9d\xa8, MEDIUM LEFT PARENTHESIS ORNAMENT
U+2769, \xe2\x9d\xa9, MEDIUM RIGHT PARENTHESIS ORNAMENT
U+276A, \xe2\x9d\xaa, MEDIUM FLATTENED LEFT PARENTHESIS ORNAMENT
U+276B, \xe2\x9d\xab, MEDIUM FLATTENED RIGHT PARENTHESIS ORNAMENT
U+276C, \xe2\x9d\xac, MEDIUM LEFT-POINTING ANGLE BRACKET ORNAMENT
U+276D, \xe2\x9d\xad, MEDIUM RIGHT-POINTING ANGLE BRACKET ORNAMENT
U+276E, \xe2\x9d\xae, HEAVY LEFT-POINTING ANGLE QUOTATION MARK ORNAMENT
U+276F, \xe2\x9d\xaf, HEAVY RIGHT-POINTING ANGLE QUOTATION MARK ORNAMENT
U+2770, \xe2\x9d\xb0, HEAVY LEFT-POINTING ANGLE BRACKET ORNAMENT
U+2771, \xe2\x9d\xb1, HEAVY RIGHT-POINTING ANGLE BRACKET ORNAMENT
U+2772, \xe2\x9d\xb2, LIGHT LEFT TORTOISE SHELL BRACKET ORNAMENT
U+2773, \xe2\x9d\xb3, LIGHT RIGHT TORTOISE SHELL BRACKET ORNAMENT
U+2774, \xe2\x9d\xb4, MEDIUM LEFT CURLY BRACKET ORNAMENT
U+2775, \xe2\x9d\xb5, MEDIUM RIGHT CURLY BRACKET ORNAMENT
U+2776, \xe2\x9d\xb6, DINGBAT NEGATIVE CIRCLED DIGIT ONE
U+2777, \xe2\x9d\xb7, DINGBAT NEGATIVE CIRCLED DIGIT TWO
U+2778, \xe2\x9d\xb8, DINGBAT NEGATIVE CIRCLED DIGIT THREE
U+2779, \xe2\x9d\xb9, DINGBAT NEGATIVE CIRCLED DIGIT FOUR
U+277A, \xe2\x9d\xba, DINGBAT NEGATIVE CIRCLED DIGIT FIVE
U+277B, \xe2\x9d\xbb, DINGBAT NEGATIVE CIRCLED DIGIT SIX
U+277C, \xe2\x9d\xbc, DINGBAT NEGATIVE CIRCLED DIGIT SEVEN
U+277D, \xe2\x9d\xbd, DINGBAT NEGATIVE CIRCLED DIGIT EIGHT
U+277E, \xe2\x9d\xbe, DINGBAT NEGATIVE CIRCLED DIGIT NINE
U+277F, \xe2\x9d\xbf, DINGBAT NEGATIVE CIRCLED NUMBER TEN
U+2780, \xe2\x9e\x80, DINGBAT CIRCLED SANS-SERIF DIGIT ONE
U+2781, \xe2\x9e\x81, DINGBAT CIRCLED SANS-SERIF DIGIT TWO
U+2782, \xe2\x9e\x82, DINGBAT CIRCLED SANS-SERIF DIGIT THREE
U+2783, \xe2\x9e\x83, DINGBAT CIRCLED SANS-SERIF DIGIT FOUR
U+2784, \xe2\x9e\x84, DINGBAT CIRCLED SANS-SERIF DIGIT FIVE
U+2785, \xe2\x9e\x85, DINGBAT CIRCLED SANS-SERIF DIGIT SIX
U+2786, \xe2\x9e\x86, DINGBAT CIRCLED SANS-SERIF DIGIT SEVEN
U+2787, \xe2\x9e\x87, DINGBAT CIRCLED SANS-SERIF DIGIT EIGHT
U+2788, \xe2\x9e\x88, DINGBAT CIRCLED SANS-SERIF DIGIT NINE
U+2789, \xe2\x9e\x89, DINGBAT CIRCLED SANS-SERIF NUMBER TEN
U+278A, \xe2\x9e\x8a, DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT ONE
U+278B, \xe2\x9e\x8b, DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT TWO
U+278C, \xe2\x9e\x8c, DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT THREE
U+278D, \xe2\x9e\x8d, DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT FOUR
U+278E, \xe2\x9e\x8e, DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT FIVE
U+278F, \xe2\x9e\x8f, DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT SIX
U+2790, \xe2\x9e\x90, DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT SEVEN
