# Egyptian Hieroglyphs
U+13000, \xf0\x93\x80\x80, EGYPTIAN HIEROGLYPH A001
U+13001, \xf0\x93\x80\x81, EGYPTIAN HIEROGLYPH A002
U+13002, \xf0\x93\x80\x82, EGYPTIAN HIEROGLYPH A003
U+13003, \xf0\x93\x80\x83, EGYPTIAN HIEROGLYPH A004
U+13004, \xf0\x93\x80\x84, EGYPTIAN HIEROGLYPH A005
U+13005, \xf0\x93\x80\x85, EGYPTIAN HIEROGLYPH A005A
U+13006, \xf0\x93\x80\x86, EGYPTIAN HIEROGLYPH A006
U+13007, \xf0\x93\x80\x87, EGYPTIAN HIEROGLYPH A006A
U+13008, \xf0\x93\x80\x88, EGYPTIAN HIEROGLYPH A006B
U+13009, \xf0\x93\x80\x89, EGYPTIAN HIEROGLYPH A007
U+1300A, \xf0\x93\x80\x8a, EGYPTIAN HIEROGLYPH A008
U+1300B, \xf0\x93\x80\x8b, EGYPTIAN HIEROGLYPH A009
U+1300C, \xf0\x93\x80\x8c, EGYPTIAN HIEROGLYPH A010
U+1300D, \xf0\x93\x80\x8d, EGYPTIAN HIEROGLYPH A011
U+1300E, \xf0\x93\x80\x8e, EGYPTIAN HIEROGLYPH A012
U+1300F, \xf0\x93\x80\x8f, EGYPTIAN HIEROGLYPH A013
U+13010, \xf0\x93\x80\x90, EGYPTIAN HIEROGLYPH A014
U+13011, \xf0\x93\x80\x91, EGYPTIAN HIEROGLYPH A014A
U+13012, \xf0\x93\x80\x92, EGYPTIAN HIEROGLYPH A015
U+13013, \xf0\x93\x80\x93, EGYPTIAN HIEROGLYPH A016
U+13014, \xf0\x93\x80\x94, EGYPTIAN HIEROGLYPH A017
U+13015, \xf0\x93\x80\x95, EGYPTIAN HIEROGLYPH A017A
U+13016, \xf0\x93\x80\x96, EGYPTIAN HIEROGLYPH A018
U+13017, \xf0\x93\x80\x97, EGYPTIAN HIEROGLYPH A019
U+13018, \xf0\x93\x80\x98, EGYPTIAN HIEROGLYPH A020
U+13019, \xf0\x93\x80\x99, EGYPTIAN HIEROGLYPH A021
