# Enclosed Alphanumerics
U+2460, \xe2\x91\xa0, CIRCLED DIGIT ONE
U+2461, \xe2\x91\xa1, CIRCLED DIGIT TWO
U+2462, \xe2\x91\xa2, CIRCLED DIGIT THREE
U+2463, \xe2\x91\xa3, CIRCLED DIGIT FOUR
U+2464, \xe2\x91\xa4, CIRCLED DIGIT FIVE
U+2465, \xe2\x91\xa5, CIRCLED DIGIT SIX
U+2466, \xe2\x91\xa6, CIRCLED DIGIT SEVEN
U+2467, \xe2\x91\xa7, CIRCLED DIGIT EIGHT
U+2468, \xe2\x91\xa8, CIRCLED DIGIT NINE
U+2469, \xe2\x91\xa9, CIRCLED NUMBER TEN
U+246A, \xe2\x91\xaa, CIRCLED NUMBER ELEVEN
U+246B, \xe2\x91\xab, CIRCLED NUMBER TWELVE
U+246C, \xe2\x91\xac, CIRCLED NUMBER THIRTEEN
U+246D, \xe2\x91\xad, CIRCLED NUMBER FOURTEEN
U+246E, \xe2\x91\xae, CIRCLED NUMBER FIFTEEN
U+246F, \xe2\x91\xaf, CIRCLED NUMBER SIXTEEN
U+2470, \xe2\x91\xb0, CIRCLED NUMBER SEVENTEEN
U+2471, \xe2\x91\xb1, CIRCLED NUMBER EIGHTEEN
U+2472, \xe2\x91\xb2, CIRCLED NUMBER NINETEEN
U+2473, \xe2\x91\xb3, CIRCLED NUMBER TWENTY
U+2474, \xe2\x91\xb4, PARENTHESIZED DIGIT ONE
U+2475, \xe2\x91\xb5, PARENTHESIZED DIGIT TWO
U+2476, \xe2\x91\xb6, PARENTHESIZED DIGIT THREE
U+2477, \xe2\x91\xb7, PARENTHESIZED DIGIT FOUR
U+2478, \xe2\x91\xb8, PARENTHESIZED DIGIT FIVE
U+2479, \xe2\x91\xb9, PARENTHESIZED DIGIT SIX
U+247A, \xe2\x91\xba, PARENTHESIZED DIGIT SEVEN
U+247B, \xe2\x91\xbb, PARENTHESIZED DIGIT EIGHT
U+247C, \xe2\x91\xbc, PARENTHESIZED DIGIT NINE
U+247D, \xe2\x91\xbd, PARENTHESIZED NUMBER TEN
U+247E, \xe2\x91\xbe, PARENTHESIZED NUMBER ELEVEN
U+247F, \xe2\x91\xbf, PARENTHESIZED NUMBER TWELVE
U+2480, \xe2\x92\x80, PARENTHESIZED NUMBER THIRTEEN
U+2481, \xe2\x92\x81, PARENTHESIZED NUMBER FOURTEEN
U+2482, \xe2\x92\x82, PARENTHESIZED NUMBER FIFTEEN
U+2483, \xe2\x92\x83, PARENTHESIZED NUMBER SIXTEEN
U+2484, \xe2\x92\x84, PARENTHESIZED NUMBER SEVENTEEN
U+2485, \xe2\x92\x85, PARENTHESIZED NUMBER EIGHTEEN
U+2486, \xe2\x92\x86, PARENTHESIZED NUMBER NINETEEN
U+2487, \xe2\x92\x87, PARENTHESIZED NUMBER TWENTY
U+2488, \xe2\x92\x88, DIGIT ONE FULL STOP
U+2489, \xe2\x92\x89, DIGIT TWO FULL STOP
U+248A, \xe2\x92\x8a, DIGIT THREE FULL STOP
U+248B, \xe2\x92\x8b, DIGIT FOUR FULL STOP
U+248C, \xe2\x92\x8c, DIGIT FIVE FULL STOP
U+248D, \xe2\x92\x8d, DIGIT SIX FULL STOP
U+248E, \xe2\x92\x8e, DIGIT SEVEN FULL STOP
U+248F, \xe2\x92\x8f, DIGIT EIGHT FULL STOP
U+2490, \xe2\x92\x90, DIGIT NINE FULL STOP
U+2491, \xe2\x92\x91, NUMBER TEN FULL STOP
U+2492, \xe2\x92\x92, NUMBER ELEVEN FULL STOP
U+2493, \xe2\x92\x93, NUMBER TWELVE FULL STOP
U+2494, \xe2\x92\x94, NUMBER THIRTEEN FULL STOP
U+2495, \xe2\x92\x95, NUMBER FOURTEEN FULL STOP
U+2496, \xe2\x92\x96, NUMBER FIFTEEN FULL STOP
U+2497, \xe2\x92\x97, NUMBER SIXTEEN FULL STOP
U+2498, \xe2\x92\x98, NUMBER SEVENTEEN FULL STOP
U+2499, \xe2\x92\x99, NUMBER EIGHTEEN FULL STOP
U+249A, \xe2\x92\x9a, NUMBER NINETEEN FULL STOP
U+249B, \xe2\x92\x9b, NUMBER TWENTY FULL STOP
U+249C, \xe2\x92\x9c, PARENTHESIZED LATIN SMALL LETTER A
U+249D, \xe2\x92\x9d, PARENTHESIZED LATIN SMALL LETTER B
U+249E, \xe2\x92\x9e, PARENTHESIZED LATIN SMALL LETTER C
U+249F, \xe2\x92\x9f, PARENTHESIZED LATIN SMALL LETTER D
U+24A0, \xe2\x92\xa0, PARENTHESIZED LATIN SMALL LETTER E
U+24A1, \xe2\x92\xa1, PARENTHESIZED LATIN SMALL LETTER F
U+24A2, \xe2\x92\xa2, PARENTHESIZED LATIN SMALL LETTER G
U+24A3, \xe2\x92\xa3, PARENTHESIZED LATIN SMALL LETTER H
U+24A4, \xe2\x92\xa4, PARENTHESIZED LATIN SMALL LETTER I
U+24A5, \xe2\x92\xa5, PARENTHESIZED LATIN SMALL LETTER J
U+24A6, \xe2\x92\xa6, PARENTHESIZED LATIN SMALL LETTER K
U+24A7, \xe2\x92\xa7, PARENTHESIZED LATIN SMALL LETTER L
