# Gurmukhi
U+0A01, \xe0\xa8\x81, GURMUKHI SIGN ADAK BINDI
U+0A02, \xe0\xa8\x82, GURMUKHI SIGN BINDI
U+0A03, \xe0\xa8\x83, GURMUKHI SIGN VISARGA
U+0A05, \xe0\xa8\x85, GURMUKHI LETTER A
U+0A06, \xe0\xa8\x86, GURMUKHI LETTER AA
U+0A07, \xe0\xa8\x87, GURMUKHI LETTER I
U+0A08, \xe0\xa8\x88, GURMUKHI LETTER II
U+0A09, \xe0\xa8\x89, GURMUKHI LETTER U
U+0A0A, \xe0\xa8\x8a, GURMUKHI LETTER UU
U+0A0F, \xe0\xa8\x8f, GURMUKHI LETTER EE
U+0A10, \xe0\xa8\x90, GURMUKHI LETTER AI
U+0A13, \xe0\xa8\x93, GURMUKHI LETTER OO
U+0A14, \xe0\xa8\x94, GURMUKHI LETTER AU
U+0A15, \xe0\xa8\x95, GURMUKHI LETTER KA
U+0A16, \xe0\xa8\x96, GURMUKHI LETTER KHA
U+0A17, \xe0\xa8\x97, GURMUKHI LETTER GA
U+0A18, \xe0\xa8\x98, GURMUKHI LETTER GHA
U+0A19, \xe0\xa8\x99, GURMUKHI LETTER NGA
U+0A1A, \xe0\xa8\x9a, GURMUKHI LETTER CA
U+0A1B, \xe0\xa8\x9b, GURMUKHI LETTER CHA
U+0A1C, \xe0\xa8\x9c, GURMUKHI LETTER JA
U+0A1D, \xe0\xa8\x9d, GURMUKHI LETTER JHA
U+0A1E, \xe0\xa8\x9e, GURMUKHI LETTER NYA
U+0A1F, \xe0\xa8\x9f, GURMUKHI LETTER TTA
U+0A20, \xe0\xa8\xa0, GURMUKHI LETTER TTHA
U+0A21, \xe0\xa8\xa1, GURMUKHI LETTER DDA
U+0A22, \xe0\xa8\xa2, GURMUKHI LETTER DDHA
U+0A23, \xe0\xa8\xa3, GURMUKHI LETTER NNA
U+0A24, \xe0\xa8\xa4, GURMUKHI LETTER TA
U+0A25, \xe0\xa8\xa5, GURMUKHI LETTER THA
U+0A26, \xe0\xa8\xa6, GURMUKHI LETTER DA
U+0A27, \xe0\xa8\xa7, GURMUKHI LETTER DHA
U+0A28, \xe0\xa8\xa8, GURMUKHI LETTER NA
U+0A2A, \xe0\xa8\xaa, GURMUKHI LETTER PA
U+0A2B, \xe0\xa8\xab, GURMUKHI LETTER PHA
U+0A2C, \xe0\xa8\xac, GURMUKHI LETTER BA
U+0A2D, \xe0\xa8\xad, GURMUKHI LETTER BHA
U+0A2E, \xe0\xa8\xae, GURMUKHI LETTER MA
U+0A2F, \xe0\xa8\xaf, GURMUKHI LETTER YA
U+0A30, \xe0\xa8\xb0, GURMUKHI LETTER RA
U+0A32, \xe0\xa8\xb2, GURMUKHI LETTER LA
U+0A33, \xe0\xa8\xb3, GURMUKHI LETTER LLA
U+0A35, \xe0\xa8\xb5, GURMUKHI LETTER VA
U+0A36, \xe0\xa8\xb6, GURMUKHI LETTER SHA
U+0A38, \xe0\xa8\xb8, GURMUKHI LETTER SA
U+0A39, \xe0\xa8\xb9, GURMUKHI LETTER HA
U+0A3C, \xe0\xa8\xbc, GURMUKHI SIGN NUKTA
U+0A3E, \xe0\xa8\xbe, GURMUKHI VOWEL SIGN AA
