# Mathematical Alphanumeric Symbols
U+1D400, \xf0\x9d\x90\x80, MATHEMATICAL BOLD CAPITAL A
U+1D401, \xf0\x9d\x90\x81, MATHEMATICAL BOLD CAPITAL B
U+1D402, \xf0\x9d\x90\x82, MATHEMATICAL BOLD CAPITAL C
U+1D403, \xf0\x9d\x90\x83, MATHEMATICAL BOLD CAPITAL D
U+1D404, \xf0\x9d\x90\x84, MATHEMATICAL BOLD CAPITAL E
U+1D405, \xf0\x9d\x90\x85, MATHEMATICAL BOLD CAPITAL F
U+1D406, \xf0\x9d\x90\x86, MATHEMATICAL BOLD CAPITAL G
U+1D407, \xf0\x9d\x90\x87, MATHEMATICAL BOLD CAPITAL H
U+1D408, \xf0\x9d\x90\x88, MATHEMATICAL BOLD CAPITAL I
U+1D409, \xf0\x9d\x90\x89, MATHEMATICAL BOLD CAPITAL J
U+1D40A, \xf0\x9d\x90\x8a, MATHEMATICAL BOLD CAPITAL K
U+1D40B, \xf0\x9d\x90\x8b, MATHEMATICAL BOLD CAPITAL L
U+1D40C, \xf0\x9d\x90\x8c, MATHEMATICAL BOLD CAPITAL M
U+1D40D, \xf0\x9d\x90\x8d, MATHEMATICAL BOLD CAPITAL N
U+1D40E, \xf0\x9d\x90\x8e, MATHEMATICAL BOLD CAPITAL O
U+1D40F, \xf0\x9d\x90\x8f, MATHEMATICAL BOLD CAPITAL P
U+1D410, \xf0\x9d\x90\x90, MATHEMATICAL BOLD CAPITAL Q
U+1D411, \xf0\x9d\x90\x91, MATHEMATICAL BOLD CAPITAL R
U+1D412, \xf0\x9d\x90\x92, MATHEMATICAL BOLD CAPITAL S
U+1D413, \xf0\x9d\x90\x93, MATHEMATICAL BOLD CAPITAL T
U+1D414, \xf0\x9d\x90\x94, MATHEMATICAL BOLD CAPITAL U
U+1D415, \xf0\x9d\x90\x95, MATHEMATICAL BOLD CAPITAL V
U+1D416, \xf0\x9d\x90\x96, MATHEMATICAL BOLD CAPITAL W
U+1D417, \xf0\x9d\x90\x97, MATHEMATICAL BOLD CAPITAL X
U+1D418, \xf0\x9d\x90\x98, MATHEMATICAL BOLD CAPITAL Y
U+1D419, \xf0\x9d\x90\x99, MATHEMATICAL BOLD CAPITAL Z
U+1D41A, \xf0\x9d\x90\x9a, MATHEMATICAL BOLD SMALL A
U+1D41B, \xf0\x9d\x90\x9b, MATHEMATICAL BOLD SMALL B
U+1D41C, \xf0\x9d\x90\x9c, MATHEMATICAL BOLD SMALL C
U+1D41D, \xf0\x9d\x90\x9d, MATHEMATICAL BOLD SMALL D
U+1D41E, \xf0\x9d\x90\x9e, MATHEMATICAL BOLD SMALL E
U+1D41F, \xf0\x9d\x90\x9f, MATHEMATICAL BOLD SMALL F
U+1D420, \xf0\x9d\x90\xa0, MATHEMATICAL BOLD SMALL G
U+1D421, \xf0\x9d\x90\xa1, MATHEMATICAL BOLD SMALL H
U+1D422, \xf0\x9d\x90\xa2, MATHEMATICAL BOLD SMALL I
U+1D423, \xf0\x9d\x90\xa3, MATHEMATICAL BOLD SMALL J
U+1D424, \xf0\x9d\x90\xa4, MATHEMATICAL BOLD SMALL K
U+1D425, \xf0\x9d\x90\xa5, MATHEMATICAL BOLD SMALL L
U+1D426, \xf0\x9d\x90\xa6, MATHEMATICAL BOLD SMALL M
U+1D427, \xf0\x9d\x90\xa7, MATHEMATICAL BOLD SMALL N
U+1D428, \xf0\x9d\x90\xa8, MATHEMATICAL BOLD SMALL O
U+1D429, \xf0\x9d\x90\xa9, MATHEMATICAL BOLD SMALL P
U+1D42A, \xf0\x9d\x90\xaa, MATHEMATICAL BOLD SMALL Q
U+1D42B, \xf0\x9d\x90\xab, MATHEMATICAL BOLD SMALL R
U+1D42C, \xf0\x9d\x90\xac, MATHEMATICAL BOLD SMALL S
U+1D42D, \xf0\x9d\x90\xad, MATHEMATICAL BOLD SMALL T
U+1D42E, \xf0\x9d\x90\xae, MATHEMATICAL BOLD SMALL U
