# Meetei Mayek
U+ABC0, \xea\xaf\x80, MEETEI MAYEK LETTER KOK
U+ABC1, \xea\xaf\x81, MEETEI MAYEK LETTER SAM
U+ABC2, \xea\xaf\x82, MEETEI MAYEK LETTER LAI
U+ABC3, \xea\xaf\x83, MEETEI MAYEK LETTER MIT
U+ABC4, \xea\xaf\x84, MEETEI MAYEK LETTER PA
U+ABC5, \xea\xaf\x85, MEETEI MAYEK LETTER NA
U+ABC6, \xea\xaf\x86, MEETEI MAYEK LETTER CHIL
U+ABC7, \xea\xaf\x87, MEETEI MAYEK LETTER TIL
U+ABC8, \xea\xaf\x88, MEETEI MAYEK LETTER KHOU
U+ABC9, \xea\xaf\x89, MEETEI MAYEK LETTER NGOU
U+ABCA, \xea\xaf\x8a, MEETEI MAYEK LETTER THOU
U+ABCB, \xea\xaf\x8b, MEETEI MAYEK LETTER WAI
U+ABCC, \xea\xaf\x8c, MEETEI MAYEK LETTER YANG
U+ABCD, \xea\xaf\x8d, MEETEI MAYEK LETTER HUK
U+ABCE, \xea\xaf\x8e, MEETEI MAYEK LETTER UN
U+ABCF, \xea\xaf\x8f, MEETEI MAYEK LETTER I
U+ABD0, \xea\xaf\x90, MEETEI MAYEK LETTER PHAM
U+ABD1, \xea\xaf\x91, MEETEI MAYEK LETTER ATIYA
U+ABD2, \xea\xaf\x92, MEETEI MAYEK LETTER GOK
U+ABD3, \xea\xaf\x93, MEETEI MAYEK LETTER JHAM
U+ABD4, \xea\xaf\x94, MEETEI MAYEK LETTER RAI
U+ABD5, \xea\xaf\x95, MEETEI MAYEK LETTER BA
U+ABD6, \xea\xaf\x96, MEETEI MAYEK LETTER JIL
U+ABD7, \xea\xaf\x97, MEETEI MAYEK LETTER DIL
U+ABD8, \xea\xaf\x98, MEETEI MAYEK LETTER GHOU
U+ABD9, \xea\xaf\x99, MEETEI MAYEK LETTER DHOU
U+ABDA, \xea\xaf\x9a, MEETEI MAYEK LETTER BHAM
U+ABDB, \xea\xaf\x9b, MEETEI MAYEK LETTER KOK LONSUM
U+ABDC, \xea\xaf\x9c, MEETEI MAYEK LETTER LAI LONSUM
U+ABDD, \xea\xaf\x9d, MEETEI MAYEK LETTER MIT LONSUM
U+ABDE, \xea\xaf\x9e, MEETEI MAYEK LETTER PA LONSUM
U+ABDF, \xea\xaf\x9f, MEETEI MAYEK LETTER NA LONSUM
U+ABE0, \xea\xaf\xa0, MEETEI MAYEK LETTER TIL LONSUM
U+ABE1, \xea\xaf\xa1, MEETEI MAYEK LETTER NGOU LONSUM
U+ABE2, \xea\xaf\xa2, MEETEI MAYEK LETTER I LONSUM
U+ABE3, \xea\xaf\xa3, MEETEI MAYEK VOWEL SIGN ONAP
U+ABE4, \xea\xaf\xa4, MEETEI MAYEK VOWEL SIGN INAP
U+ABE5, \xea\xaf\xa5, MEETEI MAYEK VOWEL SIGN ANAP
U+ABE6, \xea\xaf\xa6, MEETEI MAYEK VOWEL SIGN YENAP
U+ABE7, \xea\xaf\xa7, MEETEI MAYEK VOWEL SIGN SOUNAP
U+ABE8, \xea\xaf\xa8, MEETEI MAYEK VOWEL SIGN UNAP
U+ABE9, \xea\xaf\xa9, MEETEI MAYEK VOWEL SIGN CHEINAP
U+ABEA, \xea\xaf\xaa, MEETEI MAYEK VOWEL SIGN NUNG
U+ABEB, \xea\xaf\xab, MEETEI MAYEK CHEIKHEI
U+ABEC, \xea\xaf\xac, MEETEI MAYEK LUM IYEK
U+ABED, \xea\xaf\xad, MEETEI MAYEK APUN IYEK
U+ABF0, \xea\xaf\xb0, MEETEI MAYEK DIGIT ZERO
U+ABF1, \xea\xaf\xb1, MEETEI MAYEK DIGIT ONE
U+ABF2, \xea\xaf\xb2, MEETEI MAYEK DIGIT TWO
U+ABF3, \xea\xaf\xb3, MEETEI MAYEK DIGIT THREE
U+ABF4, \xea\xaf\xb4, MEETEI MAYEK DIGIT FOUR
U+ABF5, \xea\xaf\xb5, MEETEI MAYEK DIGIT FIVE
U+ABF6, \xea\xaf\xb6, MEETEI MAYEK DIGIT SIX
U+ABF7, \xea\xaf\xb7, MEETEI MAYEK DIGIT SEVEN
U+ABF8, \xea\xaf\xb8, MEETEI MAYEK DIGIT EIGHT
U+ABF9, \xea\xaf\xb9, MEETEI MAYEK DIGIT NINE
