# Musical Symbols
U+1D100, \xf0\x9d\x84\x80, MUSICAL SYMBOL SINGLE BARLINE
U+1D101, \xf0\x9d\x84\x81, MUSICAL SYMBOL DOUBLE BARLINE
U+1D102, \xf0\x9d\x84\x82, MUSICAL SYMBOL FINAL BARLINE
U+1D103, \xf0\x9d\x84\x83, MUSICAL SYMBOL REVERSE FINAL BARLINE
U+1D104, \xf0\x9d\x84\x84, MUSICAL SYMBOL DASHED BARLINE
U+1D105, \xf0\x9d\x84\x85, MUSICAL SYMBOL SHORT BARLINE
U+1D106, \xf0\x9d\x84\x86, MUSICAL SYMBOL LEFT REPEAT SIGN
U+1D107, \xf0\x9d\x84\x87, MUSICAL SYMBOL RIGHT REPEAT SIGN
U+1D108, \xf0\x9d\x84\x88, MUSICAL SYMBOL REPEAT DOTS
U+1D109, \xf0\x9d\x84\x89, MUSICAL SYMBOL DAL SEGNO
U+1D10A, \xf0\x9d\x84\x8a, MUSICAL SYMBOL DA CAPO
U+1D10B, \xf0\x9d\x84\x8b, MUSICAL SYMBOL SEGNO
U+1D10C, \xf0\x9d\x84\x8c, MUSICAL SYMBOL CODA
U+1D10D, \xf0\x9d\x84\x8d, MUSICAL SYMBOL REPEATED FIGURE-1
U+1D10E, \xf0\x9d\x84\x8e, MUSICAL SYMBOL REPEATED FIGURE-2
U+1D10F, \xf0\x9d\x84\x8f, MUSICAL SYMBOL REPEATED FIGURE-3
U+1D110, \xf0\x9d\x84\x90, MUSICAL SYMBOL FERMATA
U+1D111, \xf0\x9d\x84\x91, MUSICAL SYMBOL FERMATA BELOW
U+1D112, \xf0\x9d\x84\x92, MUSICAL SYMBOL BREATH MARK
U+1D113, \xf0\x9d\x84\x93, MUSICAL SYMBOL CAESURA
U+1D114, \xf0\x9d\x84\x94, MUSICAL SYMBOL BRACE
U+1D115, \xf0\x9d\x84\x95, MUSICAL SYMBOL BRACKET
U+1D116, \xf0\x9d\x84\x96, MUSICAL SYMBOL ONE-LINE STAFF
U+1D117, \xf0\x9d\x84\x97, MUSICAL SYMBOL TWO-LINE STAFF
U+1D118, \xf0\x9d\x84\x98, MUSICAL SYMBOL THREE-LINE STAFF
U+1D119, \xf0\x9d\x84\x99, MUSICAL SYMBOL FOUR-LINE STAFF
U+1D11A, \xf0\x9d\x84\x9a, MUSICAL SYMBOL FIVE-LINE STAFF
U+1D11B, \xf0\x9d\x84\x9b, MUSICAL SYMBOL SIX-LINE STAFF
U+1D11C, \xf0\x9d\x84\x9c, MUSICAL SYMBOL SIX-STRING FRETBOARD
U+1D11D, \xf0\x9d\x84\x9d, MUSICAL SYMBOL FOUR-STRING FRETBOARD
U+1D11E, \xf0\x9d\x84\x9e, MUSICAL SYMBOL G CLEF
U+1D11F, \xf0\x9d\x84\x9f, MUSICAL SYMBOL G CLEF OTTAVA ALTA
U+1D120, \xf0\x9d\x84\xa0, MUSICAL SYMBOL G CLEF OTTAVA BASSA
U+1D121, \xf0\x9d\x84\xa1, MUSICAL SYMBOL C CLEF
U+1D122, \xf0\x9d\x84\xa2, MUSICAL SYMBOL F CLEF
U+1D123, \xf0\x9d\x84\xa3, MUSICAL SYMBOL F CLEF OTTAVA ALTA
U+1D124, \xf0\x9d\x84\xa4, MUSICAL SYMBOL F CLEF OTTAVA BASSA
U+1D125, \xf0\x9d\x84\xa5, MUSICAL SYMBOL DRUM CLEF-1
U+1D126, \xf0\x9d\x84\xa6, MUSICAL SYMBOL DRUM CLEF-2
U+1D129, \xf0\x9d\x84\xa9, MUSICAL SYMBOL MULTIPLE MEASURE REST
U+1D12A, \xf0\x9d\x84\xaa, MUSICAL SYMBOL DOUBLE SHARP
U+1D12B, \xf0\x9d\x84\xab, MUSICAL SYMBOL DOUBLE FLAT
U+1D12C, \xf0\x9d\x84\xac, MUSICAL SYMBOL FLAT UP
U+1D12D, \xf0\x9d\x84\xad, MUSICAL SYMBOL FLAT DOWN
U+1D12E, \xf0\x9d\x84\xae, MUSICAL SYMBOL NATURAL UP
U+1D12F, \xf0\x9d\x84\xaf, MUSICAL SYMBOL NATURAL DOWN
U+1D130, \xf0\x9d\x84\xb0, MUSICAL SYMBOL SHARP UP
U+1D131, \xf0\x9d\x84\xb1, MUSICAL SYMBOL SHARP DOWN
U+1D132, \xf0\x9d\x84\xb2, MUSICAL SYMBOL QUARTER TONE SHARP
U+1D133, \xf0\x9d\x84\xb3, MUSICAL SYMBOL QUARTER TONE FLAT
U+1D134, \xf0\x9d\x84\xb4, MUSICAL SYMBOL COMMON TIME
U+1D135, \xf0\x9d\x84\xb5, MUSICAL SYMBOL CUT TIME
U+1D136, \xf0\x9d\x84\xb6, MUSICAL SYMBOL OTTAVA ALTA
U+1D137, \xf0\x9d\x84\xb7, MUSICAL SYMBOL OTTAVA BASSA
U+1D138, \xf0\x9d\x84\xb8, MUSICAL SYMBOL QUINDICESIMA ALTA
U+1D139, \xf0\x9d\x84\xb9, MUSICAL SYMBOL QUINDICESIMA BASSA
