# Myanmar
U+1000, \xe1\x80\x80, MYANMAR LETTER KA
U+1001, \xe1\x80\x81, MYANMAR LETTER KHA
U+1002, \xe1\x80\x82, MYANMAR LETTER GA
U+1003, \xe1\x80\x83, MYANMAR LETTER GHA
U+1004, \xe1\x80\x84, MYANMAR LETTER NGA
U+1005, \xe1\x80\x85, MYANMAR LETTER CA
U+1006, \xe1\x80\x86, MYANMAR LETTER CHA
U+1007, \xe1\x80\x87, MYANMAR LETTER JA
U+1008, \xe1\x80\x88, MYANMAR LETTER JHA
U+1009, \xe1\x80\x89, MYANMAR LETTER NYA
U+100A, \xe1\x80\x8a, MYANMAR LETTER NNYA
U+100B, \xe1\x80\x8b, MYANMAR LETTER TTA
U+100C, \xe1\x80\x8c, MYANMAR LETTER TTHA
U+100D, \xe1\x80\x8d, MYANMAR LETTER DDA
U+100E, \xe1\x80\x8e, MYANMAR LETTER DDHA
U+100F, \xe1\x80\x8f, MYANMAR LETTER NNA
U+1010, \xe1\x80\x90, MYANMAR LETTER TA
U+1011, \xe1\x80\x91, MYANMAR LETTER THA
U+1012, \xe1\x80\x92, MYANMAR LETTER DA
U+1013, \xe1\x80\x93, MYANMAR LETTER DHA
U+1014, \xe1\x80\x94, MYANMAR LETTER NA
U+1015, \xe1\x80\x95, MYANMAR LETTER PA
U+1016, \xe1\x80\x96, MYANMAR LETTER PHA
U+1017, \xe1\x80\x97, MYANMAR LETTER BA
U+1018, \xe1\x80\x98, MYANMAR LETTER BHA
U+1019, \xe1\x80\x99, MYANMAR LETTER MA
U+101A, \xe1\x80\x9a, MYANMAR LETTER YA
U+101B, \xe1\x80\x9b, MYANMAR LETTER RA
U+101C, \xe1\x80\x9c, MYANMAR LETTER LA
U+101D, \xe1\x80\x9d, MYANMAR LETTER WA
U+101E, \xe1\x80\x9e, MYANMAR LETTER SA
U+101F, \xe1\x80\x9f, MYANMAR LETTER HA
U+1020, \xe1\x80\xa0, MYANMAR LETTER LLA
U+1021, \xe1\x80\xa1, MYANMAR LETTER A
U+1022, \xe1\x80\xa2, MYANMAR LETTER SHAN A
U+1023, \xe1\x80\xa3, MYANMAR LETTER I
U+1024, \xe1\x80\xa4, MYANMAR LETTER II
U+1025, \xe1\x80\xa5, MYANMAR LETTER U
U+1026, \xe1\x80\xa6, MYANMAR LETTER UU
U+1027, \xe1\x80\xa7, MYANMAR LETTER E
U+1028, \xe1\x80\xa8, MYANMAR LETTER MON E
U+1029, \xe1\x80\xa9, MYANMAR LETTER O
U+102A, \xe1\x80\xaa, MYANMAR LETTER AU
U+102B, \xe1\x80\xab, MYANMAR VOWEL SIGN TALL AA
U+102C, \xe1\x80\xac, MYANMAR VOWEL SIGN AA
U+102D, \xe1\x80\xad, MYANMAR VOWEL SIGN I
U+102E, \xe1\x80\xae, MYANMAR VOWEL SIGN II
U+102F, \xe1\x80\xaf, MYANMAR VOWEL SIGN U
U+1030, \xe1\x80\xb0, MYANMAR VOWEL SIGN UU
U+1031, \xe1\x80\xb1, MYANMAR VOWEL SIGN E
U+1032, \xe1\x80\xb2, MYANMAR VOWEL SIGN AI
U+1033, \xe1\x80\xb3, MYANMAR VOWEL SIGN MON II
U+1034, \xe1\x80\xb4, MYANMAR VOWEL SIGN MON O
U+1035, \xe1\x80\xb5, MYANMAR VOWEL SIGN E ABOVE
U+1036, \xe1\x80\xb6, MYANMAR SIGN ANUSVARA
U+1037, \xe1\x80\xb7, MYANMAR SIGN DOT BELOW
U+1038, \xe1\x80\xb8, MYANMAR SIGN VISARGA
U+1039, \xe1\x80\xb9, MYANMAR SIGN VIRAMA
U+103A, \xe1\x80\xba, MYANMAR SIGN ASAT
U+103B, \xe1\x80\xbb, MYANMAR CONSONANT SIGN MEDIAL YA
U+103C, \xe1\x80\xbc, MYANMAR CONSONANT SIGN MEDIAL RA
U+103D, \xe1\x80\xbd, MYANMAR CONSONANT SIGN MEDIAL WA
U+103E, \xe1\x80\xbe, MYANMAR CONSONANT SIGN MEDIAL HA
U+103F, \xe1\x80\xbf, MYANMAR LETTER GREAT SA
U+1040, \xe1\x81\x80, MYANMAR DIGIT ZERO
U+1041, \xe1\x81\x81, MYANMAR DIGIT ONE
U+1042, \xe1\x81\x82, MYANMAR DIGIT TWO
U+1043, \xe1\x81\x83, MYANMAR DIGIT THREE
U+1044, \xe1\x81\x84, MYANMAR DIGIT FOUR
U+1045, \xe1\x81\x85, MYANMAR DIGIT FIVE
U+1046, \xe1\x81\x86, MYANMAR DIGIT SIX
