# Superscripts and Subscripts
U+2070, \xe2\x81\xb0, SUPERSCRIPT ZERO
U+2071, \xe2\x81\xb1, SUPERSCRIPT LATIN SMALL LETTER I
U+2074, \xe2\x81\xb4, SUPERSCRIPT FOUR
U+2075, \xe2\x81\xb5, SUPERSCRIPT FIVE
U+2076, \xe2\x81\xb6, SUPERSCRIPT SIX
U+2077, \xe2\x81\xb7, SUPERSCRIPT SEVEN
U+2078, \xe2\x81\xb8, SUPERSCRIPT EIGHT
U+2079, \xe2\x81\xb9, SUPERSCRIPT NINE
U+207A, \xe2\x81\xba, SUPERSCRIPT PLUS SIGN
U+207B, \xe2\x81\xbb, SUPERSCRIPT MINUS
U+207C, \xe2\x81\xbc, SUPERSCRIPT EQUALS SIGN
U+207D, \xe2\x81\xbd, SUPERSCRIPT LEFT PARENTHESIS
U+207E, \xe2\x81\xbe, SUPERSCRIPT RIGHT PARENTHESIS
U+207F, \xe2\x81\xbf, SUPERSCRIPT LATIN SMALL LETTER N
U+2080, \xe2\x82\x80, SUBSCRIPT ZERO
U+2081, \xe2\x82\x81, SUBSCRIPT ONE
U+2082, \xe2\x82\x82, SUBSCRIPT TWO
U+2083, \xe2\x82\x83, SUBSCRIPT THREE
U+2084, \xe2\x82\x84, SUBSCRIPT FOUR
U+2085, \xe2\x82\x85, SUBSCRIPT FIVE
U+2086, \xe2\x82\x86, SUBSCRIPT SIX
U+2087, \xe2\x82\x87, SUBSCRIPT SEVEN
U+2088, \xe2\x82\x88, SUBSCRIPT EIGHT
U+2089, \xe2\x82\x89, SUBSCRIPT NINE
U+208A, \xe2\x82\x8a, SUBSCRIPT PLUS SIGN
U+208B, \xe2\x82\x8b, SUBSCRIPT MINUS
U+208C, \xe2\x82\x8c, SUBSCRIPT EQUALS SIGN
U+208D, \xe2\x82\x8d, SUBSCRIPT LEFT PARENTHESIS
U+208E, \xe2\x82\x8e, SUBSCRIPT RIGHT PARENTHESIS
U+2090, \xe2\x82\x90, LATIN SUBSCRIPT SMALL LETTER A
U+2091, \xe2\x82\x91, LATIN SUBSCRIPT SMALL LETTER E
U+2092, \xe2\x82\x92, LATIN SUBSCRIPT SMALL LETTER O
U+2093, \xe2\x82\x93, LATIN SUBSCRIPT SMALL LETTER X
U+2094, \xe2\x82\x94, LATIN SUBSCRIPT SMALL LETTER SCHWA
U+2095, \xe2\x82\x95, LATIN SUBSCRIPT SMALL LETTER H
U+2096, \xe2\x82\x96, LATIN SUBSCRIPT SMALL LETTER K
U+2097, \xe2\x82\x97, LATIN SUBSCRIPT SMALL LETTER L
U+2098, \xe2\x82\x98, LATIN SUBSCRIPT SMALL LETTER M
U+2099, \xe2\x82\x99, LATIN SUBSCRIPT SMALL LETTER N
U+209A, \xe2\x82\x9a, LATIN SUBSCRIPT SMALL LETTER P
U+209B, \xe2\x82\x9b, LATIN SUBSCRIPT SMALL LETTER S
U+209C, \xe2\x82\x9c, LATIN SUBSCRIPT SMALL LETTER T
U+20A0, \xe2\x82\xa0, EURO-CURRENCY SIGN
U+20A1, \xe2\x82\xa1, COLON SIGN
U+20A2, \xe2\x82\xa2, CRUZEIRO SIGN
U+20A3, \xe2\x82\xa3, FRENCH FRANC SIGN
U+20A4, \xe2\x82\xa4, LIRA SIGN
U+20A5, \xe2\x82\xa5, MILL SIGN
U+20A6, \xe2\x82\xa6, NAIRA SIGN
U+20A7, \xe2\x82\xa7, PESETA SIGN
U+20A8, \xe2\x82\xa8, RUPEE SIGN
U+20A9, \xe2\x82\xa9, WON SIGN
U+20AA, \xe2\x82\xaa, NEW SHEQEL SIGN
U+20AB, \xe2\x82\xab, DONG SIGN
U+20AC, \xe2\x82\xac, EURO SIGN
U+20AD, \xe2\x82\xad, KIP SIGN
U+20AE, \xe2\x82\xae, TUGRIK SIGN
U+20AF, \xe2\x82\xaf, DRACHMA SIGN
U+20B0, \xe2\x82\xb0, GERMAN PENNY SIGN
U+20B1, \xe2\x82\xb1, PESO SIGN
U+20B2, \xe2\x82\xb2, GUARANI SIGN
U+20B3, \xe2\x82\xb3, AUSTRAL SIGN
U+20B4, \xe2\x82\xb4, HRYVNIA SIGN
U+20B5, \xe2\x82\xb5, CEDI SIGN
U+20B6, \xe2\x82\xb6, LIVRE TOURNOIS SIGN
U+20B7, \xe2\x82\xb7, SPESMILO SIGN
U+20B8, \xe2\x82\xb8, TENGE SIGN
U+20B9, \xe2\x82\xb9, INDIAN RUPEE SIGN
U+20D0, \xe2\x83\x90, COMBINING LEFT HARPOON ABOVE
U+20D1, \xe2\x83\x91, COMBINING RIGHT HARPOON ABOVE
U+20D2, \xe2\x83\x92, COMBINING LONG VERTICAL LINE OVERLAY
U+20D3, \xe2\x83\x93, COMBINING SHORT VERTICAL LINE OVERLAY
U+20D4, \xe2\x83\x94, COMBINING ANTICLOCKWISE ARROW ABOVE
U+20D5, \xe2\x83\x95, COMBINING CLOCKWISE ARROW ABOVE
U+20D6, \xe2\x83\x96, COMBINING LEFT ARROW ABOVE
U+20D7, \xe2\x83\x97, COMBINING RIGHT ARROW ABOVE
U+20D8, \xe2\x83\x98, COMBINING RING OVERLAY
U+20D9, \xe2\x83\x99, COMBINING CLOCKWISE RING OVERLAY
