# Syloti Nagri
U+A800, \xea\xa0\x80, SYLOTI NAGRI LETTER A
U+A801, \xea\xa0\x81, SYLOTI NAGRI LETTER I
U+A802, \xea\xa0\x82, SYLOTI NAGRI SIGN DVISVARA
U+A803, \xea\xa0\x83, SYLOTI NAGRI LETTER U
U+A804, \xea\xa0\x84, SYLOTI NAGRI LETTER E
U+A805, \xea\xa0\x85, SYLOTI NAGRI LETTER O
U+A806, \xea\xa0\x86, SYLOTI NAGRI SIGN HASANTA
U+A807, \xea\xa0\x87, SYLOTI NAGRI LETTER KO
U+A808, \xea\xa0\x88, SYLOTI NAGRI LETTER KHO
U+A809, \xea\xa0\x89, SYLOTI NAGRI LETTER GO
U+A80A, \xea\xa0\x8a, SYLOTI NAGRI LETTER GHO
U+A80B, \xea\xa0\x8b, SYLOTI NAGRI SIGN ANUSVARA
U+A80C, \xea\xa0\x8c, SYLOTI NAGRI LETTER CO
U+A80D, \xea\xa0\x8d, SYLOTI NAGRI LETTER CHO
U+A80E, \xea\xa0\x8e, SYLOTI NAGRI LETTER JO
U+A80F, \xea\xa0\x8f, SYLOTI NAGRI LETTER JHO
U+A810, \xea\xa0\x90, SYLOTI NAGRI LETTER TTO
U+A811, \xea\xa0\x91, SYLOTI NAGRI LETTER TTHO
U+A812, \xea\xa0\x92, SYLOTI NAGRI LETTER DDO
U+A813, \xea\xa0\x93, SYLOTI NAGRI LETTER DDHO
U+A814, \xea\xa0\x94, SYLOTI NAGRI LETTER TO
U+A815, \xea\xa0\x95, SYLOTI NAGRI LETTER THO
U+A816, \xea\xa0\x96, SYLOTI NAGRI LETTER DO
U+A817, \xea\xa0\x97, SYLOTI NAGRI LETTER DHO
U+A818, \xea\xa0\x98, SYLOTI NAGRI LETTER NO
U+A819, \xea\xa0\x99, SYLOTI NAGRI LETTER PO
U+A81A, \xea\xa0\x9a, SYLOTI NAGRI LETTER PHO
U+A81B, \xea\xa0\x9b, SYLOTI NAGRI LETTER BO
U+A81C, \xea\xa0\x9c, SYLOTI NAGRI LETTER BHO
U+A81D, \xea\xa0\x9d, SYLOTI NAGRI LETTER MO
U+A81E, \xea\xa0\x9e, SYLOTI NAGRI LETTER RO
U+A81F, \xea\xa0\x9f, SYLOTI NAGRI LETTER LO
U+A820, \xea\xa0\xa0, SYLOTI NAGRI LETTER RRO
U+A821, \xea\xa0\xa1, SYLOTI NAGRI LETTER SO
U+A822, \xea\xa0\xa2, SYLOTI NAGRI LETTER HO
U+A823, \xea\xa0\xa3, SYLOTI NAGRI VOWEL SIGN A
U+A824, \xea\xa0\xa4, SYLOTI NAGRI VOWEL SIGN I
U+A825, \xea\xa0\xa5, SYLOTI NAGRI VOWEL SIGN U
U+A826, \xea\xa0\xa6, SYLOTI NAGRI VOWEL SIGN E
U+A827, \xea\xa0\xa7, SYLOTI NAGRI VOWEL SIGN OO
U+A828, \xea\xa0\xa8, SYLOTI NAGRI POETRY MARK-1
U+A829, \xea\xa0\xa9, SYLOTI NAGRI POETRY MARK-2
U+A82A, \xea\xa0\xaa, SYLOTI NAGRI POETRY MARK-3
U+A82B, \xea\xa0\xab, SYLOTI NAGRI POETRY MARK-4
U+A830, \xea\xa0\xb0, NORTH INDIC FRACTION ONE QUARTER
U+A831, \xea\xa0\xb1, NORTH INDIC FRACTION ONE HALF
U+A832, \xea\xa0\xb2, NORTH INDIC FRACTION THREE QUARTERS
U+A833, \xea\xa0\xb3, NORTH INDIC FRACTION ONE SIXTEENTH
U+A834, \xea\xa0\xb4, NORTH INDIC FRACTION ONE EIGHTH
U+A835, \xea\xa0\xb5, NORTH INDIC FRACTION THREE SIXTEENTHS
U+A836, \xea\xa0\xb6, NORTH INDIC QUARTER MARK
U+A837, \xea\xa0\xb7, NORTH INDIC PLACEHOLDER MARK
U+A838, \xea\xa0\xb8, NORTH INDIC RUPEE MARK
U+A839, \xea\xa0\xb9, NORTH INDIC QUANTITY MARK
U+A840, \xea\xa1\x80, PHAGS-PA LETTER KA
U+A841, \xea\xa1\x81, PHAGS-PA LETTER KHA
U+A842, \xea\xa1\x82, PHAGS-PA LETTER GA
U+A843, \xea\xa1\x83, PHAGS-PA LETTER NGA
U+A844, \xea\xa1\x84, PHAGS-PA LETTER CA
U+A845, \xea\xa1\x85, PHAGS-PA LETTER CHA
U+A846, \xea\xa1\x86, PHAGS-PA LETTER JA
U+A847, \xea\xa1\x87, PHAGS-PA LETTER NYA
U+A848, \xea\xa1\x88, PHAGS-PA LETTER TA
U+A849, \xea\xa1\x89, PHAGS-PA LETTER THA
U+A84A, \xea\xa1\x8a, PHAGS-PA LETTER DA
U+A84B, \xea\xa1\x8b, PHAGS-PA LETTER NA
U+A84C, \xea\xa1\x8c, PHAGS-PA LETTER PA
