# Unified Canadian Aboriginal Syllabics Extended
U+18B0, \xe1\xa2\xb0, CANADIAN SYLLABICS OY
U+18B1, \xe1\xa2\xb1, CANADIAN SYLLABICS AY
U+18B2, \xe1\xa2\xb2, CANADIAN SYLLABICS AAY
U+18B3, \xe1\xa2\xb3, CANADIAN SYLLABICS WAY
U+18B4, \xe1\xa2\xb4, CANADIAN SYLLABICS POY
U+18B5, \xe1\xa2\xb5, CANADIAN SYLLABICS PAY
U+18B6, \xe1\xa2\xb6, CANADIAN SYLLABICS PWOY
U+18B7, \xe1\xa2\xb7, CANADIAN SYLLABICS TAY
U+18B8, \xe1\xa2\xb8, CANADIAN SYLLABICS KAY
U+18B9, \xe1\xa2\xb9, CANADIAN SYLLABICS KWAY
U+18BA, \xe1\xa2\xba, CANADIAN SYLLABICS MAY
U+18BB, \xe1\xa2\xbb, CANADIAN SYLLABICS NOY
U+18BC, \xe1\xa2\xbc, CANADIAN SYLLABICS NAY
U+18BD, \xe1\xa2\xbd, CANADIAN SYLLABICS LAY
U+18BE, \xe1\xa2\xbe, CANADIAN SYLLABICS SOY
U+18BF, \xe1\xa2\xbf, CANADIAN SYLLABICS SAY
U+18C0, \xe1\xa3\x80, CANADIAN SYLLABICS SHOY
U+18C1, \xe1\xa3\x81, CANADIAN SYLLABICS SHAY
U+18C2, \xe1\xa3\x82, CANADIAN SYLLABICS SHWOY
U+18C3, \xe1\xa3\x83, CANADIAN SYLLABICS YOY
U+18C4, \xe1\xa3\x84, CANADIAN SYLLABICS YAY
U+18C5, \xe1\xa3\x85, CANADIAN SYLLABICS RAY
U+18C6, \xe1\xa3\x86, CANADIAN SYLLABICS NWI
U+18C7, \xe1\xa3\x87, CANADIAN SYLLABICS OJIBWAY NWI
U+18C8, \xe1\xa3\x88, CANADIAN SYLLABICS NWII
U+18C9, \xe1\xa3\x89, CANADIAN SYLLABICS OJIBWAY NWII
U+18CA, \xe1\xa3\x8a, CANADIAN SYLLABICS NWO
U+18CB, \xe1\xa3\x8b, CANADIAN SYLLABICS OJIBWAY NWO
U+18CC, \xe1\xa3\x8c, CANADIAN SYLLABICS NWOO
U+18CD, \xe1\xa3\x8d, CANADIAN SYLLABICS OJIBWAY NWOO
U+18CE, \xe1\xa3\x8e, CANADIAN SYLLABICS RWEE
U+18CF, \xe1\xa3\x8f, CANADIAN SYLLABICS RWI
U+18D0, \xe1\xa3\x90, CANADIAN SYLLABICS RWII
U+18D1, \xe1\xa3\x91, CANADIAN SYLLABICS RWO
U+18D2, \xe1\xa3\x92, CANADIAN SYLLABICS RWOO
U+18D3, \xe1\xa3\x93, CANADIAN SYLLABICS RWA
U+18D4, \xe1\xa3\x94, CANADIAN SYLLABICS OJIBWAY P
U+18D5, \xe1\xa3\x95, CANADIAN SYLLABICS OJIBWAY T
U+18D6, \xe1\xa3\x96, CANADIAN SYLLABICS OJIBWAY K
U+18D7, \xe1\xa3\x97, CANADIAN SYLLABICS OJIBWAY C
U+18D8, \xe1\xa3\x98, CANADIAN SYLLABICS OJIBWAY M
U+18D9, \xe1\xa3\x99, CANADIAN SYLLABICS OJIBWAY N
U+18DA, \xe1\xa3\x9a, CANADIAN SYLLABICS OJIBWAY S
U+18DB, \xe1\xa3\x9b, CANADIAN SYLLABICS OJIBWAY SH
