# Variation Selectors Supplement
U+E0100, \xf3\xa0\x84\x80, VARIATION SELECTOR-17
U+E0101, \xf3\xa0\x84\x81, VARIATION SELECTOR-18
U+E0102, \xf3\xa0\x84\x82, VARIATION SELECTOR-19
U+E0103, \xf3\xa0\x84\x83, VARIATION SELECTOR-20
U+E0104, \xf3\xa0\x84\x84, VARIATION SELECTOR-21
U+E0105, \xf3\xa0\x84\x85, VARIATION SELECTOR-22
U+E0106, \xf3\xa0\x84\x86, VARIATION SELECTOR-23
U+E0107, \xf3\xa0\x84\x87, VARIATION SELECTOR-24
U+E0108, \xf3\xa0\x84\x88, VARIATION SELECTOR-25
U+E0109, \xf3\xa0\x84\x89, VARIATION SELECTOR-26
U+E010A, \xf3\xa0\x84\x8a, VARIATION SELECTOR-27
U+E010B, \xf3\xa0\x84\x8b, VARIATION SELECTOR-28
U+E010C, \xf3\xa0\x84\x8c, VARIATION SELECTOR-29
U+E010D, \xf3\xa0\x84\x8d, VARIATION SELECTOR-30
U+E010E, \xf3\xa0\x84\x8e, VARIATION SELECTOR-31
U+E010F, \xf3\xa0\x84\x8f, VARIATION SELECTOR-32
U+E0110, \xf3\xa0\x84\x90, VARIATION SELECTOR-33
U+E0111, \xf3\xa0\x84\x91, VARIATION SELECTOR-34
U+E0112, \xf3\xa0\x84\x92, VARIATION SELECTOR-35
U+E0113, \xf3\xa0\x84\x93, VARIATION SELECTOR-36
U+E0114, \xf3\xa0\x84\x94, VARIATION SELECTOR-37
U+E0115, \xf3\xa0\x84\x95, VARIATION SELECTOR-38
U+E0116, \xf3\xa0\x84\x96, VARIATION SELECTOR-39
U+E0117, \xf3\xa0\x84\x97, VARIATION SELECTOR-40
U+E0118, \xf3\xa0\x84\x98, VARIATION SELECTOR-41
U+E0119, \xf3\xa0\x84\x99, VARIATION SELECTOR-42
U+E011A, \xf3\xa0\x84\x9a, VARIATION SELECTOR-43
U+E011B, \xf3\xa0\x84\x9b, VARIATION SELECTOR-44
U+E011C, \xf3\xa0\x84\x9c, VARIATION SELECTOR-45
U+E011D, \xf3\xa0\x84\x9d, VARIATION SELECTOR-46
U+E011E, \xf3\xa0\x84\x9e, VARIATION SELECTOR-47
U+E011F, \xf3\xa0\x84\x9f, VARIATION SELECTOR-48
U+E0120, \xf3\xa0\x84\xa0, VARIATION SELECTOR-49
U+E0121, \xf3\xa0\x84\xa1, VARIATION SELECTOR-50
U+E0122, \xf3\xa0\x84\xa2, VARIATION SELECTOR-51
U+E0123, \xf3\xa0\x84\xa3, VARIATION SELECTOR-52
U+E0124, \xf3\xa0\x84\xa4, VARIATION SELECTOR-53
U+E0125, \xf3\xa0\x84\xa5, VARIATION SELECTOR-54
