# Yi Radicals
U+A490, \xea\x92\x90, YI RADICAL QOT
U+A491, \xea\x92\x91, YI RADICAL LI
U+A492, \xea\x92\x92, YI RADICAL KIT
U+A493, \xea\x92\x93, YI RADICAL NYIP
U+A494, \xea\x92\x94, YI RADICAL CYP
U+A495, \xea\x92\x95, YI RADICAL SSI
U+A496, \xea\x92\x96, YI RADICAL GGOP
U+A497, \xea\x92\x97, YI RADICAL GEP
U+A498, \xea\x92\x98, YI RADICAL MI
U+A499, \xea\x92\x99, YI RADICAL HXIT
U+A49A, \xea\x92\x9a, YI RADICAL LYR
U+A49B, \xea\x92\x9b, YI RADICAL BBUT
U+A49C, \xea\x92\x9c, YI RADICAL MOP
U+A49D, \xea\x92\x9d, YI RADICAL YO
U+A49E, \xea\x92\x9e, YI RADICAL PUT
U+A49F, \xea\x92\x9f, YI RADICAL HXUO
U+A4A0, \xea\x92\xa0, YI RADICAL TAT
U+A4A1, \xea\x92\xa1, YI RADICAL GA
U+A4A2, \xea\x92\xa2, YI RADICAL ZUP
U+A4A3, \xea\x92\xa3, YI RADICAL CYT
U+A4A4, \xea\x92\xa4, YI RADICAL DDUR
U+A4A5, \xea\x92\xa5, YI RADICAL BUR
U+A4A6, \xea\x92\xa6, YI RADICAL GGUO
U+A4A7, \xea\x92\xa7, YI RADICAL NYOP
U+A4A8, \xea\x92\xa8, YI RADICAL TU
U+A4A9, \xea\x92\xa9, YI RADICAL OP
U+A4AA, \xea\x92\xaa, YI RADICAL JJUT
U+A4AB, \xea\x92\xab, YI RADICAL ZOT
U+A4AC, \xea\x92\xac, YI RADICAL PYT
U+A4AD, \xea\x92\xad, YI RADICAL HMO
U+A4AE, \xea\x92\xae, YI RADICAL YIT
U+A4AF, \xea\x92\xaf, YI RADICAL VUR
U+A4B0, \xea\x92\xb0, YI RADICAL SHY
U+A4B1, \xea\x92\xb1, YI RADICAL VEP
U+A4B2, \xea\x92\xb2, YI RADICAL ZA
U+A4B3, \xea\x92\xb3, YI RADICAL JO
U+A4B4, \xea\x92\xb4, YI RADICAL NZUP
U+A4B5, \xea\x92\xb5, YI RADICAL JJY
U+A4B6, \xea\x92\xb6, YI RADICAL GOT
U+A4B7, \xea\x92\xb7, YI RADICAL JJIE
U+A4B8, \xea\x92\xb8, YI RADICAL WO
U+A4B9, \xea\x92\xb9, YI RADICAL DU
