# Alphabetic Presentation Forms
U+FB00, \xef\xac\x80, LATIN SMALL LIGATURE FF
U+FB01, \xef\xac\x81, LATIN SMALL LIGATURE FI
U+FB02, \xef\xac\x82, LATIN SMALL LIGATURE FL
U+FB03, \xef\xac\x83, LATIN SMALL LIGATURE FFI
U+FB04, \xef\xac\x84, LATIN SMALL LIGATURE FFL
U+FB05, \xef\xac\x85, LATIN SMALL LIGATURE LONG S T
U+FB06, \xef\xac\x86, LATIN SMALL LIGATURE ST
U+FB13, \xef\xac\x93, ARMENIAN SMALL LIGATURE MEN NOW
U+FB14, \xef\xac\x94, ARMENIAN SMALL LIGATURE MEN ECH
U+FB15, \xef\xac\x95, ARMENIAN SMALL LIGATURE MEN INI
U+FB16, \xef\xac\x96, ARMENIAN SMALL LIGATURE VEW NOW
U+FB17, \xef\xac\x97, ARMENIAN SMALL LIGATURE MEN XEH
U+FB1D, \xef\xac\x9d, HEBREW LETTER YOD WITH HIRIQ
U+FB1E, \xef\xac\x9e, HEBREW POINT JUDEO-SPANISH VARIKA
U+FB1F, \xef\xac\x9f, HEBREW LIGATURE YIDDISH YOD YOD PATAH
U+FB20, \xef\xac\xa0, HEBREW LETTER ALTERNATIVE AYIN
U+FB21, \xef\xac\xa1, HEBREW LETTER WIDE ALEF
U+FB22, \xef\xac\xa2, HEBREW LETTER WIDE DALET
U+FB23, \xef\xac\xa3, HEBREW LETTER WIDE HE
U+FB24, \xef\xac\xa4, HEBREW LETTER WIDE KAF
U+FB25, \xef\xac\xa5, HEBREW LETTER WIDE LAMED
U+FB26, \xef\xac\xa6, HEBREW LETTER WIDE FINAL MEM
U+FB27, \xef\xac\xa7, HEBREW LETTER WIDE RESH
U+FB28, \xef\xac\xa8, HEBREW LETTER WIDE TAV
U+FB29, \xef\xac\xa9, HEBREW LETTER ALTERNATIVE PLUS SIGN
U+FB2A, \xef\xac\xaa, HEBREW LETTER SHIN WITH SHIN DOT
U+FB2B, \xef\xac\xab, HEBREW LETTER SHIN WITH SIN DOT
U+FB2C, \xef\xac\xac, HEBREW LETTER SHIN WITH DAGESH AND SHIN DOT
U+FB2D, \xef\xac\xad, HEBREW LETTER SHIN WITH DAGESH AND SIN DOT
U+FB2E, \xef\xac\xae, HEBREW LETTER ALEF WITH PATAH
U+FB2F, \xef\xac\xaf, HEBREW LETTER ALEF WITH QAMATS
U+FB30, \xef\xac\xb0, HEBREW LETTER ALEF WITH MAPIQ
U+FB31, \xef\xac\xb1, HEBREW LETTER BET WITH DAGESH
U+FB32, \xef\xac\xb2, HEBREW LETTER GIMEL WITH DAGESH
U+FB33, \xef\xac\xb3, HEBREW LETTER DALET WITH DAGESH
U+FB34, \xef\xac\xb4, HEBREW LETTER HE WITH MAPIQ
U+FB35, \xef\xac\xb5, HEBREW LETTER VAV WITH DAGESH
U+FB36, \xef\xac\xb6, HEBREW LETTER ZAYIN WITH DAGESH
U+FB38, \xef\xac\xb8, HEBREW LETTER TET WITH DAGESH
U+FB39, \xef\xac\xb9, HEBREW LETTER YOD WITH DAGESH
U+FB3A, \xef\xac\xba, HEBREW LETTER FINAL KAF WITH DAGESH
U+FB3B, \xef\xac\xbb, HEBREW LETTER KAF WITH DAGESH
U+FB3C, \xef\xac\xbc, HEBREW LETTER LAMED WITH DAGESH
U+FB3E, \xef\xac\xbe, HEBREW LETTER MEM WITH DAGESH
U+FB40, \xef\xad\x80, HEBREW LETTER NUN WITH DAGESH
U+FB41, \xef\xad\x81, HEBREW LETTER SAMEKH WITH DAGESH
U+FB43, \xef\xad\x83, HEBREW LETTER FINAL PE WITH DAGESH
U+FB44, \xef\xad\x84, HEBREW LETTER PE WITH DAGESH
U+FB46, \xef\xad\x86, HEBREW LETTER TSADI WITH DAGESH
U+FB47, \xef\xad\x87, HEBREW LETTER QOF WITH DAGESH
U+FB48, \xef\xad\x88, HEBREW LETTER RESH WITH DAGESH
U+FB49, \xef\xad\x89, HEBREW LETTER SHIN WITH DAGESH
U+FB4A, \xef\xad\x8a, HEBREW LETTER TAV WITH DAGESH
U+FB4B, \xef\xad\x8b, HEBREW LETTER VAV WITH HOLAM
U+FB4C, \xef\xad\x8c, HEBREW LETTER BET WITH RAFE
U+FB4D, \xef\xad\x8d, HEBREW LETTER KAF WITH RAFE
U+FB4E, \xef\xad\x8e, HEBREW LETTER PE WITH RAFE
U+FB4F, \xef\xad\x8f, HEBREW LIGATURE ALEF LAMED
U+FB50, \xef\xad\x90, ARABIC LETTER ALEF WASLA ISOLATED FORM
U+FB51, \xef\xad\x91, ARABIC LETTER ALEF WASLA FINAL FORM
U+FB52, \xef\xad\x92, ARABIC LETTER BEEH ISOLATED FORM
