# Box Drawing
U+2500, \xe2\x94\x80, BOX DRAWINGS LIGHT HORIZONTAL
U+2501, \xe2\x94\x81, BOX DRAWINGS HEAVY HORIZONTAL
U+2502, \xe2\x94\x82, BOX DRAWINGS LIGHT VERTICAL
U+2503, \xe2\x94\x83, BOX DRAWINGS HEAVY VERTICAL
U+2504, \xe2\x94\x84, BOX DRAWINGS LIGHT TRIPLE DASH HORIZONTAL
U+2505, \xe2\x94\x85, BOX DRAWINGS HEAVY TRIPLE DASH HORIZONTAL
U+2506, \xe2\x94\x86, BOX DRAWINGS LIGHT TRIPLE DASH VERTICAL
U+2507, \xe2\x94\x87, BOX DRAWINGS HEAVY TRIPLE DASH VERTICAL
U+2508, \xe2\x94\x88, BOX DRAWINGS LIGHT QUADRUPLE DASH HORIZONTAL
U+2509, \xe2\x94\x89, BOX DRAWINGS HEAVY QUADRUPLE DASH HORIZONTAL
U+250A, \xe2\x94\x8a, BOX DRAWINGS LIGHT QUADRUPLE DASH VERTICAL
U+250B, \xe2\x94\x8b, BOX DRAWINGS HEAVY QUADRUPLE DASH VERTICAL
U+250C, \xe2\x94\x8c, BOX DRAWINGS LIGHT DOWN AND RIGHT
U+250D, \xe2\x94\x8d, BOX DRAWINGS DOWN LIGHT AND RIGHT HEAVY
U+250E, \xe2\x94\x8e, BOX DRAWINGS DOWN HEAVY AND RIGHT LIGHT
U+250F, \xe2\x94\x8f, BOX DRAWINGS HEAVY DOWN AND RIGHT
U+2510, \xe2\x94\x90, BOX DRAWINGS LIGHT DOWN AND LEFT
U+2511, \xe2\x94\x91, BOX DRAWINGS DOWN LIGHT AND LEFT HEAVY
U+2512, \xe2\x94\x92, BOX DRAWINGS DOWN HEAVY AND LEFT LIGHT
U+2513, \xe2\x94\x93, BOX DRAWINGS HEAVY DOWN AND LEFT
U+2514, \xe2\x94\x94, BOX DRAWINGS LIGHT UP AND RIGHT
U+2515, \xe2\x94\x95, BOX DRAWINGS UP LIGHT AND RIGHT HEAVY
U+2516, \xe2\x94\x96, BOX DRAWINGS UP HEAVY AND RIGHT LIGHT
U+2517, \xe2\x94\x97, BOX DRAWINGS HEAVY UP AND RIGHT
U+2518, \xe2\x94\x98, BOX DRAWINGS LIGHT UP AND LEFT
U+2519, \xe2\x94\x99, BOX DRAWINGS UP LIGHT AND LEFT HEAVY
U+251A, \xe2\x94\x9a, BOX DRAWINGS UP HEAVY AND LEFT LIGHT
U+251B, \xe2\x94\x9b, BOX DRAWINGS HEAVY UP AND LEFT
U+251C, \xe2\x94\x9c, BOX DRAWINGS LIGHT VERTICAL AND RIGHT
U+251D, \xe2\x94\x9d, BOX DRAWINGS VERTICAL LIGHT AND RIGHT HEAVY
U+251E, \xe2\x94\x9e, BOX DRAWINGS UP HEAVY AND RIGHT DOWN LIGHT
U+251F, \xe2\x94\x9f, BOX DRAWINGS DOWN HEAVY AND RIGHT UP LIGHT
U+2520, \xe2\x94\xa0, BOX DRAWINGS VERTICAL HEAVY AND RIGHT LIGHT
U+2521, \xe2\x94\xa1, BOX DRAWINGS DOWN LIGHT AND RIGHT UP HEAVY
U+2522, \xe2\x94\xa2, BOX DRAWINGS UP LIGHT AND RIGHT DOWN HEAVY
U+2523, \xe2\x94\xa3, BOX DRAWINGS HEAVY VERTICAL AND RIGHT
U+2524, \xe2\x94\xa4, BOX DRAWINGS LIGHT VERTICAL AND LEFT
U+2525, \xe2\x94\xa5, BOX DRAWINGS VERTICAL LIGHT AND LEFT HEAVY
U+2526, \xe2\x94\xa6, BOX DRAWINGS UP HEAVY AND LEFT DOWN LIGHT
U+2527, \xe2\x94\xa7, BOX DRAWINGS DOWN HEAVY AND LEFT UP LIGHT
U+2528, \xe2\x94\xa8, BOX DRAWINGS VERTICAL HEAVY AND LEFT LIGHT
U+2529, \xe2\x94\xa9, BOX DRAWINGS DOWN LIGHT AND LEFT UP HEAVY
U+252A, \xe2\x94\xaa, BOX DRAWINGS UP LIGHT AND LEFT DOWN HEAVY
U+252B, \xe2\x94\xab, BOX DRAWINGS HEAVY VERTICAL AND LEFT
U+252C, \xe2\x94\xac, BOX DRAWINGS LIGHT DOWN AND HORIZONTAL
U+252D, \xe2\x94\xad, BOX DRAWINGS LEFT HEAVY AND RIGHT DOWN LIGHT
U+252E, \xe2\x94\xae, BOX DRAWINGS RIGHT HEAVY AND LEFT DOWN LIGHT
U+252F, \xe2\x94\xaf, BOX DRAWINGS DOWN LIGHT AND HORIZONTAL HEAVY
U+2530, \xe2\x94\xb0, BOX DRAWINGS DOWN HEAVY AND HORIZONTAL LIGHT
U+2531, \xe2\x94\xb1, BOX DRAWINGS RIGHT LIGHT AND LEFT DOWN HEAVY
U+2532, \xe2\x94\xb2, BOX DRAWINGS LEFT LIGHT AND RIGHT DOWN HEAVY
U+2533, \xe2\x94\xb3, BOX DRAWINGS HEAVY DOWN AND HORIZONTAL
U+2534, \xe2\x94\xb4, BOX DRAWINGS LIGHT UP AND HORIZONTAL
U+2535, \xe2\x94\xb5, BOX DRAWINGS LEFT HEAVY AND RIGHT UP LIGHT
U+2536, \xe2\x94\xb6, BOX DRAWINGS RIGHT HEAVY AND LEFT UP LIGHT
U+2537, \xe2\x94\xb7, BOX DRAWINGS UP LIGHT AND HORIZONTAL HEAVY
U+2538, \xe2\x94\xb8, BOX DRAWINGS UP HEAVY AND HORIZONTAL LIGHT
U+2539, \xe2\x94\xb9, BOX DRAWINGS RIGHT LIGHT AND LEFT UP HEAVY
U+253A, \xe2\x94\xba, BOX DRAWINGS LEFT LIGHT AND RIGHT UP HEAVY
U+253B, \xe2\x94\xbb, BOX DRAWINGS HEAVY UP AND HORIZONTAL
U+253C, \xe2\x94\xbc, BOX DRAWINGS LIGHT VERTICAL AND HORIZONTAL
U+253D, \xe2\x94\xbd, BOX DRAWINGS LEFT HEAVY AND RIGHT VERTICAL LIGHT
U+253E, \xe2\x94\xbe, BOX DRAWINGS RIGHT HEAVY AND LEFT VERTICAL LIGHT
U+253F, \xe2\x94\xbf, BOX DRAWINGS VERTICAL LIGHT AND HORIZONTAL HEAVY
U+2540, \xe2\x95\x80, BOX DRAWINGS UP HEAVY AND DOWN HORIZONTAL LIGHT
U+2541, \xe2\x95\x81, BOX DRAWINGS DOWN HEAVY AND UP HORIZONTAL LIGHT
U+2542, \xe2\x95\x82, BOX DRAWINGS VERTICAL HEAVY AND HORIZONTAL LIGHT
U+2543, \xe2\x95\x83, BOX DRAWINGS LEFT UP HEAVY AND RIGHT DOWN LIGHT
U+2544, \xe2\x95\x84, BOX DRAWINGS RIGHT UP HEAVY AND LEFT DOWN LIGHT
U+2545, \xe2\x95\x85, BOX DRAWINGS LEFT DOWN HEAVY AND RIGHT UP LIGHT
U+2546, \xe2\x95\x86, BOX DRAWINGS RIGHT DOWN HEAVY AND LEFT UP LIGHT
U+2547, \xe2\x95\x87, BOX DRAWINGS DOWN LIGHT AND UP HORIZONTAL HEAVY
U+2548, \xe2\x95\x88, BOX DRAWINGS UP LIGHT AND DOWN HORIZONTAL HEAVY
U+2549, \xe2\x95\x89, BOX DRAWINGS RIGHT LIGHT AND LEFT VERTICAL HEAVY
U+254A, \xe2\x95\x8a, BOX DRAWINGS LEFT LIGHT AND RIGHT VERTICAL HEAVY
U+254B, \xe2\x95\x8b, BOX DRAWINGS HEAVY VERTICAL AND HORIZONTAL
U+254C, \xe2\x95\x8c, BOX DRAWINGS LIGHT DOUBLE DASH HORIZONTAL
U+254D, \xe2\x95\x8d, BOX DRAWINGS HEAVY DOUBLE DASH HORIZONTAL
U+254E, \xe2\x95\x8e, BOX DRAWINGS LIGHT DOUBLE DASH VERTICAL
U+254F, \xe2\x95\x8f, BOX DRAWINGS HEAVY DOUBLE DASH VERTICAL
U+2550, \xe2\x95\x90, BOX DRAWINGS DOUBLE HORIZONTAL
U+2551, \xe2\x95\x91, BOX DRAWINGS DOUBLE VERTICAL
U+2552, \xe2\x95\x92, BOX DRAWINGS DOWN SINGLE AND RIGHT DOUBLE
U+2553, \xe2\x95\x93, BOX DRAWINGS DOWN DOUBLE AND RIGHT SINGLE
U+2554, \xe2\x95\x94, BOX DRAWINGS DOUBLE DOWN AND RIGHT
U+2555, \xe2\x95\x95, BOX DRAWINGS DOWN SINGLE AND LEFT DOUBLE
U+2556, \xe2\x95\x96, BOX DRAWINGS DOWN DOUBLE AND LEFT SINGLE
U+2557, \xe2\x95\x97, BOX DRAWINGS DOUBLE DOWN AND LEFT
U+2558, \xe2\x95\x98, BOX DRAWINGS UP SINGLE AND RIGHT DOUBLE
U+2559, \xe2\x95\x99, BOX DRAWINGS UP DOUBLE AND RIGHT SINGLE
U+255A, \xe2\x95\x9a, BOX DRAWINGS DOUBLE UP AND RIGHT
U+255B, \xe2\x95\x9b, BOX DRAWINGS UP SINGLE AND LEFT DOUBLE
U+255C, \xe2\x95\x9c, BOX DRAWINGS UP DOUBLE AND LEFT SINGLE
U+255D, \xe2\x95\x9d, BOX DRAWINGS DOUBLE UP AND LEFT
U+255E, \xe2\x95\x9e, BOX DRAWINGS VERTICAL SINGLE AND RIGHT DOUBLE
U+255F, \xe2\x95\x9f, BOX DRAWINGS VERTICAL DOUBLE AND RIGHT SINGLE
U+2560, \xe2\x95\xa0, BOX DRAWINGS DOUBLE VERTICAL AND RIGHT
U+2561, \xe2\x95\xa1, BOX DRAWINGS VERTICAL SINGLE AND LEFT DOUBLE
U+2562, \xe2\x95\xa2, BOX DRAWINGS VERTICAL DOUBLE AND LEFT SINGLE
U+2563, \xe2\x95\xa3, BOX DRAWINGS DOUBLE VERTICAL AND LEFT
U+2564, \xe2\x95\xa4, BOX DRAWINGS DOWN SINGLE AND HORIZONTAL DOUBLE
U+2565, \xe2\x95\xa5, BOX DRAWINGS DOWN DOUBLE AND HORIZONTAL SINGLE
U+2566, \xe2\x95\xa6, BOX DRAWINGS DOUBLE DOWN AND HORIZONTAL
U+2567, \xe2\x95\xa7, BOX DRAWINGS UP SINGLE AND HORIZONTAL DOUBLE
U+2568, \xe2\x95\xa8, BOX DRAWINGS UP DOUBLE AND HORIZONTAL SINGLE
U+2569, \xe2\x95\xa9, BOX DRAWINGS DOUBLE UP AND HORIZONTAL
U+256A, \xe2\x95\xaa, BOX DRAWINGS VERTICAL SINGLE AND HORIZONTAL DOUBLE
U+256B, \xe2\x95\xab, BOX DRAWINGS VERTICAL DOUBLE AND HORIZONTAL SINGLE
U+256C, \xe2\x95\xac, BOX DRAWINGS DOUBLE VERTICAL AND HORIZONTAL
U+256D, \xe2\x95\xad, BOX DRAWINGS LIGHT ARC DOWN AND RIGHT
U+256E, \xe2\x95\xae, BOX DRAWINGS LIGHT ARC DOWN AND LEFT
U+256F, \xe2\x95\xaf, BOX DRAWINGS LIGHT ARC UP AND LEFT
U+2570, \xe2\x95\xb0, BOX DRAWINGS LIGHT ARC UP AND RIGHT
U+2571, \xe2\x95\xb1, BOX DRAWINGS LIGHT DIAGONAL UPPER RIGHT TO LOWER LEFT
U+2572, \xe2\x95\xb2, BOX DRAWINGS LIGHT DIAGONAL UPPER LEFT TO LOWER RIGHT
U+2573, \xe2\x95\xb3, BOX DRAWINGS LIGHT DIAGONAL CROSS
U+2574, \xe2\x95\xb4, BOX DRAWINGS LIGHT LEFT
U+2575, \xe2\x95\xb5, BOX DRAWINGS LIGHT UP
U+2576, \xe2\x95\xb6, BOX DRAWINGS LIGHT RIGHT
U+2577, \xe2\x95\xb7, BOX DRAWINGS LIGHT DOWN
U+2578, \xe2\x95\xb8, BOX DRAWINGS HEAVY LEFT
U+2579, \xe2\x95\xb9, BOX DRAWINGS HEAVY UP
U+257A, \xe2\x95\xba, BOX DRAWINGS HEAVY RIGHT
U+257B, \xe2\x95\xbb, BOX DRAWINGS HEAVY DOWN
U+257C, \xe2\x95\xbc, BOX DRAWINGS LIGHT LEFT AND HEAVY RIGHT
U+257D, \xe2\x95\xbd, BOX DRAWINGS LIGHT UP AND HEAVY DOWN
U+257E, \xe2\x95\xbe, BOX DRAWINGS HEAVY LEFT AND LIGHT RIGHT
U+257F, \xe2\x95\xbf, BOX DRAWINGS HEAVY UP AND LIGHT DOWN
U+2580, \xe2\x96\x80, UPPER HALF BLOCK
U+2581, \xe2\x96\x81, LOWER ONE EIGHTH BLOCK
U+2582, \xe2\x96\x82, LOWER ONE QUARTER BLOCK
U+2583, \xe2\x96\x83, LOWER THREE EIGHTHS BLOCK
U+2584, \xe2\x96\x84, LOWER HALF BLOCK
U+2585, \xe2\x96\x85, LOWER FIVE EIGHTHS BLOCK
U+2586, \xe2\x96\x86, LOWER THREE QUARTERS BLOCK
U+2587, \xe2\x96\x87, LOWER SEVEN EIGHTHS BLOCK
U+2588, \xe2\x96\x88, FULL BLOCK
U+2589, \xe2\x96\x89, LEFT SEVEN EIGHTHS BLOCK
U+258A, \xe2\x96\x8a, LEFT THREE QUARTERS BLOCK
U+258B, \xe2\x96\x8b, LEFT FIVE EIGHTHS BLOCK
U+258C, \xe2\x96\x8c, LEFT HALF BLOCK
U+258D, \xe2\x96\x8d, LEFT THREE EIGHTHS BLOCK
U+258E, \xe2\x96\x8e, LEFT ONE QUARTER BLOCK
U+258F, \xe2\x96\x8f, LEFT ONE EIGHTH BLOCK
U+2590, \xe2\x96\x90, RIGHT HALF BLOCK
U+2591, \xe2\x96\x91, LIGHT SHADE
U+2592, \xe2\x96\x92, MEDIUM SHADE
U+2593, \xe2\x96\x93, DARK SHADE
U+2594, \xe2\x96\x94, UPPER ONE EIGHTH BLOCK
U+2595, \xe2\x96\x95, RIGHT ONE EIGHTH BLOCK
