# Brahmi
U+11000, \xf0\x91\x80\x80, BRAHMI SIGN CANDRABINDU
U+11001, \xf0\x91\x80\x81, BRAHMI SIGN ANUSVARA
U+11002, \xf0\x91\x80\x82, BRAHMI SIGN VISARGA
U+11003, \xf0\x91\x80\x83, BRAHMI SIGN JIHVAMULIYA
U+11004, \xf0\x91\x80\x84, BRAHMI SIGN UPADHMANIYA
U+11005, \xf0\x91\x80\x85, BRAHMI LETTER A
U+11006, \xf0\x91\x80\x86, BRAHMI LETTER AA
U+11007, \xf0\x91\x80\x87, BRAHMI LETTER I
U+11008, \xf0\x91\x80\x88, BRAHMI LETTER II
U+11009, \xf0\x91\x80\x89, BRAHMI LETTER U
U+1100A, \xf0\x91\x80\x8a, BRAHMI LETTER UU
U+1100B, \xf0\x91\x80\x8b, BRAHMI LETTER VOCALIC R
U+1100C, \xf0\x91\x80\x8c, BRAHMI LETTER VOCALIC RR
U+1100D, \xf0\x91\x80\x8d, BRAHMI LETTER VOCALIC L
U+1100E, \xf0\x91\x80\x8e, BRAHMI LETTER VOCALIC LL
U+1100F, \xf0\x91\x80\x8f, BRAHMI LETTER E
U+11010, \xf0\x91\x80\x90, BRAHMI LETTER AI
U+11011, \xf0\x91\x80\x91, BRAHMI LETTER O
U+11012, \xf0\x91\x80\x92, BRAHMI LETTER AU
U+11013, \xf0\x91\x80\x93, BRAHMI LETTER KA
U+11014, \xf0\x91\x80\x94, BRAHMI LETTER KHA
U+11015, \xf0\x91\x80\x95, BRAHMI LETTER GA
U+11016, \xf0\x91\x80\x96, BRAHMI LETTER GHA
U+11017, \xf0\x91\x80\x97, BRAHMI LETTER NGA
U+11018, \xf0\x91\x80\x98, BRAHMI LETTER CA
U+11019, \xf0\x91\x80\x99, BRAHMI LETTER CHA
U+1101A, \xf0\x91\x80\x9a, BRAHMI LETTER JA
U+1101B, \xf0\x91\x80\x9b, BRAHMI LETTER JHA
U+1101C, \xf0\x91\x80\x9c, BRAHMI LETTER NYA
U+1101D, \xf0\x91\x80\x9d, BRAHMI LETTER TTA
U+1101E, \xf0\x91\x80\x9e, BRAHMI LETTER TTHA
U+1101F, \xf0\x91\x80\x9f, BRAHMI LETTER DDA
U+11020, \xf0\x91\x80\xa0, BRAHMI LETTER DDHA
U+11021, \xf0\x91\x80\xa1, BRAHMI LETTER NNA
U+11022, \xf0\x91\x80\xa2, BRAHMI LETTER TA
U+11023, \xf0\x91\x80\xa3, BRAHMI LETTER THA
U+11024, \xf0\x91\x80\xa4, BRAHMI LETTER DA
U+11025, \xf0\x91\x80\xa5, BRAHMI LETTER DHA
U+11026, \xf0\x91\x80\xa6, BRAHMI LETTER NA
U+11027, \xf0\x91\x80\xa7, BRAHMI LETTER PA
U+11028, \xf0\x91\x80\xa8, BRAHMI LETTER PHA
U+11029, \xf0\x91\x80\xa9, BRAHMI LETTER BA
U+1102A, \xf0\x91\x80\xaa, BRAHMI LETTER BHA
U+1102B, \xf0\x91\x80\xab, BRAHMI LETTER MA
U+1102C, \xf0\x91\x80\xac, BRAHMI LETTER YA
U+1102D, \xf0\x91\x80\xad, BRAHMI LETTER RA
U+1102E, \xf0\x91\x80\xae, BRAHMI LETTER LA
U+1102F, \xf0\x91\x80\xaf, BRAHMI LETTER VA
U+11030, \xf0\x91\x80\xb0, BRAHMI LETTER SHA
U+11031, \xf0\x91\x80\xb1, BRAHMI LETTER SSA
U+11032, \xf0\x91\x80\xb2, BRAHMI LETTER SA
U+11033, \xf0\x91\x80\xb3, BRAHMI LETTER HA
U+11034, \xf0\x91\x80\xb4, BRAHMI LETTER LLA
U+11035, \xf0\x91\x80\xb5, BRAHMI LETTER OLD TAMIL LLLA
U+11036, \xf0\x91\x80\xb6, BRAHMI LETTER OLD TAMIL RRA
U+11037, \xf0\x91\x80\xb7, BRAHMI LETTER OLD TAMIL NNNA
