# CJK Compatibility Ideographs Supplement
U+2F800, \xf0\xaf\xa0\x80, CJK COMPATIBILITY IDEOGRAPH-2F800
U+2F801, \xf0\xaf\xa0\x81, CJK COMPATIBILITY IDEOGRAPH-2F801
U+2F802, \xf0\xaf\xa0\x82, CJK COMPATIBILITY IDEOGRAPH-2F802
U+2F803, \xf0\xaf\xa0\x83, CJK COMPATIBILITY IDEOGRAPH-2F803
U+2F804, \xf0\xaf\xa0\x84, CJK COMPATIBILITY IDEOGRAPH-2F804
U+2F805, \xf0\xaf\xa0\x85, CJK COMPATIBILITY IDEOGRAPH-2F805
U+2F806, \xf0\xaf\xa0\x86, CJK COMPATIBILITY IDEOGRAPH-2F806
U+2F807, \xf0\xaf\xa0\x87, CJK COMPATIBILITY IDEOGRAPH-2F807
U+2F808, \xf0\xaf\xa0\x88, CJK COMPATIBILITY IDEOGRAPH-2F808
U+2F809, \xf0\xaf\xa0\x89, CJK COMPATIBILITY IDEOGRAPH-2F809
U+2F80A, \xf0\xaf\xa0\x8a, CJK COMPATIBILITY IDEOGRAPH-2F80A
U+2F80B, \xf0\xaf\xa0\x8b, CJK COMPATIBILITY IDEOGRAPH-2F80B
U+2F80C, \xf0\xaf\xa0\x8c, CJK COMPATIBILITY IDEOGRAPH-2F80C
U+2F80D, \xf0\xaf\xa0\x8d, CJK COMPATIBILITY IDEOGRAPH-2F80D
U+2F80E, \xf0\xaf\xa0\x8e, CJK COMPATIBILITY IDEOGRAPH-2F80E
U+2F80F, \xf0\xaf\xa0\x8f, CJK COMPATIBILITY IDEOGRAPH-2F80F
U+2F810, \xf0\xaf\xa0\x90, CJK COMPATIBILITY IDEOGRAPH-2F810
U+2F811, \xf0\xaf\xa0\x91, CJK COMPATIBILITY IDEOGRAPH-2F811
U+2F812, \xf0\xaf\xa0\x92, CJK COMPATIBILITY IDEOGRAPH-2F812
U+2F813, \xf0\xaf\xa0\x93, CJK COMPATIBILITY IDEOGRAPH-2F813
U+2F814, \xf0\xaf\xa0\x94, CJK COMPATIBILITY IDEOGRAPH-2F814
U+2F815, \xf0\xaf\xa0\x95, CJK COMPATIBILITY IDEOGRAPH-2F815
U+2F816, \xf0\xaf\xa0\x96, CJK COMPATIBILITY IDEOGRAPH-2F816
U+2F817, \xf0\xaf\xa0\x97, CJK COMPATIBILITY IDEOGRAPH-2F817
U+2F818, \xf0\xaf\xa0\x98, CJK COMPATIBILITY IDEOGRAPH-2F818
U+2F819, \xf0\xaf\xa0\x99, CJK COMPATIBILITY IDEOGRAPH-2F819
U+2F81A, \xf0\xaf\xa0\x9a, CJK COMPATIBILITY IDEOGRAPH-2F81A
U+2F81B, \xf0\xaf\xa0\x9b, CJK COMPATIBILITY IDEOGRAPH-2F81B
U+2F81C, \xf0\xaf\xa0\x9c, CJK COMPATIBILITY IDEOGRAPH-2F81C
U+2F81D, \xf0\xaf\xa0\x9d, CJK COMPATIBILITY IDEOGRAPH-2F81D
U+2F81E, \xf0\xaf\xa0\x9e, CJK COMPATIBILITY IDEOGRAPH-2F81E
U+2F81F, \xf0\xaf\xa0\x9f, CJK COMPATIBILITY IDEOGRAPH-2F81F
U+2F820, \xf0\xaf\xa0\xa0, CJK COMPATIBILITY IDEOGRAPH-2F820
U+2F821, \xf0\xaf\xa0\xa1, CJK COMPATIBILITY IDEOGRAPH-2F821
U+2F822, \xf0\xaf\xa0\xa2, CJK COMPATIBILITY IDEOGRAPH-2F822
U+2F823, \xf0\xaf\xa0\xa3, CJK COMPATIBILITY IDEOGRAPH-2F823
U+2F824, \xf0\xaf\xa0\xa4, CJK COMPATIBILITY IDEOGRAPH-2F824
U+2F825, \xf0\xaf\xa0\xa5, CJK COMPATIBILITY IDEOGRAPH-2F825
U+2F826, \xf0\xaf\xa0\xa6, CJK COMPATIBILITY IDEOGRAPH-2F826
U+2F827, \xf0\xaf\xa0\xa7, CJK COMPATIBILITY IDEOGRAPH-2F827
