# CJK Compatibility
U+3300, \xe3\x8c\x80, SQUARE APAATO
U+3301, \xe3\x8c\x81, SQUARE ARUHUA
U+3302, \xe3\x8c\x82, SQUARE ANPEA
U+3303, \xe3\x8c\x83, SQUARE AARU
U+3304, \xe3\x8c\x84, SQUARE ININGU
U+3305, \xe3\x8c\x85, SQUARE INTI
U+3306, \xe3\x8c\x86, SQUARE UON
U+3307, \xe3\x8c\x87, SQUARE ESUKUUDO
U+3308, \xe3\x8c\x88, SQUARE EEKAA
U+3309, \xe3\x8c\x89, SQUARE ONSU
U+330A, \xe3\x8c\x8a, SQUARE OOMU
U+330B, \xe3\x8c\x8b, SQUARE KAIRI
U+330C, \xe3\x8c\x8c, SQUARE KARATTO
U+330D, \xe3\x8c\x8d, SQUARE KARORII
U+330E, \xe3\x8c\x8e, SQUARE GARON
U+330F, \xe3\x8c\x8f, SQUARE GANMA
U+3310, \xe3\x8c\x90, SQUARE GIGA
U+3311, \xe3\x8c\x91, SQUARE GINII
U+3312, \xe3\x8c\x92, SQUARE KYURII
U+3313, \xe3\x8c\x93, SQUARE GIRUDAA
U+3314, \xe3\x8c\x94, SQUARE KIRO
U+3315, \xe3\x8c\x95, SQUARE KIROGURAMU
U+3316, \xe3\x8c\x96, SQUARE KIROMEETORU
U+3317, \xe3\x8c\x97, SQUARE KIROWATTO
U+3318, \xe3\x8c\x98, SQUARE GURAMU
U+3319, \xe3\x8c\x99, SQUARE GURAMUTON
U+331A, \xe3\x8c\x9a, SQUARE KURUZEIRO
U+331B, \xe3\x8c\x9b, SQUARE KUROONE
U+331C, \xe3\x8c\x9c, SQUARE KEESU
U+331D, \xe3\x8c\x9d, SQUARE KORUNA
U+331E, \xe3\x8c\x9e, SQUARE KOOPO
U+331F, \xe3\x8c\x9f, SQUARE SAIKURU
U+3320, \xe3\x8c\xa0, SQUARE SANTIIMU
U+3321, \xe3\x8c\xa1, SQUARE SIRINGU
U+3322, \xe3\x8c\xa2, SQUARE SENTI
U+3323, \xe3\x8c\xa3, SQUARE SENTO
U+3324, \xe3\x8c\xa4, SQUARE DAASU
U+3325, \xe3\x8c\xa5, SQUARE DESI
U+3326, \xe3\x8c\xa6, SQUARE DORU
U+3327, \xe3\x8c\xa7, SQUARE TON
U+3328, \xe3\x8c\xa8, SQUARE NANO
U+3329, \xe3\x8c\xa9, SQUARE NOTTO
U+332A, \xe3\x8c\xaa, SQUARE HAITU
U+332B, \xe3\x8c\xab, SQUARE PAASENTO
U+332C, \xe3\x8c\xac, SQUARE PAATU
U+332D, \xe3\x8c\xad, SQUARE BAARERU
U+332E, \xe3\x8c\xae, SQUARE PIASUTORU
