# Combining Diacritical Marks
U+0300, \xcc\x80, COMBINING GRAVE ACCENT
U+0301, \xcc\x81, COMBINING ACUTE ACCENT
U+0302, \xcc\x82, COMBINING CIRCUMFLEX ACCENT
U+0303, \xcc\x83, COMBINING TILDE
U+0304, \xcc\x84, COMBINING MACRON
U+0305, \xcc\x85, COMBINING OVERLINE
U+0306, \xcc\x86, COMBINING BREVE
U+0307, \xcc\x87, COMBINING DOT ABOVE
U+0308, \xcc\x88, COMBINING DIAERESIS
U+0309, \xcc\x89, COMBINING HOOK ABOVE
U+030A, \xcc\x8a, COMBINING RING ABOVE
U+030B, \xcc\x8b, COMBINING DOUBLE ACUTE ACCENT
U+030C, \xcc\x8c, COMBINING CARON
U+030D, \xcc\x8d, COMBINING VERTICAL LINE ABOVE
U+030E, \xcc\x8e, COMBINING DOUBLE VERTICAL LINE ABOVE
U+030F, \xcc\x8f, COMBINING DOUBLE GRAVE ACCENT
U+0310, \xcc\x90, COMBINING CANDRABINDU
U+0311, \xcc\x91, COMBINING INVERTED BREVE
U+0312, \xcc\x92, COMBINING TURNED COMMA ABOVE
U+0313, \xcc\x93, COMBINING COMMA ABOVE
U+0314, \xcc\x94, COMBINING REVERSED COMMA ABOVE
U+0315, \xcc\x95, COMBINING COMMA ABOVE RIGHT
U+0316, \xcc\x96, COMBINING GRAVE ACCENT BELOW
U+0317, \xcc\x97, COMBINING ACUTE ACCENT BELOW
U+0318, \xcc\x98, COMBINING LEFT TACK BELOW
U+0319, \xcc\x99, COMBINING RIGHT TACK BELOW
U+031A, \xcc\x9a, COMBINING LEFT ANGLE ABOVE
U+031B, \xcc\x9b, COMBINING HORN
U+031C, \xcc\x9c, COMBINING LEFT HALF RING BELOW
U+031D, \xcc\x9d, COMBINING UP TACK BELOW
U+031E, \xcc\x9e, COMBINING DOWN TACK BELOW
U+031F, \xcc\x9f, COMBINING PLUS SIGN BELOW
U+0320, \xcc\xa0, COMBINING MINUS SIGN BELOW
U+0321, \xcc\xa1, COMBINING PALATALIZED HOOK BELOW
U+0322, \xcc\xa2, COMBINING RETROFLEX HOOK BELOW
U+0323, \xcc\xa3, COMBINING DOT BELOW
U+0324, \xcc\xa4, COMBINING DIAERESIS BELOW
U+0325, \xcc\xa5, COMBINING RING BELOW
U+0326, \xcc\xa6, COMBINING COMMA BELOW
U+0327, \xcc\xa7, COMBINING CEDILLA
U+0328, \xcc\xa8, COMBINING OGONEK
U+0329, \xcc\xa9, COMBINING VERTICAL LINE BELOW
U+032A, \xcc\xaa, COMBINING BRIDGE BELOW
U+032B, \xcc\xab, COMBINING INVERTED DOUBLE ARCH BELOW
U+032C, \xcc\xac, COMBINING CARON BELOW
U+032D, \xcc\xad, COMBINING CIRCUMFLEX ACCENT BELOW
U+032E, \xcc\xae, COMBINING BREVE BELOW
U+032F, \xcc\xaf, COMBINING INVERTED BREVE BELOW
U+0330, \xcc\xb0, COMBINING TILDE BELOW
U+0331, \xcc\xb1, COMBINING MACRON BELOW
U+0332, \xcc\xb2, COMBINING LOW LINE
U+0333, \xcc\xb3, COMBINING DOUBLE LOW LINE
U+0334, \xcc\xb4, COMBINING TILDE OVERLAY
U+0335, \xcc\xb5, COMBINING SHORT STROKE OVERLAY
U+0336, \xcc\xb6, COMBINING LONG STROKE OVERLAY
U+0337, \xcc\xb7, COMBINING SHORT SOLIDUS OVERLAY
