# Currency Symbols
U+20A0, \xe2\x82\xa0, EURO-CURRENCY SIGN
U+20A1, \xe2\x82\xa1, COLON SIGN
U+20A2, \xe2\x82\xa2, CRUZEIRO SIGN
U+20A3, \xe2\x82\xa3, FRENCH FRANC SIGN
U+20A4, \xe2\x82\xa4, LIRA SIGN
U+20A5, \xe2\x82\xa5, MILL SIGN
U+20A6, \xe2\x82\xa6, NAIRA SIGN
U+20A7, \xe2\x82\xa7, PESETA SIGN
U+20A8, \xe2\x82\xa8, RUPEE SIGN
U+20A9, \xe2\x82\xa9, WON SIGN
U+20AA, \xe2\x82\xaa, NEW SHEQEL SIGN
U+20AB, \xe2\x82\xab, DONG SIGN
U+20AC, \xe2\x82\xac, EURO SIGN
U+20AD, \xe2\x82\xad, KIP SIGN
U+20AE, \xe2\x82\xae, TUGRIK SIGN
U+20AF, \xe2\x82\xaf, DRACHMA SIGN
U+20B0, \xe2\x82\xb0, GERMAN PENNY SIGN
U+20B1, \xe2\x82\xb1, PESO SIGN
U+20B2, \xe2\x82\xb2, GUARANI SIGN
U+20B3, \xe2\x82\xb3, AUSTRAL SIGN
U+20B4, \xe2\x82\xb4, HRYVNIA SIGN
U+20B5, \xe2\x82\xb5, CEDI SIGN
U+20B6, \xe2\x82\xb6, LIVRE TOURNOIS SIGN
U+20B7, \xe2\x82\xb7, SPESMILO SIGN
U+20B8, \xe2\x82\xb8, TENGE SIGN
U+20B9, \xe2\x82\xb9, INDIAN RUPEE SIGN
U+20D0, \xe2\x83\x90, COMBINING LEFT HARPOON ABOVE
U+20D1, \xe2\x83\x91, COMBINING RIGHT HARPOON ABOVE
U+20D2, \xe2\x83\x92, COMBINING LONG VERTICAL LINE OVERLAY
U+20D3, \xe2\x83\x93, COMBINING SHORT VERTICAL LINE OVERLAY
U+20D4, \xe2\x83\x94, COMBINING ANTICLOCKWISE ARROW ABOVE
U+20D5, \xe2\x83\x95, COMBINING CLOCKWISE ARROW ABOVE
U+20D6, \xe2\x83\x96, COMBINING LEFT ARROW ABOVE
U+20D7, \xe2\x83\x97, COMBINING RIGHT ARROW ABOVE
U+20D8, \xe2\x83\x98, COMBINING RING OVERLAY
U+20D9, \xe2\x83\x99, COMBINING CLOCKWISE RING OVERLAY
U+20DA, \xe2\x83\x9a, COMBINING ANTICLOCKWISE RING OVERLAY
U+20DB, \xe2\x83\x9b, COMBINING THREE DOTS ABOVE
U+20DC, \xe2\x83\x9c, COMBINING FOUR DOTS ABOVE
U+20DD, \xe2\x83\x9d, COMBINING ENCLOSING CIRCLE
U+20DE, \xe2\x83\x9e, COMBINING ENCLOSING SQUARE
U+20DF, \xe2\x83\x9f, COMBINING ENCLOSING DIAMOND
U+20E0, \xe2\x83\xa0, COMBINING ENCLOSING CIRCLE BACKSLASH
U+20E1, \xe2\x83\xa1, COMBINING LEFT RIGHT ARROW ABOVE
U+20E2, \xe2\x83\xa2, COMBINING ENCLOSING SCREEN
U+20E3, \xe2\x83\xa3, COMBINING ENCLOSING KEYCAP
U+20E4, \xe2\x83\xa4, COMBINING ENCLOSING UPWARD POINTING TRIANGLE
U+20E5, \xe2\x83\xa5, COMBINING REVERSE SOLIDUS OVERLAY
U+20E6, \xe2\x83\xa6, COMBINING DOUBLE VERTICAL STROKE OVERLAY
U+20E7, \xe2\x83\xa7, COMBINING ANNUITY SYMBOL
U+20E8, \xe2\x83\xa8, COMBINING TRIPLE UNDERDOT
U+20E9, \xe2\x83\xa9, COMBINING WIDE BRIDGE ABOVE
U+20EA, \xe2\x83\xaa, COMBINING LEFTWARDS ARROW OVERLAY
U+20EB, \xe2\x83\xab, COMBINING LONG DOUBLE SOLIDUS OVERLAY
U+20EC, \xe2\x83\xac, COMBINING RIGHTWARDS HARPOON WITH BARB DOWNWARDS
U+20ED, \xe2\x83\xad, COMBINING LEFTWARDS HARPOON WITH BARB DOWNWARDS
U+20EE, \xe2\x83\xae, COMBINING LEFT ARROW BELOW
U+20EF, \xe2\x83\xaf, COMBINING RIGHT ARROW BELOW
U+20F0, \xe2\x83\xb0, COMBINING ASTERISK ABOVE
U+2100, \xe2\x84\x80, ACCOUNT OF
U+2101, \xe2\x84\x81, ADDRESSED TO THE SUBJECT
U+2102, \xe2\x84\x82, DOUBLE-STRUCK CAPITAL C
U+2103, \xe2\x84\x83, DEGREE CELSIUS
U+2104, \xe2\x84\x84, CENTRE LINE SYMBOL
U+2105, \xe2\x84\x85, CARE OF
U+2106, \xe2\x84\x86, CADA UNA
U+2107, \xe2\x84\x87, EULER CONSTANT
U+2108, \xe2\x84\x88, SCRUPLE
U+2109, \xe2\x84\x89, DEGREE FAHRENHEIT
U+210A, \xe2\x84\x8a, SCRIPT SMALL G
U+210B, \xe2\x84\x8b, SCRIPT CAPITAL H
U+210C, \xe2\x84\x8c, BLACK-LETTER CAPITAL H
U+210D, \xe2\x84\x8d, DOUBLE-STRUCK CAPITAL H
U+210E, \xe2\x84\x8e, PLANCK CONSTANT
U+210F, \xe2\x84\x8f, PLANCK CONSTANT OVER TWO PI
U+2110, \xe2\x84\x90, SCRIPT CAPITAL I
U+2111, \xe2\x84\x91, BLACK-LETTER CAPITAL I
U+2112, \xe2\x84\x92, SCRIPT CAPITAL L
U+2113, \xe2\x84\x93, SCRIPT SMALL L
U+2114, \xe2\x84\x94, L B BAR SYMBOL
U+2115, \xe2\x84\x95, DOUBLE-STRUCK CAPITAL N
U+2116, \xe2\x84\x96, NUMERO SIGN
U+2117, \xe2\x84\x97, SOUND RECORDING COPYRIGHT
U+2118, \xe2\x84\x98, SCRIPT CAPITAL P
U+2119, \xe2\x84\x99, DOUBLE-STRUCK CAPITAL P
U+211A, \xe2\x84\x9a, DOUBLE-STRUCK CAPITAL Q
U+211B, \xe2\x84\x9b, SCRIPT CAPITAL R
U+211C, \xe2\x84\x9c, BLACK-LETTER CAPITAL R
U+211D, \xe2\x84\x9d, DOUBLE-STRUCK CAPITAL R
U+211E, \xe2\x84\x9e, PRESCRIPTION TAKE
U+211F, \xe2\x84\x9f, RESPONSE
U+2120, \xe2\x84\xa0, SERVICE MARK
U+2121, \xe2\x84\xa1, TELEPHONE SIGN
U+2122, \xe2\x84\xa2, TRADE MARK SIGN
U+2123, \xe2\x84\xa3, VERSICLE
