# Domino Tiles
U+1F030, \xf0\x9f\x80\xb0, DOMINO TILE HORIZONTAL BACK
U+1F031, \xf0\x9f\x80\xb1, DOMINO TILE HORIZONTAL-00-00
U+1F032, \xf0\x9f\x80\xb2, DOMINO TILE HORIZONTAL-00-01
U+1F033, \xf0\x9f\x80\xb3, DOMINO TILE HORIZONTAL-00-02
U+1F034, \xf0\x9f\x80\xb4, DOMINO TILE HORIZONTAL-00-03
U+1F035, \xf0\x9f\x80\xb5, DOMINO TILE HORIZONTAL-00-04
U+1F036, \xf0\x9f\x80\xb6, DOMINO TILE HORIZONTAL-00-05
U+1F037, \xf0\x9f\x80\xb7, DOMINO TILE HORIZONTAL-00-06
U+1F038, \xf0\x9f\x80\xb8, DOMINO TILE HORIZONTAL-01-00
U+1F039, \xf0\x9f\x80\xb9, DOMINO TILE HORIZONTAL-01-01
U+1F03A, \xf0\x9f\x80\xba, DOMINO TILE HORIZONTAL-01-02
U+1F03B, \xf0\x9f\x80\xbb, DOMINO TILE HORIZONTAL-01-03
U+1F03C, \xf0\x9f\x80\xbc, DOMINO TILE HORIZONTAL-01-04
U+1F03D, \xf0\x9f\x80\xbd, DOMINO TILE HORIZONTAL-01-05
U+1F03E, \xf0\x9f\x80\xbe, DOMINO TILE HORIZONTAL-01-06
U+1F03F, \xf0\x9f\x80\xbf, DOMINO TILE HORIZONTAL-02-00
U+1F040, \xf0\x9f\x81\x80, DOMINO TILE HORIZONTAL-02-01
U+1F041, \xf0\x9f\x81\x81, DOMINO TILE HORIZONTAL-02-02
U+1F042, \xf0\x9f\x81\x82, DOMINO TILE HORIZONTAL-02-03
U+1F043, \xf0\x9f\x81\x83, DOMINO TILE HORIZONTAL-02-04
U+1F044, \xf0\x9f\x81\x84, DOMINO TILE HORIZONTAL-02-05
U+1F045, \xf0\x9f\x81\x85, DOMINO TILE HORIZONTAL-02-06
U+1F046, \xf0\x9f\x81\x86, DOMINO TILE HORIZONTAL-03-00
U+1F047, \xf0\x9f\x81\x87, DOMINO TILE HORIZONTAL-03-01
U+1F048, \xf0\x9f\x81\x88, DOMINO TILE HORIZONTAL-03-02
U+1F049, \xf0\x9f\x81\x89, DOMINO TILE HORIZONTAL-03-03
U+1F04A, \xf0\x9f\x81\x8a, DOMINO TILE HORIZONTAL-03-04
U+1F04B, \xf0\x9f\x81\x8b, DOMINO TILE HORIZONTAL-03-05
U+1F04C, \xf0\x9f\x81\x8c, DOMINO TILE HORIZONTAL-03-06
U+1F04D, \xf0\x9f\x81\x8d, DOMINO TILE HORIZONTAL-04-00
U+1F04E, \xf0\x9f\x81\x8e, DOMINO TILE HORIZONTAL-04-01
U+1F04F, \xf0\x9f\x81\x8f, DOMINO TILE HORIZONTAL-04-02
U+1F050, \xf0\x9f\x81\x90, DOMINO TILE HORIZONTAL-04-03
U+1F051, \xf0\x9f\x81\x91, DOMINO TILE HORIZONTAL-04-04
U+1F052, \xf0\x9f\x81\x92, DOMINO TILE HORIZONTAL-04-05
U+1F053, \xf0\x9f\x81\x93, DOMINO TILE HORIZONTAL-04-06
U+1F054, \xf0\x9f\x81\x94, DOMINO TILE HORIZONTAL-05-00
U+1F055, \xf0\x9f\x81\x95, DOMINO TILE HORIZONTAL-05-01
U+1F056, \xf0\x9f\x81\x96, DOMINO TILE HORIZONTAL-05-02
U+1F057, \xf0\x9f\x81\x97, DOMINO TILE HORIZONTAL-05-03
U+1F058, \xf0\x9f\x81\x98, DOMINO TILE HORIZONTAL-05-04
U+1F059, \xf0\x9f\x81\x99, DOMINO TILE HORIZONTAL-05-05
U+1F05A, \xf0\x9f\x81\x9a, DOMINO TILE HORIZONTAL-05-06
U+1F05B, \xf0\x9f\x81\x9b, DOMINO TILE HORIZONTAL-06-00
U+1F05C, \xf0\x9f\x81\x9c, DOMINO TILE HORIZONTAL-06-01
U+1F05D, \xf0\x9f\x81\x9d, DOMINO TILE HORIZONTAL-06-02
U+1F05E, \xf0\x9f\x81\x9e, DOMINO TILE HORIZONTAL-06-03
U+1F05F, \xf0\x9f\x81\x9f, DOMINO TILE HORIZONTAL-06-04
U+1F060, \xf0\x9f\x81\xa0, DOMINO TILE HORIZONTAL-06-05
U+1F061, \xf0\x9f\x81\xa1, DOMINO TILE HORIZONTAL-06-06
U+1F062, \xf0\x9f\x81\xa2, DOMINO TILE VERTICAL BACK
U+1F063, \xf0\x9f\x81\xa3, DOMINO TILE VERTICAL-00-00
U+1F064, \xf0\x9f\x81\xa4, DOMINO TILE VERTICAL-00-01
U+1F065, \xf0\x9f\x81\xa5, DOMINO TILE VERTICAL-00-02
U+1F066, \xf0\x9f\x81\xa6, DOMINO TILE VERTICAL-00-03
U+1F067, \xf0\x9f\x81\xa7, DOMINO TILE VERTICAL-00-04
U+1F068, \xf0\x9f\x81\xa8, DOMINO TILE VERTICAL-00-05
U+1F069, \xf0\x9f\x81\xa9, DOMINO TILE VERTICAL-00-06
U+1F06A, \xf0\x9f\x81\xaa, DOMINO TILE VERTICAL-01-00
U+1F06B, \xf0\x9f\x81\xab, DOMINO TILE VERTICAL-01-01
U+1F06C, \xf0\x9f\x81\xac, DOMINO TILE VERTICAL-01-02
U+1F06D, \xf0\x9f\x81\xad, DOMINO TILE VERTICAL-01-03
U+1F06E, \xf0\x9f\x81\xae, DOMINO TILE VERTICAL-01-04
U+1F06F, \xf0\x9f\x81\xaf, DOMINO TILE VERTICAL-01-05
U+1F070, \xf0\x9f\x81\xb0, DOMINO TILE VERTICAL-01-06
U+1F071, \xf0\x9f\x81\xb1, DOMINO TILE VERTICAL-02-00
U+1F072, \xf0\x9f\x81\xb2, DOMINO TILE VERTICAL-02-01
U+1F073, \xf0\x9f\x81\xb3, DOMINO TILE VERTICAL-02-02
U+1F074, \xf0\x9f\x81\xb4, DOMINO TILE VERTICAL-02-03
U+1F075, \xf0\x9f\x81\xb5, DOMINO TILE VERTICAL-02-04
U+1F076, \xf0\x9f\x81\xb6, DOMINO TILE VERTICAL-02-05
U+1F077, \xf0\x9f\x81\xb7, DOMINO TILE VERTICAL-02-06
U+1F078, \xf0\x9f\x81\xb8, DOMINO TILE VERTICAL-03-00
U+1F079, \xf0\x9f\x81\xb9, DOMINO TILE VERTICAL-03-01
U+1F07A, \xf0\x9f\x81\xba, DOMINO TILE VERTICAL-03-02
U+1F07B, \xf0\x9f\x81\xbb, DOMINO TILE VERTICAL-03-03
U+1F07C, \xf0\x9f\x81\xbc, DOMINO TILE VERTICAL-03-04
U+1F07D, \xf0\x9f\x81\xbd, DOMINO TILE VERTICAL-03-05
