# Georgian Supplement
U+2D00, \xe2\xb4\x80, GEORGIAN SMALL LETTER AN
U+2D01, \xe2\xb4\x81, GEORGIAN SMALL LETTER BAN
U+2D02, \xe2\xb4\x82, GEORGIAN SMALL LETTER GAN
U+2D03, \xe2\xb4\x83, GEORGIAN SMALL LETTER DON
U+2D04, \xe2\xb4\x84, GEORGIAN SMALL LETTER EN
U+2D05, \xe2\xb4\x85, GEORGIAN SMALL LETTER VIN
U+2D06, \xe2\xb4\x86, GEORGIAN SMALL LETTER ZEN
U+2D07, \xe2\xb4\x87, GEORGIAN SMALL LETTER TAN
U+2D08, \xe2\xb4\x88, GEORGIAN SMALL LETTER IN
U+2D09, \xe2\xb4\x89, GEORGIAN SMALL LETTER KAN
U+2D0A, \xe2\xb4\x8a, GEORGIAN SMALL LETTER LAS
U+2D0B, \xe2\xb4\x8b, GEORGIAN SMALL LETTER MAN
U+2D0C, \xe2\xb4\x8c, GEORGIAN SMALL LETTER NAR
U+2D0D, \xe2\xb4\x8d, GEORGIAN SMALL LETTER ON
U+2D0E, \xe2\xb4\x8e, GEORGIAN SMALL LETTER PAR
U+2D0F, \xe2\xb4\x8f, GEORGIAN SMALL LETTER ZHAR
U+2D10, \xe2\xb4\x90, GEORGIAN SMALL LETTER RAE
U+2D11, \xe2\xb4\x91, GEORGIAN SMALL LETTER SAN
U+2D12, \xe2\xb4\x92, GEORGIAN SMALL LETTER TAR
U+2D13, \xe2\xb4\x93, GEORGIAN SMALL LETTER UN
U+2D14, \xe2\xb4\x94, GEORGIAN SMALL LETTER PHAR
U+2D15, \xe2\xb4\x95, GEORGIAN SMALL LETTER KHAR
U+2D16, \xe2\xb4\x96, GEORGIAN SMALL LETTER GHAN
U+2D17, \xe2\xb4\x97, GEORGIAN SMALL LETTER QAR
U+2D18, \xe2\xb4\x98, GEORGIAN SMALL LETTER SHIN
U+2D19, \xe2\xb4\x99, GEORGIAN SMALL LETTER CHIN
U+2D1A, \xe2\xb4\x9a, GEORGIAN SMALL LETTER CAN
U+2D1B, \xe2\xb4\x9b, GEORGIAN SMALL LETTER JIL
U+2D1C, \xe2\xb4\x9c, GEORGIAN SMALL LETTER CIL
U+2D1D, \xe2\xb4\x9d, GEORGIAN SMALL LETTER CHAR
U+2D1E, \xe2\xb4\x9e, GEORGIAN SMALL LETTER XAN
U+2D1F, \xe2\xb4\x9f, GEORGIAN SMALL LETTER JHAN
U+2D20, \xe2\xb4\xa0, GEORGIAN SMALL LETTER HAE
U+2D21, \xe2\xb4\xa1, GEORGIAN SMALL LETTER HE
U+2D22, \xe2\xb4\xa2, GEORGIAN SMALL LETTER HIE
U+2D23, \xe2\xb4\xa3, GEORGIAN SMALL LETTER WE
U+2D24, \xe2\xb4\xa4, GEORGIAN SMALL LETTER HAR
U+2D25, \xe2\xb4\xa5, GEORGIAN SMALL LETTER HOE
U+2D30, \xe2\xb4\xb0, TIFINAGH LETTER YA
U+2D31, \xe2\xb4\xb1, TIFINAGH LETTER YAB
U+2D32, \xe2\xb4\xb2, TIFINAGH LETTER YABH
U+2D33, \xe2\xb4\xb3, TIFINAGH LETTER YAG
U+2D34, \xe2\xb4\xb4, TIFINAGH LETTER YAGHH
U+2D35, \xe2\xb4\xb5, TIFINAGH LETTER BERBER ACADEMY YAJ
U+2D36, \xe2\xb4\xb6, TIFINAGH LETTER YAJ
U+2D37, \xe2\xb4\xb7, TIFINAGH LETTER YAD
U+2D38, \xe2\xb4\xb8, TIFINAGH LETTER YADH
