# Georgian
U+10A0, \xe1\x82\xa0, GEORGIAN CAPITAL LETTER AN
U+10A1, \xe1\x82\xa1, GEORGIAN CAPITAL LETTER BAN
U+10A2, \xe1\x82\xa2, GEORGIAN CAPITAL LETTER GAN
U+10A3, \xe1\x82\xa3, GEORGIAN CAPITAL LETTER DON
U+10A4, \xe1\x82\xa4, GEORGIAN CAPITAL LETTER EN
U+10A5, \xe1\x82\xa5, GEORGIAN CAPITAL LETTER VIN
U+10A6, \xe1\x82\xa6, GEORGIAN CAPITAL LETTER ZEN
U+10A7, \xe1\x82\xa7, GEORGIAN CAPITAL LETTER TAN
U+10A8, \xe1\x82\xa8, GEORGIAN CAPITAL LETTER IN
U+10A9, \xe1\x82\xa9, GEORGIAN CAPITAL LETTER KAN
U+10AA, \xe1\x82\xaa, GEORGIAN CAPITAL LETTER LAS
U+10AB, \xe1\x82\xab, GEORGIAN CAPITAL LETTER MAN
U+10AC, \xe1\x82\xac, GEORGIAN CAPITAL LETTER NAR
U+10AD, \xe1\x82\xad, GEORGIAN CAPITAL LETTER ON
U+10AE, \xe1\x82\xae, GEORGIAN CAPITAL LETTER PAR
U+10AF, \xe1\x82\xaf, GEORGIAN CAPITAL LETTER ZHAR
U+10B0, \xe1\x82\xb0, GEORGIAN CAPITAL LETTER RAE
U+10B1, \xe1\x82\xb1, GEORGIAN CAPITAL LETTER SAN
U+10B2, \xe1\x82\xb2, GEORGIAN CAPITAL LETTER TAR
U+10B3, \xe1\x82\xb3, GEORGIAN CAPITAL LETTER UN
U+10B4, \xe1\x82\xb4, GEORGIAN CAPITAL LETTER PHAR
U+10B5, \xe1\x82\xb5, GEORGIAN CAPITAL LETTER KHAR
U+10B6, \xe1\x82\xb6, GEORGIAN CAPITAL LETTER GHAN
U+10B7, \xe1\x82\xb7, GEORGIAN CAPITAL LETTER QAR
U+10B8, \xe1\x82\xb8, GEORGIAN CAPITAL LETTER SHIN
U+10B9, \xe1\x82\xb9, GEORGIAN CAPITAL LETTER CHIN
U+10BA, \xe1\x82\xba, GEORGIAN CAPITAL LETTER CAN
U+10BB, \xe1\x82\xbb, GEORGIAN CAPITAL LETTER JIL
U+10BC, \xe1\x82\xbc, GEORGIAN CAPITAL LETTER CIL
U+10BD, \xe1\x82\xbd, GEORGIAN CAPITAL LETTER CHAR
U+10BE, \xe1\x82\xbe, GEORGIAN CAPITAL LETTER XAN
U+10BF, \xe1\x82\xbf, GEORGIAN CAPITAL LETTER JHAN
U+10C0, \xe1\x83\x80, GEORGIAN CAPITAL LETTER HAE
U+10C1, \xe1\x83\x81, GEORGIAN CAPITAL LETTER HE
U+10C2, \xe1\x83\x82, GEORGIAN CAPITAL LETTER HIE
U+10C3, \xe1\x83\x83, GEORGIAN CAPITAL LETTER WE
U+10C4, \xe1\x83\x84, GEORGIAN CAPITAL LETTER HAR
U+10C5, \xe1\x83\x85, GEORGIAN CAPITAL LETTER HOE
U+10D0, \xe1\x83\x90, GEORGIAN LETTER AN
U+10D1, \xe1\x83\x91, GEORGIAN LETTER BAN
U+10D2, \xe1\x83\x92, GEORGIAN LETTER GAN
U+10D3, \xe1\x83\x93, GEORGIAN LETTER DON
U+10D4, \xe1\x83\x94, GEORGIAN LETTER EN
U+10D5, \xe1\x83\x95, GEORGIAN LETTER VIN
U+10D6, \xe1\x83\x96, GEORGIAN LETTER ZEN
U+10D7, \xe1\x83\x97, GEORGIAN LETTER TAN
U+10D8, \xe1\x83\x98, GEORGIAN LETTER IN
U+10D9, \xe1\x83\x99, GEORGIAN LETTER KAN
U+10DA, \xe1\x83\x9a, GEORGIAN LETTER LAS
U+10DB, \xe1\x83\x9b, GEORGIAN LETTER MAN
U+10DC, \xe1\x83\x9c, GEORGIAN LETTER NAR
U+10DD, \xe1\x83\x9d, GEORGIAN LETTER ON
U+10DE, \xe1\x83\x9e, GEORGIAN LETTER PAR
U+10DF, \xe1\x83\x9f, GEORGIAN LETTER ZHAR
U+10E0, \xe1\x83\xa0, GEORGIAN LETTER RAE
U+10E1, \xe1\x83\xa1, GEORGIAN LETTER SAN
U+10E2, \xe1\x83\xa2, GEORGIAN LETTER TAR
U+10E3, \xe1\x83\xa3, GEORGIAN LETTER UN
U+10E4, \xe1\x83\xa4, GEORGIAN LETTER PHAR
U+10E5, \xe1\x83\xa5, GEORGIAN LETTER KHAR
U+10E6, \xe1\x83\xa6, GEORGIAN LETTER GHAN
U+10E7, \xe1\x83\xa7, GEORGIAN LETTER QAR
U+10E8, \xe1\x83\xa8, GEORGIAN LETTER SHIN
U+10E9, \xe1\x83\xa9, GEORGIAN LETTER CHIN
U+10EA, \xe1\x83\xaa, GEORGIAN LETTER CAN
U+10EB, \xe1\x83\xab, GEORGIAN LETTER JIL
U+10EC, \xe1\x83\xac, GEORGIAN LETTER CIL
U+10ED, \xe1\x83\xad, GEORGIAN LETTER CHAR
U+10EE, \xe1\x83\xae, GEORGIAN LETTER XAN
U+10EF, \xe1\x83\xaf, GEORGIAN LETTER JHAN
U+10F0, \xe1\x83\xb0, GEORGIAN LETTER HAE
U+10F1, \xe1\x83\xb1, GEORGIAN LETTER HE
U+10F2, \xe1\x83\xb2, GEORGIAN LETTER HIE
U+10F3, \xe1\x83\xb3, GEORGIAN LETTER WE
U+10F4, \xe1\x83\xb4, GEORGIAN LETTER HAR
U+10F5, \xe1\x83\xb5, GEORGIAN LETTER HOE
U+10F6, \xe1\x83\xb6, GEORGIAN LETTER FI
U+10F7, \xe1\x83\xb7, GEORGIAN LETTER YN
U+10F8, \xe1\x83\xb8, GEORGIAN LETTER ELIFI
U+10F9, \xe1\x83\xb9, GEORGIAN LETTER TURNED GAN
U+10FA, \xe1\x83\xba, GEORGIAN LETTER AIN
U+10FB, \xe1\x83\xbb, GEORGIAN PARAGRAPH SEPARATOR
U+10FC, \xe1\x83\xbc, MODIFIER LETTER GEORGIAN NAR
U+1100, \xe1\x84\x80, HANGUL CHOSEONG KIYEOK
U+1101, \xe1\x84\x81, HANGUL CHOSEONG SSANGKIYEOK
U+1102, \xe1\x84\x82, HANGUL CHOSEONG NIEUN
U+1103, \xe1\x84\x83, HANGUL CHOSEONG TIKEUT
U+1104, \xe1\x84\x84, HANGUL CHOSEONG SSANGTIKEUT
U+1105, \xe1\x84\x85, HANGUL CHOSEONG RIEUL
U+1106, \xe1\x84\x86, HANGUL CHOSEONG MIEUM
U+1107, \xe1\x84\x87, HANGUL CHOSEONG PIEUP
U+1108, \xe1\x84\x88, HANGUL CHOSEONG SSANGPIEUP
U+1109, \xe1\x84\x89, HANGUL CHOSEONG SIOS
U+110A, \xe1\x84\x8a, HANGUL CHOSEONG SSANGSIOS
U+110B, \xe1\x84\x8b, HANGUL CHOSEONG IEUNG
U+110C, \xe1\x84\x8c, HANGUL CHOSEONG CIEUC
U+110D, \xe1\x84\x8d, HANGUL CHOSEONG SSANGCIEUC
U+110E, \xe1\x84\x8e, HANGUL CHOSEONG CHIEUCH
U+110F, \xe1\x84\x8f, HANGUL CHOSEONG KHIEUKH
U+1110, \xe1\x84\x90, HANGUL CHOSEONG THIEUTH
U+1111, \xe1\x84\x91, HANGUL CHOSEONG PHIEUPH
U+1112, \xe1\x84\x92, HANGUL CHOSEONG HIEUH
U+1113, \xe1\x84\x93, HANGUL CHOSEONG NIEUN-KIYEOK
U+1114, \xe1\x84\x94, HANGUL CHOSEONG SSANGNIEUN
U+1115, \xe1\x84\x95, HANGUL CHOSEONG NIEUN-TIKEUT
U+1116, \xe1\x84\x96, HANGUL CHOSEONG NIEUN-PIEUP
U+1117, \xe1\x84\x97, HANGUL CHOSEONG TIKEUT-KIYEOK
U+1118, \xe1\x84\x98, HANGUL CHOSEONG RIEUL-NIEUN
U+1119, \xe1\x84\x99, HANGUL CHOSEONG SSANGRIEUL
U+111A, \xe1\x84\x9a, HANGUL CHOSEONG RIEUL-HIEUH
U+111B, \xe1\x84\x9b, HANGUL CHOSEONG KAPYEOUNRIEUL
U+111C, \xe1\x84\x9c, HANGUL CHOSEONG MIEUM-PIEUP
U+111D, \xe1\x84\x9d, HANGUL CHOSEONG KAPYEOUNMIEUM
U+111E, \xe1\x84\x9e, HANGUL CHOSEONG PIEUP-KIYEOK
U+111F, \xe1\x84\x9f, HANGUL CHOSEONG PIEUP-NIEUN
U+1120, \xe1\x84\xa0, HANGUL CHOSEONG PIEUP-TIKEUT
U+1121, \xe1\x84\xa1, HANGUL CHOSEONG PIEUP-SIOS
U+1122, \xe1\x84\xa2, HANGUL CHOSEONG PIEUP-SIOS-KIYEOK
