# Gothic
U+10330, \xf0\x90\x8c\xb0, GOTHIC LETTER AHSA
U+10331, \xf0\x90\x8c\xb1, GOTHIC LETTER BAIRKAN
U+10332, \xf0\x90\x8c\xb2, GOTHIC LETTER GIBA
U+10333, \xf0\x90\x8c\xb3, GOTHIC LETTER DAGS
U+10334, \xf0\x90\x8c\xb4, GOTHIC LETTER AIHVUS
U+10335, \xf0\x90\x8c\xb5, GOTHIC LETTER QAIRTHRA
U+10336, \xf0\x90\x8c\xb6, GOTHIC LETTER IUJA
U+10337, \xf0\x90\x8c\xb7, GOTHIC LETTER HAGL
U+10338, \xf0\x90\x8c\xb8, GOTHIC LETTER THIUTH
U+10339, \xf0\x90\x8c\xb9, GOTHIC LETTER EIS
U+1033A, \xf0\x90\x8c\xba, GOTHIC LETTER KUSMA
U+1033B, \xf0\x90\x8c\xbb, GOTHIC LETTER LAGUS
U+1033C, \xf0\x90\x8c\xbc, GOTHIC LETTER MANNA
U+1033D, \xf0\x90\x8c\xbd, GOTHIC LETTER NAUTHS
U+1033E, \xf0\x90\x8c\xbe, GOTHIC LETTER JER
U+1033F, \xf0\x90\x8c\xbf, GOTHIC LETTER URUS
U+10340, \xf0\x90\x8d\x80, GOTHIC LETTER PAIRTHRA
U+10341, \xf0\x90\x8d\x81, GOTHIC LETTER NINETY
U+10342, \xf0\x90\x8d\x82, GOTHIC LETTER RAIDA
U+10343, \xf0\x90\x8d\x83, GOTHIC LETTER SAUIL
U+10344, \xf0\x90\x8d\x84, GOTHIC LETTER TEIWS
U+10345, \xf0\x90\x8d\x85, GOTHIC LETTER WINJA
U+10346, \xf0\x90\x8d\x86, GOTHIC LETTER FAIHU
U+10347, \xf0\x90\x8d\x87, GOTHIC LETTER IGGWS
U+10348, \xf0\x90\x8d\x88, GOTHIC LETTER HWAIR
U+10349, \xf0\x90\x8d\x89, GOTHIC LETTER OTHAL
U+1034A, \xf0\x90\x8d\x8a, GOTHIC LETTER NINE HUNDRED
U+10380, \xf0\x90\x8e\x80, UGARITIC LETTER ALPA
U+10381, \xf0\x90\x8e\x81, UGARITIC LETTER BETA
U+10382, \xf0\x90\x8e\x82, UGARITIC LETTER GAMLA
U+10383, \xf0\x90\x8e\x83, UGARITIC LETTER KHA
U+10384, \xf0\x90\x8e\x84, UGARITIC LETTER DELTA
U+10385, \xf0\x90\x8e\x85, UGARITIC LETTER HO
U+10386, \xf0\x90\x8e\x86, UGARITIC LETTER WO
U+10387, \xf0\x90\x8e\x87, UGARITIC LETTER ZETA
U+10388, \xf0\x90\x8e\x88, UGARITIC LETTER HOTA
U+10389, \xf0\x90\x8e\x89, UGARITIC LETTER TET
U+1038A, \xf0\x90\x8e\x8a, UGARITIC LETTER YOD
U+1038B, \xf0\x90\x8e\x8b, UGARITIC LETTER KAF
U+1038C, \xf0\x90\x8e\x8c, UGARITIC LETTER SHIN
U+1038D, \xf0\x90\x8e\x8d, UGARITIC LETTER LAMDA
U+1038E, \xf0\x90\x8e\x8e, UGARITIC LETTER MEM
U+1038F, \xf0\x90\x8e\x8f, UGARITIC LETTER DHAL
U+10390, \xf0\x90\x8e\x90, UGARITIC LETTER NUN
U+10391, \xf0\x90\x8e\x91, UGARITIC LETTER ZU
U+10392, \xf0\x90\x8e\x92, UGARITIC LETTER SAMKA
U+10393, \xf0\x90\x8e\x93, UGARITIC LETTER AIN
U+10394, \xf0\x90\x8e\x94, UGARITIC LETTER PU
U+10395, \xf0\x90\x8e\x95, UGARITIC LETTER SADE
U+10396, \xf0\x90\x8e\x96, UGARITIC LETTER QOPA
U+10397, \xf0\x90\x8e\x97, UGARITIC LETTER RASHA
U+10398, \xf0\x90\x8e\x98, UGARITIC LETTER THANNA
U+10399, \xf0\x90\x8e\x99, UGARITIC LETTER GHAIN
U+1039A, \xf0\x90\x8e\x9a, UGARITIC LETTER TO
U+1039B, \xf0\x90\x8e\x9b, UGARITIC LETTER I
U+1039C, \xf0\x90\x8e\x9c, UGARITIC LETTER U
U+1039D, \xf0\x90\x8e\x9d, UGARITIC LETTER SSU
U+1039F, \xf0\x90\x8e\x9f, UGARITIC WORD DIVIDER
U+103A0, \xf0\x90\x8e\xa0, OLD PERSIAN SIGN A
U+103A1, \xf0\x90\x8e\xa1, OLD PERSIAN SIGN I
U+103A2, \xf0\x90\x8e\xa2, OLD PERSIAN SIGN U
U+103A3, \xf0\x90\x8e\xa3, OLD PERSIAN SIGN KA
U+103A4, \xf0\x90\x8e\xa4, OLD PERSIAN SIGN KU
