# Greek and Coptic
U+0370, \xcd\xb0, GREEK CAPITAL LETTER HETA
U+0371, \xcd\xb1, GREEK SMALL LETTER HETA
U+0372, \xcd\xb2, GREEK CAPITAL LETTER ARCHAIC SAMPI
U+0373, \xcd\xb3, GREEK SMALL LETTER ARCHAIC SAMPI
U+0374, \xcd\xb4, GREEK NUMERAL SIGN
U+0375, \xcd\xb5, GREEK LOWER NUMERAL SIGN
U+0376, \xcd\xb6, GREEK CAPITAL LETTER PAMPHYLIAN DIGAMMA
U+0377, \xcd\xb7, GREEK SMALL LETTER PAMPHYLIAN DIGAMMA
U+037A, \xcd\xba, GREEK YPOGEGRAMMENI
U+037B, \xcd\xbb, GREEK SMALL REVERSED LUNATE SIGMA SYMBOL
U+037C, \xcd\xbc, GREEK SMALL DOTTED LUNATE SIGMA SYMBOL
U+037D, \xcd\xbd, GREEK SMALL REVERSED DOTTED LUNATE SIGMA SYMBOL
U+037E, \xcd\xbe, GREEK QUESTION MARK
U+0384, \xce\x84, GREEK TONOS
U+0385, \xce\x85, GREEK DIALYTIKA TONOS
U+0386, \xce\x86, GREEK CAPITAL LETTER ALPHA WITH TONOS
U+0387, \xce\x87, GREEK ANO TELEIA
U+0388, \xce\x88, GREEK CAPITAL LETTER EPSILON WITH TONOS
U+0389, \xce\x89, GREEK CAPITAL LETTER ETA WITH TONOS
U+038A, \xce\x8a, GREEK CAPITAL LETTER IOTA WITH TONOS
U+038C, \xce\x8c, GREEK CAPITAL LETTER OMICRON WITH TONOS
U+038E, \xce\x8e, GREEK CAPITAL LETTER UPSILON WITH TONOS
U+038F, \xce\x8f, GREEK CAPITAL LETTER OMEGA WITH TONOS
U+0390, \xce\x90, GREEK SMALL LETTER IOTA WITH DIALYTIKA AND TONOS
U+0391, \xce\x91, GREEK CAPITAL LETTER ALPHA
U+0392, \xce\x92, GREEK CAPITAL LETTER BETA
U+0393, \xce\x93, GREEK CAPITAL LETTER GAMMA
U+0394, \xce\x94, GREEK CAPITAL LETTER DELTA
U+0395, \xce\x95, GREEK CAPITAL LETTER EPSILON
U+0396, \xce\x96, GREEK CAPITAL LETTER ZETA
U+0397, \xce\x97, GREEK CAPITAL LETTER ETA
U+0398, \xce\x98, GREEK CAPITAL LETTER THETA
U+0399, \xce\x99, GREEK CAPITAL LETTER IOTA
U+039A, \xce\x9a, GREEK CAPITAL LETTER KAPPA
U+039B, \xce\x9b, GREEK CAPITAL LETTER LAMDA
U+039C, \xce\x9c, GREEK CAPITAL LETTER MU
U+039D, \xce\x9d, GREEK CAPITAL LETTER NU
U+039E, \xce\x9e, GREEK CAPITAL LETTER XI
U+039F, \xce\x9f, GREEK CAPITAL LETTER OMICRON
U+03A0, \xce\xa0, GREEK CAPITAL LETTER PI
U+03A1, \xce\xa1, GREEK CAPITAL LETTER RHO
U+03A3, \xce\xa3, GREEK CAPITAL LETTER SIGMA
U+03A4, \xce\xa4, GREEK CAPITAL LETTER TAU
U+03A5, \xce\xa5, GREEK CAPITAL LETTER UPSILON
U+03A6, \xce\xa6, GREEK CAPITAL LETTER PHI
U+03A7, \xce\xa7, GREEK CAPITAL LETTER CHI
U+03A8, \xce\xa8, GREEK CAPITAL LETTER PSI
U+03A9, \xce\xa9, GREEK CAPITAL LETTER OMEGA
U+03AA, \xce\xaa, GREEK CAPITAL LETTER IOTA WITH DIALYTIKA
U+03AB, \xce\xab, GREEK CAPITAL LETTER UPSILON WITH DIALYTIKA
U+03AC, \xce\xac, GREEK SMALL LETTER ALPHA WITH TONOS
U+03AD, \xce\xad, GREEK SMALL LETTER EPSILON WITH TONOS
U+03AE, \xce\xae, GREEK SMALL LETTER ETA WITH TONOS
U+03AF, \xce\xaf, GREEK SMALL LETTER IOTA WITH TONOS
U+03B0, \xce\xb0, GREEK SMALL LETTER UPSILON WITH DIALYTIKA AND TONOS
U+03B1, \xce\xb1, GREEK SMALL LETTER ALPHA
U+03B2, \xce\xb2, GREEK SMALL LETTER BETA
U+03B3, \xce\xb3, GREEK SMALL LETTER GAMMA
U+03B4, \xce\xb4, GREEK SMALL LETTER DELTA
U+03B5, \xce\xb5, GREEK SMALL LETTER EPSILON
U+03B6, \xce\xb6, GREEK SMALL LETTER ZETA
U+03B7, \xce\xb7, GREEK SMALL LETTER ETA
U+03B8, \xce\xb8, GREEK SMALL LETTER THETA
U+03B9, \xce\xb9, GREEK SMALL LETTER IOTA
U+03BA, \xce\xba, GREEK SMALL LETTER KAPPA
U+03BB, \xce\xbb, GREEK SMALL LETTER LAMDA
U+03BC, \xce\xbc, GREEK SMALL LETTER MU
U+03BD, \xce\xbd, GREEK SMALL LETTER NU
U+03BE, \xce\xbe, GREEK SMALL LETTER XI
U+03BF, \xce\xbf, GREEK SMALL LETTER OMICRON
U+03C0, \xcf\x80, GREEK SMALL LETTER PI
U+03C1, \xcf\x81, GREEK SMALL LETTER RHO
U+03C2, \xcf\x82, GREEK SMALL LETTER FINAL SIGMA
U+03C3, \xcf\x83, GREEK SMALL LETTER SIGMA
U+03C4, \xcf\x84, GREEK SMALL LETTER TAU
U+03C5, \xcf\x85, GREEK SMALL LETTER UPSILON
U+03C6, \xcf\x86, GREEK SMALL LETTER PHI
U+03C7, \xcf\x87, GREEK SMALL LETTER CHI
U+03C8, \xcf\x88, GREEK SMALL LETTER PSI
U+03C9, \xcf\x89, GREEK SMALL LETTER OMEGA
U+03CA, \xcf\x8a, GREEK SMALL LETTER IOTA WITH DIALYTIKA
U+03CB, \xcf\x8b, GREEK SMALL LETTER UPSILON WITH DIALYTIKA
U+03CC, \xcf\x8c, GREEK SMALL LETTER OMICRON WITH TONOS
U+03CD, \xcf\x8d, GREEK SMALL LETTER UPSILON WITH TONOS
U+03CE, \xcf\x8e, GREEK SMALL LETTER OMEGA WITH TONOS
U+03CF, \xcf\x8f, GREEK CAPITAL KAI SYMBOL
U+03D0, \xcf\x90, GREEK BETA SYMBOL
U+03D1, \xcf\x91, GREEK THETA SYMBOL
U+03D2, \xcf\x92, GREEK UPSILON WITH HOOK SYMBOL
U+03D3, \xcf\x93, GREEK UPSILON WITH ACUTE AND HOOK SYMBOL
U+03D4, \xcf\x94, GREEK UPSILON WITH DIAERESIS AND HOOK SYMBOL
U+03D5, \xcf\x95, GREEK PHI SYMBOL
U+03D6, \xcf\x96, GREEK PI SYMBOL
U+03D7, \xcf\x97, GREEK KAI SYMBOL
U+03D8, \xcf\x98, GREEK LETTER ARCHAIC KOPPA
U+03D9, \xcf\x99, GREEK SMALL LETTER ARCHAIC KOPPA
U+03DA, \xcf\x9a, GREEK LETTER STIGMA
U+03DB, \xcf\x9b, GREEK SMALL LETTER STIGMA
U+03DC, \xcf\x9c, GREEK LETTER DIGAMMA
U+03DD, \xcf\x9d, GREEK SMALL LETTER DIGAMMA
U+03DE, \xcf\x9e, GREEK LETTER KOPPA
U+03DF, \xcf\x9f, GREEK SMALL LETTER KOPPA
U+03E0, \xcf\xa0, GREEK LETTER SAMPI
U+03E1, \xcf\xa1, GREEK SMALL LETTER SAMPI
U+03E2, \xcf\xa2, COPTIC CAPITAL LETTER SHEI
U+03E3, \xcf\xa3, COPTIC SMALL LETTER SHEI
U+03E4, \xcf\xa4, COPTIC CAPITAL LETTER FEI
U+03E5, \xcf\xa5, COPTIC SMALL LETTER FEI
U+03E6, \xcf\xa6, COPTIC CAPITAL LETTER KHEI
U+03E7, \xcf\xa7, COPTIC SMALL LETTER KHEI
U+03E8, \xcf\xa8, COPTIC CAPITAL LETTER HORI
U+03E9, \xcf\xa9, COPTIC SMALL LETTER HORI
U+03EA, \xcf\xaa, COPTIC CAPITAL LETTER GANGIA
U+03EB, \xcf\xab, COPTIC SMALL LETTER GANGIA
U+03EC, \xcf\xac, COPTIC CAPITAL LETTER SHIMA
U+03ED, \xcf\xad, COPTIC SMALL LETTER SHIMA
U+03EE, \xcf\xae, COPTIC CAPITAL LETTER DEI
U+03EF, \xcf\xaf, COPTIC SMALL LETTER DEI
U+03F0, \xcf\xb0, GREEK KAPPA SYMBOL
U+03F1, \xcf\xb1, GREEK RHO SYMBOL
U+03F2, \xcf\xb2, GREEK LUNATE SIGMA SYMBOL
U+03F3, \xcf\xb3, GREEK LETTER YOT
U+03F4, \xcf\xb4, GREEK CAPITAL THETA SYMBOL
U+03F5, \xcf\xb5, GREEK LUNATE EPSILON SYMBOL
U+03F6, \xcf\xb6, GREEK REVERSED LUNATE EPSILON SYMBOL
U+03F7, \xcf\xb7, GREEK CAPITAL LETTER SHO
U+03F8, \xcf\xb8, GREEK SMALL LETTER SHO
U+03F9, \xcf\xb9, GREEK CAPITAL LUNATE SIGMA SYMBOL
U+03FA, \xcf\xba, GREEK CAPITAL LETTER SAN
U+03FB, \xcf\xbb, GREEK SMALL LETTER SAN
U+03FC, \xcf\xbc, GREEK RHO WITH STROKE SYMBOL
U+03FD, \xcf\xbd, GREEK CAPITAL REVERSED LUNATE SIGMA SYMBOL
U+03FE, \xcf\xbe, GREEK CAPITAL DOTTED LUNATE SIGMA SYMBOL
U+03FF, \xcf\xbf, GREEK CAPITAL REVERSED DOTTED LUNATE SIGMA SYMBOL
U+0400, \xd0\x80, CYRILLIC CAPITAL LETTER IE WITH GRAVE
U+0401, \xd0\x81, CYRILLIC CAPITAL LETTER IO
U+0402, \xd0\x82, CYRILLIC CAPITAL LETTER DJE
U+0403, \xd0\x83, CYRILLIC CAPITAL LETTER GJE
U+0404, \xd0\x84, CYRILLIC CAPITAL LETTER UKRAINIAN IE
U+0405, \xd0\x85, CYRILLIC CAPITAL LETTER DZE
U+0406, \xd0\x86, CYRILLIC CAPITAL LETTER BYELORUSSIAN-UKRAINIAN I
U+0407, \xd0\x87, CYRILLIC CAPITAL LETTER YI
U+0408, \xd0\x88, CYRILLIC CAPITAL LETTER JE
U+0409, \xd0\x89, CYRILLIC CAPITAL LETTER LJE
U+040A, \xd0\x8a, CYRILLIC CAPITAL LETTER NJE
U+040B, \xd0\x8b, CYRILLIC CAPITAL LETTER TSHE
U+040C, \xd0\x8c, CYRILLIC CAPITAL LETTER KJE
U+040D, \xd0\x8d, CYRILLIC CAPITAL LETTER I WITH GRAVE
U+040E, \xd0\x8e, CYRILLIC CAPITAL LETTER SHORT U
U+040F, \xd0\x8f, CYRILLIC CAPITAL LETTER DZHE
U+0410, \xd0\x90, CYRILLIC CAPITAL LETTER A
U+0411, \xd0\x91, CYRILLIC CAPITAL LETTER BE
U+0412, \xd0\x92, CYRILLIC CAPITAL LETTER VE
U+0413, \xd0\x93, CYRILLIC CAPITAL LETTER GHE
U+0414, \xd0\x94, CYRILLIC CAPITAL LETTER DE
U+0415, \xd0\x95, CYRILLIC CAPITAL LETTER IE
U+0416, \xd0\x96, CYRILLIC CAPITAL LETTER ZHE
U+0417, \xd0\x97, CYRILLIC CAPITAL LETTER ZE
U+0418, \xd0\x98, CYRILLIC CAPITAL LETTER I
U+0419, \xd0\x99, CYRILLIC CAPITAL LETTER SHORT I
U+041A, \xd0\x9a, CYRILLIC CAPITAL LETTER KA
U+041B, \xd0\x9b, CYRILLIC CAPITAL LETTER EL
U+041C, \xd0\x9c, CYRILLIC CAPITAL LETTER EM
U+041D, \xd0\x9d, CYRILLIC CAPITAL LETTER EN
U+041E, \xd0\x9e, CYRILLIC CAPITAL LETTER O
U+041F, \xd0\x9f, CYRILLIC CAPITAL LETTER PE
U+0420, \xd0\xa0, CYRILLIC CAPITAL LETTER ER
U+0421, \xd0\xa1, CYRILLIC CAPITAL LETTER ES
U+0422, \xd0\xa2, CYRILLIC CAPITAL LETTER TE
U+0423, \xd0\xa3, CYRILLIC CAPITAL LETTER U
U+0424, \xd0\xa4, CYRILLIC CAPITAL LETTER EF
U+0425, \xd0\xa5, CYRILLIC CAPITAL LETTER HA
U+0426, \xd0\xa6, CYRILLIC CAPITAL LETTER TSE
U+0427, \xd0\xa7, CYRILLIC CAPITAL LETTER CHE
U+0428, \xd0\xa8, CYRILLIC CAPITAL LETTER SHA
U+0429, \xd0\xa9, CYRILLIC CAPITAL LETTER SHCHA
U+042A, \xd0\xaa, CYRILLIC CAPITAL LETTER HARD SIGN
U+042B, \xd0\xab, CYRILLIC CAPITAL LETTER YERU
U+042C, \xd0\xac, CYRILLIC CAPITAL LETTER SOFT SIGN
U+042D, \xd0\xad, CYRILLIC CAPITAL LETTER E
U+042E, \xd0\xae, CYRILLIC CAPITAL LETTER YU
U+042F, \xd0\xaf, CYRILLIC CAPITAL LETTER YA
U+0430, \xd0\xb0, CYRILLIC SMALL LETTER A
U+0431, \xd0\xb1, CYRILLIC SMALL LETTER BE
U+0432, \xd0\xb2, CYRILLIC SMALL LETTER VE
U+0433, \xd0\xb3, CYRILLIC SMALL LETTER GHE
U+0434, \xd0\xb4, CYRILLIC SMALL LETTER DE
U+0435, \xd0\xb5, CYRILLIC SMALL LETTER IE
U+0436, \xd0\xb6, CYRILLIC SMALL LETTER ZHE
U+0437, \xd0\xb7, CYRILLIC SMALL LETTER ZE
U+0438, \xd0\xb8, CYRILLIC SMALL LETTER I
U+0439, \xd0\xb9, CYRILLIC SMALL LETTER SHORT I
