# Halfwidth and Fullwidth Forms
U+FF01, \xef\xbc\x81, FULLWIDTH EXCLAMATION MARK
U+FF02, \xef\xbc\x82, FULLWIDTH QUOTATION MARK
U+FF03, \xef\xbc\x83, FULLWIDTH NUMBER SIGN
U+FF04, \xef\xbc\x84, FULLWIDTH DOLLAR SIGN
U+FF05, \xef\xbc\x85, FULLWIDTH PERCENT SIGN
U+FF06, \xef\xbc\x86, FULLWIDTH AMPERSAND
U+FF07, \xef\xbc\x87, FULLWIDTH APOSTROPHE
U+FF08, \xef\xbc\x88, FULLWIDTH LEFT PARENTHESIS
U+FF09, \xef\xbc\x89, FULLWIDTH RIGHT PARENTHESIS
U+FF0A, \xef\xbc\x8a, FULLWIDTH ASTERISK
U+FF0B, \xef\xbc\x8b, FULLWIDTH PLUS SIGN
U+FF0C, \xef\xbc\x8c, FULLWIDTH COMMA
U+FF0D, \xef\xbc\x8d, FULLWIDTH HYPHEN-MINUS
U+FF0E, \xef\xbc\x8e, FULLWIDTH FULL STOP
U+FF0F, \xef\xbc\x8f, FULLWIDTH SOLIDUS
U+FF10, \xef\xbc\x90, FULLWIDTH DIGIT ZERO
U+FF11, \xef\xbc\x91, FULLWIDTH DIGIT ONE
U+FF12, \xef\xbc\x92, FULLWIDTH DIGIT TWO
U+FF13, \xef\xbc\x93, FULLWIDTH DIGIT THREE
U+FF14, \xef\xbc\x94, FULLWIDTH DIGIT FOUR
U+FF15, \xef\xbc\x95, FULLWIDTH DIGIT FIVE
U+FF16, \xef\xbc\x96, FULLWIDTH DIGIT SIX
U+FF17, \xef\xbc\x97, FULLWIDTH DIGIT SEVEN
U+FF18, \xef\xbc\x98, FULLWIDTH DIGIT EIGHT
U+FF19, \xef\xbc\x99, FULLWIDTH DIGIT NINE
U+FF1A, \xef\xbc\x9a, FULLWIDTH COLON
U+FF1B, \xef\xbc\x9b, FULLWIDTH SEMICOLON
U+FF1C, \xef\xbc\x9c, FULLWIDTH LESS-THAN SIGN
U+FF1D, \xef\xbc\x9d, FULLWIDTH EQUALS SIGN
U+FF1E, \xef\xbc\x9e, FULLWIDTH GREATER-THAN SIGN
U+FF1F, \xef\xbc\x9f, FULLWIDTH QUESTION MARK
U+FF20, \xef\xbc\xa0, FULLWIDTH COMMERCIAL AT
U+FF21, \xef\xbc\xa1, FULLWIDTH LATIN CAPITAL LETTER A
U+FF22, \xef\xbc\xa2, FULLWIDTH LATIN CAPITAL LETTER B
U+FF23, \xef\xbc\xa3, FULLWIDTH LATIN CAPITAL LETTER C
U+FF24, \xef\xbc\xa4, FULLWIDTH LATIN CAPITAL LETTER D
U+FF25, \xef\xbc\xa5, FULLWIDTH LATIN CAPITAL LETTER E
U+FF26, \xef\xbc\xa6, FULLWIDTH LATIN CAPITAL LETTER F
U+FF27, \xef\xbc\xa7, FULLWIDTH LATIN CAPITAL LETTER G
U+FF28, \xef\xbc\xa8, FULLWIDTH LATIN CAPITAL LETTER H
U+FF29, \xef\xbc\xa9, FULLWIDTH LATIN CAPITAL LETTER I
U+FF2A, \xef\xbc\xaa, FULLWIDTH LATIN CAPITAL LETTER J
U+FF2B, \xef\xbc\xab, FULLWIDTH LATIN CAPITAL LETTER K
U+FF2C, \xef\xbc\xac, FULLWIDTH LATIN CAPITAL LETTER L
U+FF2D, \xef\xbc\xad, FULLWIDTH LATIN CAPITAL LETTER M
U+FF2E, \xef\xbc\xae, FULLWIDTH LATIN CAPITAL LETTER N
U+FF2F, \xef\xbc\xaf, FULLWIDTH LATIN CAPITAL LETTER O
U+FF30, \xef\xbc\xb0, FULLWIDTH LATIN CAPITAL LETTER P
U+FF31, \xef\xbc\xb1, FULLWIDTH LATIN CAPITAL LETTER Q
U+FF32, \xef\xbc\xb2, FULLWIDTH LATIN CAPITAL LETTER R
U+FF33, \xef\xbc\xb3, FULLWIDTH LATIN CAPITAL LETTER S
U+FF34, \xef\xbc\xb4, FULLWIDTH LATIN CAPITAL LETTER T
U+FF35, \xef\xbc\xb5, FULLWIDTH LATIN CAPITAL LETTER U
U+FF36, \xef\xbc\xb6, FULLWIDTH LATIN CAPITAL LETTER V
U+FF37, \xef\xbc\xb7, FULLWIDTH LATIN CAPITAL LETTER W
U+FF38, \xef\xbc\xb8, FULLWIDTH LATIN CAPITAL LETTER X
U+FF39, \xef\xbc\xb9, FULLWIDTH LATIN CAPITAL LETTER Y
U+FF3A, \xef\xbc\xba, FULLWIDTH LATIN CAPITAL LETTER Z
U+FF3B, \xef\xbc\xbb, FULLWIDTH LEFT SQUARE BRACKET
U+FF3C, \xef\xbc\xbc, FULLWIDTH REVERSE SOLIDUS
U+FF3D, \xef\xbc\xbd, FULLWIDTH RIGHT SQUARE BRACKET
U+FF3E, \xef\xbc\xbe, FULLWIDTH CIRCUMFLEX ACCENT
U+FF3F, \xef\xbc\xbf, FULLWIDTH LOW LINE
U+FF40, \xef\xbd\x80, FULLWIDTH GRAVE ACCENT
U+FF41, \xef\xbd\x81, FULLWIDTH LATIN SMALL LETTER A
U+FF42, \xef\xbd\x82, FULLWIDTH LATIN SMALL LETTER B
U+FF43, \xef\xbd\x83, FULLWIDTH LATIN SMALL LETTER C
U+FF44, \xef\xbd\x84, FULLWIDTH LATIN SMALL LETTER D
U+FF45, \xef\xbd\x85, FULLWIDTH LATIN SMALL LETTER E
U+FF46, \xef\xbd\x86, FULLWIDTH LATIN SMALL LETTER F
U+FF47, \xef\xbd\x87, FULLWIDTH LATIN SMALL LETTER G
U+FF48, \xef\xbd\x88, FULLWIDTH LATIN SMALL LETTER H
U+FF49, \xef\xbd\x89, FULLWIDTH LATIN SMALL LETTER I
U+FF4A, \xef\xbd\x8a, FULLWIDTH LATIN SMALL LETTER J
U+FF4B, \xef\xbd\x8b, FULLWIDTH LATIN SMALL LETTER K
U+FF4C, \xef\xbd\x8c, FULLWIDTH LATIN SMALL LETTER L
U+FF4D, \xef\xbd\x8d, FULLWIDTH LATIN SMALL LETTER M
U+FF4E, \xef\xbd\x8e, FULLWIDTH LATIN SMALL LETTER N
U+FF4F, \xef\xbd\x8f, FULLWIDTH LATIN SMALL LETTER O
U+FF50, \xef\xbd\x90, FULLWIDTH LATIN SMALL LETTER P
U+FF51, \xef\xbd\x91, FULLWIDTH LATIN SMALL LETTER Q
U+FF52, \xef\xbd\x92, FULLWIDTH LATIN SMALL LETTER R
U+FF53, \xef\xbd\x93, FULLWIDTH LATIN SMALL LETTER S
U+FF54, \xef\xbd\x94, FULLWIDTH LATIN SMALL LETTER T
U+FF55, \xef\xbd\x95, FULLWIDTH LATIN SMALL LETTER U
U+FF56, \xef\xbd\x96, FULLWIDTH LATIN SMALL LETTER V
U+FF57, \xef\xbd\x97, FULLWIDTH LATIN SMALL LETTER W
U+FF58, \xef\xbd\x98, FULLWIDTH LATIN SMALL LETTER X
U+FF59, \xef\xbd\x99, FULLWIDTH LATIN SMALL LETTER Y
U+FF5A, \xef\xbd\x9a, FULLWIDTH LATIN SMALL LETTER Z
U+FF5B, \xef\xbd\x9b, FULLWIDTH LEFT CURLY BRACKET
U+FF5C, \xef\xbd\x9c, FULLWIDTH VERTICAL LINE
U+FF5D, \xef\xbd\x9d, FULLWIDTH RIGHT CURLY BRACKET
U+FF5E, \xef\xbd\x9e, FULLWIDTH TILDE
U+FF5F, \xef\xbd\x9f, FULLWIDTH LEFT WHITE PARENTHESIS
U+FF60, \xef\xbd\xa0, FULLWIDTH RIGHT WHITE PARENTHESIS
U+FF61, \xef\xbd\xa1, HALFWIDTH IDEOGRAPHIC FULL STOP
U+FF62, \xef\xbd\xa2, HALFWIDTH LEFT CORNER BRACKET
U+FF63, \xef\xbd\xa3, HALFWIDTH RIGHT CORNER BRACKET
U+FF64, \xef\xbd\xa4, HALFWIDTH IDEOGRAPHIC COMMA
U+FF65, \xef\xbd\xa5, HALFWIDTH KATAKANA MIDDLE DOT
U+FF66, \xef\xbd\xa6, HALFWIDTH KATAKANA LETTER WO
