# Hangul Compatibility Jamo
U+3131, \xe3\x84\xb1, HANGUL LETTER KIYEOK
U+3132, \xe3\x84\xb2, HANGUL LETTER SSANGKIYEOK
U+3133, \xe3\x84\xb3, HANGUL LETTER KIYEOK-SIOS
U+3134, \xe3\x84\xb4, HANGUL LETTER NIEUN
U+3135, \xe3\x84\xb5, HANGUL LETTER NIEUN-CIEUC
U+3136, \xe3\x84\xb6, HANGUL LETTER NIEUN-HIEUH
U+3137, \xe3\x84\xb7, HANGUL LETTER TIKEUT
U+3138, \xe3\x84\xb8, HANGUL LETTER SSANGTIKEUT
U+3139, \xe3\x84\xb9, HANGUL LETTER RIEUL
U+313A, \xe3\x84\xba, HANGUL LETTER RIEUL-KIYEOK
U+313B, \xe3\x84\xbb, HANGUL LETTER RIEUL-MIEUM
U+313C, \xe3\x84\xbc, HANGUL LETTER RIEUL-PIEUP
U+313D, \xe3\x84\xbd, HANGUL LETTER RIEUL-SIOS
U+313E, \xe3\x84\xbe, HANGUL LETTER RIEUL-THIEUTH
U+313F, \xe3\x84\xbf, HANGUL LETTER RIEUL-PHIEUPH
U+3140, \xe3\x85\x80, HANGUL LETTER RIEUL-HIEUH
U+3141, \xe3\x85\x81, HANGUL LETTER MIEUM
U+3142, \xe3\x85\x82, HANGUL LETTER PIEUP
U+3143, \xe3\x85\x83, HANGUL LETTER SSANGPIEUP
U+3144, \xe3\x85\x84, HANGUL LETTER PIEUP-SIOS
U+3145, \xe3\x85\x85, HANGUL LETTER SIOS
U+3146, \xe3\x85\x86, HANGUL LETTER SSANGSIOS
U+3147, \xe3\x85\x87, HANGUL LETTER IEUNG
U+3148, \xe3\x85\x88, HANGUL LETTER CIEUC
U+3149, \xe3\x85\x89, HANGUL LETTER SSANGCIEUC
U+314A, \xe3\x85\x8a, HANGUL LETTER CHIEUCH
U+314B, \xe3\x85\x8b, HANGUL LETTER KHIEUKH
U+314C, \xe3\x85\x8c, HANGUL LETTER THIEUTH
U+314D, \xe3\x85\x8d, HANGUL LETTER PHIEUPH
U+314E, \xe3\x85\x8e, HANGUL LETTER HIEUH
U+314F, \xe3\x85\x8f, HANGUL LETTER A
U+3150, \xe3\x85\x90, HANGUL LETTER AE
U+3151, \xe3\x85\x91, HANGUL LETTER YA
U+3152, \xe3\x85\x92, HANGUL LETTER YAE
U+3153, \xe3\x85\x93, HANGUL LETTER EO
U+3154, \xe3\x85\x94, HANGUL LETTER E
U+3155, \xe3\x85\x95, HANGUL LETTER YEO
U+3156, \xe3\x85\x96, HANGUL LETTER YE
U+3157, \xe3\x85\x97, HANGUL LETTER O
U+3158, \xe3\x85\x98, HANGUL LETTER WA
U+3159, \xe3\x85\x99, HANGUL LETTER WAE
U+315A, \xe3\x85\x9a, HANGUL LETTER OE
U+315B, \xe3\x85\x9b, HANGUL LETTER YO
U+315C, \xe3\x85\x9c, HANGUL LETTER U
U+315D, \xe3\x85\x9d, HANGUL LETTER WEO
U+315E, \xe3\x85\x9e, HANGUL LETTER WE
U+315F, \xe3\x85\x9f, HANGUL LETTER WI
U+3160, \xe3\x85\xa0, HANGUL LETTER YU
U+3161, \xe3\x85\xa1, HANGUL LETTER EU
U+3162, \xe3\x85\xa2, HANGUL LETTER YI
U+3163, \xe3\x85\xa3, HANGUL LETTER I
U+3164, \xe3\x85\xa4, HANGUL FILLER
U+3165, \xe3\x85\xa5, HANGUL LETTER SSANGNIEUN
U+3166, \xe3\x85\xa6, HANGUL LETTER NIEUN-TIKEUT
U+3167, \xe3\x85\xa7, HANGUL LETTER NIEUN-SIOS
U+3168, \xe3\x85\xa8, HANGUL LETTER NIEUN-PANSIOS
U+3169, \xe3\x85\xa9, HANGUL LETTER RIEUL-KIYEOK-SIOS
U+316A, \xe3\x85\xaa, HANGUL LETTER RIEUL-TIKEUT
U+316B, \xe3\x85\xab, HANGUL LETTER RIEUL-PIEUP-SIOS
U+316C, \xe3\x85\xac, HANGUL LETTER RIEUL-PANSIOS
U+316D, \xe3\x85\xad, HANGUL LETTER RIEUL-YEORINHIEUH
U+316E, \xe3\x85\xae, HANGUL LETTER MIEUM-PIEUP
U+316F, \xe3\x85\xaf, HANGUL LETTER MIEUM-SIOS
U+3170, \xe3\x85\xb0, HANGUL LETTER MIEUM-PANSIOS
U+3171, \xe3\x85\xb1, HANGUL LETTER KAPYEOUNMIEUM
