# Hangul Jamo Extended-A
U+A960, \xea\xa5\xa0, HANGUL CHOSEONG TIKEUT-MIEUM
U+A961, \xea\xa5\xa1, HANGUL CHOSEONG TIKEUT-PIEUP
U+A962, \xea\xa5\xa2, HANGUL CHOSEONG TIKEUT-SIOS
U+A963, \xea\xa5\xa3, HANGUL CHOSEONG TIKEUT-CIEUC
U+A964, \xea\xa5\xa4, HANGUL CHOSEONG RIEUL-KIYEOK
U+A965, \xea\xa5\xa5, HANGUL CHOSEONG RIEUL-SSANGKIYEOK
U+A966, \xea\xa5\xa6, HANGUL CHOSEONG RIEUL-TIKEUT
U+A967, \xea\xa5\xa7, HANGUL CHOSEONG RIEUL-SSANGTIKEUT
U+A968, \xea\xa5\xa8, HANGUL CHOSEONG RIEUL-MIEUM
U+A969, \xea\xa5\xa9, HANGUL CHOSEONG RIEUL-PIEUP
U+A96A, \xea\xa5\xaa, HANGUL CHOSEONG RIEUL-SSANGPIEUP
U+A96B, \xea\xa5\xab, HANGUL CHOSEONG RIEUL-KAPYEOUNPIEUP
U+A96C, \xea\xa5\xac, HANGUL CHOSEONG RIEUL-SIOS
U+A96D, \xea\xa5\xad, HANGUL CHOSEONG RIEUL-CIEUC
U+A96E, \xea\xa5\xae, HANGUL CHOSEONG RIEUL-KHIEUKH
U+A96F, \xea\xa5\xaf, HANGUL CHOSEONG MIEUM-KIYEOK
U+A970, \xea\xa5\xb0, HANGUL CHOSEONG MIEUM-TIKEUT
U+A971, \xea\xa5\xb1, HANGUL CHOSEONG MIEUM-SIOS
U+A972, \xea\xa5\xb2, HANGUL CHOSEONG PIEUP-SIOS-THIEUTH
U+A973, \xea\xa5\xb3, HANGUL CHOSEONG PIEUP-KHIEUKH
U+A974, \xea\xa5\xb4, HANGUL CHOSEONG PIEUP-HIEUH
U+A975, \xea\xa5\xb5, HANGUL CHOSEONG SSANGSIOS-PIEUP
U+A976, \xea\xa5\xb6, HANGUL CHOSEONG IEUNG-RIEUL
U+A977, \xea\xa5\xb7, HANGUL CHOSEONG IEUNG-HIEUH
U+A978, \xea\xa5\xb8, HANGUL CHOSEONG SSANGCIEUC-HIEUH
U+A979, \xea\xa5\xb9, HANGUL CHOSEONG SSANGTHIEUTH
U+A97A, \xea\xa5\xba, HANGUL CHOSEONG PHIEUPH-HIEUH
U+A97B, \xea\xa5\xbb, HANGUL CHOSEONG HIEUH-SIOS
U+A97C, \xea\xa5\xbc, HANGUL CHOSEONG SSANGYEORINHIEUH
U+A980, \xea\xa6\x80, JAVANESE SIGN PANYANGGA
U+A981, \xea\xa6\x81, JAVANESE SIGN CECAK
U+A982, \xea\xa6\x82, JAVANESE SIGN LAYAR
U+A983, \xea\xa6\x83, JAVANESE SIGN WIGNYAN
U+A984, \xea\xa6\x84, JAVANESE LETTER A
U+A985, \xea\xa6\x85, JAVANESE LETTER I KAWI
U+A986, \xea\xa6\x86, JAVANESE LETTER I
U+A987, \xea\xa6\x87, JAVANESE LETTER II
U+A988, \xea\xa6\x88, JAVANESE LETTER U
U+A989, \xea\xa6\x89, JAVANESE LETTER PA CEREK
U+A98A, \xea\xa6\x8a, JAVANESE LETTER NGA LELET
U+A98B, \xea\xa6\x8b, JAVANESE LETTER NGA LELET RASWADI
U+A98C, \xea\xa6\x8c, JAVANESE LETTER E
U+A98D, \xea\xa6\x8d, JAVANESE LETTER AI
U+A98E, \xea\xa6\x8e, JAVANESE LETTER O
U+A98F, \xea\xa6\x8f, JAVANESE LETTER KA
U+A990, \xea\xa6\x90, JAVANESE LETTER KA SASAK
U+A991, \xea\xa6\x91, JAVANESE LETTER KA MURDA
U+A992, \xea\xa6\x92, JAVANESE LETTER GA
