# Kanbun
U+3190, \xe3\x86\x90, IDEOGRAPHIC ANNOTATION LINKING MARK
U+3191, \xe3\x86\x91, IDEOGRAPHIC ANNOTATION REVERSE MARK
U+3192, \xe3\x86\x92, IDEOGRAPHIC ANNOTATION ONE MARK
U+3193, \xe3\x86\x93, IDEOGRAPHIC ANNOTATION TWO MARK
U+3194, \xe3\x86\x94, IDEOGRAPHIC ANNOTATION THREE MARK
U+3195, \xe3\x86\x95, IDEOGRAPHIC ANNOTATION FOUR MARK
U+3196, \xe3\x86\x96, IDEOGRAPHIC ANNOTATION TOP MARK
U+3197, \xe3\x86\x97, IDEOGRAPHIC ANNOTATION MIDDLE MARK
U+3198, \xe3\x86\x98, IDEOGRAPHIC ANNOTATION BOTTOM MARK
U+3199, \xe3\x86\x99, IDEOGRAPHIC ANNOTATION FIRST MARK
U+319A, \xe3\x86\x9a, IDEOGRAPHIC ANNOTATION SECOND MARK
U+319B, \xe3\x86\x9b, IDEOGRAPHIC ANNOTATION THIRD MARK
U+319C, \xe3\x86\x9c, IDEOGRAPHIC ANNOTATION FOURTH MARK
U+319D, \xe3\x86\x9d, IDEOGRAPHIC ANNOTATION HEAVEN MARK
U+319E, \xe3\x86\x9e, IDEOGRAPHIC ANNOTATION EARTH MARK
U+319F, \xe3\x86\x9f, IDEOGRAPHIC ANNOTATION MAN MARK
U+31A0, \xe3\x86\xa0, BOPOMOFO LETTER BU
U+31A1, \xe3\x86\xa1, BOPOMOFO LETTER ZI
U+31A2, \xe3\x86\xa2, BOPOMOFO LETTER JI
U+31A3, \xe3\x86\xa3, BOPOMOFO LETTER GU
U+31A4, \xe3\x86\xa4, BOPOMOFO LETTER EE
U+31A5, \xe3\x86\xa5, BOPOMOFO LETTER ENN
U+31A6, \xe3\x86\xa6, BOPOMOFO LETTER OO
U+31A7, \xe3\x86\xa7, BOPOMOFO LETTER ONN
U+31A8, \xe3\x86\xa8, BOPOMOFO LETTER IR
U+31A9, \xe3\x86\xa9, BOPOMOFO LETTER ANN
U+31AA, \xe3\x86\xaa, BOPOMOFO LETTER INN
U+31AB, \xe3\x86\xab, BOPOMOFO LETTER UNN
U+31AC, \xe3\x86\xac, BOPOMOFO LETTER IM
U+31AD, \xe3\x86\xad, BOPOMOFO LETTER NGG
U+31AE, \xe3\x86\xae, BOPOMOFO LETTER AINN
U+31AF, \xe3\x86\xaf, BOPOMOFO LETTER AUNN
U+31B0, \xe3\x86\xb0, BOPOMOFO LETTER AM
U+31B1, \xe3\x86\xb1, BOPOMOFO LETTER OM
U+31B2, \xe3\x86\xb2, BOPOMOFO LETTER ONG
U+31B3, \xe3\x86\xb3, BOPOMOFO LETTER INNN
U+31B4, \xe3\x86\xb4, BOPOMOFO FINAL LETTER P
U+31B5, \xe3\x86\xb5, BOPOMOFO FINAL LETTER T
U+31B6, \xe3\x86\xb6, BOPOMOFO FINAL LETTER K
U+31B7, \xe3\x86\xb7, BOPOMOFO FINAL LETTER H
U+31B8, \xe3\x86\xb8, BOPOMOFO LETTER GH
U+31B9, \xe3\x86\xb9, BOPOMOFO LETTER LH
U+31BA, \xe3\x86\xba, BOPOMOFO LETTER ZY
U+31C0, \xe3\x87\x80, CJK STROKE T
U+31C1, \xe3\x87\x81, CJK STROKE WG
U+31C2, \xe3\x87\x82, CJK STROKE XG
U+31C3, \xe3\x87\x83, CJK STROKE BXG
U+31C4, \xe3\x87\x84, CJK STROKE SW
U+31C5, \xe3\x87\x85, CJK STROKE HZZ
U+31C6, \xe3\x87\x86, CJK STROKE HZG
U+31C7, \xe3\x87\x87, CJK STROKE HP
U+31C8, \xe3\x87\x88, CJK STROKE HZWG
U+31C9, \xe3\x87\x89, CJK STROKE SZWG
U+31CA, \xe3\x87\x8a, CJK STROKE HZT
U+31CB, \xe3\x87\x8b, CJK STROKE HZZP
U+31CC, \xe3\x87\x8c, CJK STROKE HPWG
U+31CD, \xe3\x87\x8d, CJK STROKE HZW
U+31CE, \xe3\x87\x8e, CJK STROKE HZZZ
U+31CF, \xe3\x87\x8f, CJK STROKE N
U+31D0, \xe3\x87\x90, CJK STROKE H
U+31D1, \xe3\x87\x91, CJK STROKE S
U+31D2, \xe3\x87\x92, CJK STROKE P
U+31D3, \xe3\x87\x93, CJK STROKE SP
U+31D4, \xe3\x87\x94, CJK STROKE D
