# Kannada
U+0C82, \xe0\xb2\x82, KANNADA SIGN ANUSVARA
U+0C83, \xe0\xb2\x83, KANNADA SIGN VISARGA
U+0C85, \xe0\xb2\x85, KANNADA LETTER A
U+0C86, \xe0\xb2\x86, KANNADA LETTER AA
U+0C87, \xe0\xb2\x87, KANNADA LETTER I
U+0C88, \xe0\xb2\x88, KANNADA LETTER II
U+0C89, \xe0\xb2\x89, KANNADA LETTER U
U+0C8A, \xe0\xb2\x8a, KANNADA LETTER UU
U+0C8B, \xe0\xb2\x8b, KANNADA LETTER VOCALIC R
U+0C8C, \xe0\xb2\x8c, KANNADA LETTER VOCALIC L
U+0C8E, \xe0\xb2\x8e, KANNADA LETTER E
U+0C8F, \xe0\xb2\x8f, KANNADA LETTER EE
U+0C90, \xe0\xb2\x90, KANNADA LETTER AI
U+0C92, \xe0\xb2\x92, KANNADA LETTER O
U+0C93, \xe0\xb2\x93, KANNADA LETTER OO
U+0C94, \xe0\xb2\x94, KANNADA LETTER AU
U+0C95, \xe0\xb2\x95, KANNADA LETTER KA
U+0C96, \xe0\xb2\x96, KANNADA LETTER KHA
U+0C97, \xe0\xb2\x97, KANNADA LETTER GA
U+0C98, \xe0\xb2\x98, KANNADA LETTER GHA
U+0C99, \xe0\xb2\x99, KANNADA LETTER NGA
U+0C9A, \xe0\xb2\x9a, KANNADA LETTER CA
U+0C9B, \xe0\xb2\x9b, KANNADA LETTER CHA
U+0C9C, \xe0\xb2\x9c, KANNADA LETTER JA
U+0C9D, \xe0\xb2\x9d, KANNADA LETTER JHA
U+0C9E, \xe0\xb2\x9e, KANNADA LETTER NYA
U+0C9F, \xe0\xb2\x9f, KANNADA LETTER TTA
U+0CA0, \xe0\xb2\xa0, KANNADA LETTER TTHA
U+0CA1, \xe0\xb2\xa1, KANNADA LETTER DDA
U+0CA2, \xe0\xb2\xa2, KANNADA LETTER DDHA
U+0CA3, \xe0\xb2\xa3, KANNADA LETTER NNA
U+0CA4, \xe0\xb2\xa4, KANNADA LETTER TA
U+0CA5, \xe0\xb2\xa5, KANNADA LETTER THA
U+0CA6, \xe0\xb2\xa6, KANNADA LETTER DA
U+0CA7, \xe0\xb2\xa7, KANNADA LETTER DHA
U+0CA8, \xe0\xb2\xa8, KANNADA LETTER NA
U+0CAA, \xe0\xb2\xaa, KANNADA LETTER PA
U+0CAB, \xe0\xb2\xab, KANNADA LETTER PHA
U+0CAC, \xe0\xb2\xac, KANNADA LETTER BA
