# Kayah Li
U+A900, \xea\xa4\x80, KAYAH LI DIGIT ZERO
U+A901, \xea\xa4\x81, KAYAH LI DIGIT ONE
U+A902, \xea\xa4\x82, KAYAH LI DIGIT TWO
U+A903, \xea\xa4\x83, KAYAH LI DIGIT THREE
U+A904, \xea\xa4\x84, KAYAH LI DIGIT FOUR
U+A905, \xea\xa4\x85, KAYAH LI DIGIT FIVE
U+A906, \xea\xa4\x86, KAYAH LI DIGIT SIX
U+A907, \xea\xa4\x87, KAYAH LI DIGIT SEVEN
U+A908, \xea\xa4\x88, KAYAH LI DIGIT EIGHT
U+A909, \xea\xa4\x89, KAYAH LI DIGIT NINE
U+A90A, \xea\xa4\x8a, KAYAH LI LETTER KA
U+A90B, \xea\xa4\x8b, KAYAH LI LETTER KHA
U+A90C, \xea\xa4\x8c, KAYAH LI LETTER GA
U+A90D, \xea\xa4\x8d, KAYAH LI LETTER NGA
U+A90E, \xea\xa4\x8e, KAYAH LI LETTER SA
U+A90F, \xea\xa4\x8f, KAYAH LI LETTER SHA
U+A910, \xea\xa4\x90, KAYAH LI LETTER ZA
U+A911, \xea\xa4\x91, KAYAH LI LETTER NYA
U+A912, \xea\xa4\x92, KAYAH LI LETTER TA
U+A913, \xea\xa4\x93, KAYAH LI LETTER HTA
U+A914, \xea\xa4\x94, KAYAH LI LETTER NA
U+A915, \xea\xa4\x95, KAYAH LI LETTER PA
U+A916, \xea\xa4\x96, KAYAH LI LETTER PHA
U+A917, \xea\xa4\x97, KAYAH LI LETTER MA
U+A918, \xea\xa4\x98, KAYAH LI LETTER DA
U+A919, \xea\xa4\x99, KAYAH LI LETTER BA
U+A91A, \xea\xa4\x9a, KAYAH LI LETTER RA
U+A91B, \xea\xa4\x9b, KAYAH LI LETTER YA
U+A91C, \xea\xa4\x9c, KAYAH LI LETTER LA
U+A91D, \xea\xa4\x9d, KAYAH LI LETTER WA
U+A91E, \xea\xa4\x9e, KAYAH LI LETTER THA
U+A91F, \xea\xa4\x9f, KAYAH LI LETTER HA
U+A920, \xea\xa4\xa0, KAYAH LI LETTER VA
U+A921, \xea\xa4\xa1, KAYAH LI LETTER CA
U+A922, \xea\xa4\xa2, KAYAH LI LETTER A
U+A923, \xea\xa4\xa3, KAYAH LI LETTER OE
U+A924, \xea\xa4\xa4, KAYAH LI LETTER I
U+A925, \xea\xa4\xa5, KAYAH LI LETTER OO
U+A926, \xea\xa4\xa6, KAYAH LI VOWEL UE
U+A927, \xea\xa4\xa7, KAYAH LI VOWEL E
U+A928, \xea\xa4\xa8, KAYAH LI VOWEL U
U+A929, \xea\xa4\xa9, KAYAH LI VOWEL EE
U+A92A, \xea\xa4\xaa, KAYAH LI VOWEL O
U+A92B, \xea\xa4\xab, KAYAH LI TONE PLOPHU
U+A92C, \xea\xa4\xac, KAYAH LI TONE CALYA
U+A92D, \xea\xa4\xad, KAYAH LI TONE CALYA PLOPHU
U+A92E, \xea\xa4\xae, KAYAH LI SIGN CWI
U+A92F, \xea\xa4\xaf, KAYAH LI SIGN SHYA
U+A930, \xea\xa4\xb0, REJANG LETTER KA
U+A931, \xea\xa4\xb1, REJANG LETTER GA
U+A932, \xea\xa4\xb2, REJANG LETTER NGA
U+A933, \xea\xa4\xb3, REJANG LETTER TA
U+A934, \xea\xa4\xb4, REJANG LETTER DA
U+A935, \xea\xa4\xb5, REJANG LETTER NA
U+A936, \xea\xa4\xb6, REJANG LETTER PA
U+A937, \xea\xa4\xb7, REJANG LETTER BA
U+A938, \xea\xa4\xb8, REJANG LETTER MA
U+A939, \xea\xa4\xb9, REJANG LETTER CA
U+A93A, \xea\xa4\xba, REJANG LETTER JA
U+A93B, \xea\xa4\xbb, REJANG LETTER NYA
U+A93C, \xea\xa4\xbc, REJANG LETTER SA
U+A93D, \xea\xa4\xbd, REJANG LETTER RA
U+A93E, \xea\xa4\xbe, REJANG LETTER LA
U+A93F, \xea\xa4\xbf, REJANG LETTER YA
U+A940, \xea\xa5\x80, REJANG LETTER WA
U+A941, \xea\xa5\x81, REJANG LETTER HA
U+A942, \xea\xa5\x82, REJANG LETTER MBA
U+A943, \xea\xa5\x83, REJANG LETTER NGGA
U+A944, \xea\xa5\x84, REJANG LETTER NDA
U+A945, \xea\xa5\x85, REJANG LETTER NYJA
U+A946, \xea\xa5\x86, REJANG LETTER A
U+A947, \xea\xa5\x87, REJANG VOWEL SIGN I
U+A948, \xea\xa5\x88, REJANG VOWEL SIGN U
U+A949, \xea\xa5\x89, REJANG VOWEL SIGN E
U+A94A, \xea\xa5\x8a, REJANG VOWEL SIGN AI
U+A94B, \xea\xa5\x8b, REJANG VOWEL SIGN O
U+A94C, \xea\xa5\x8c, REJANG VOWEL SIGN AU
U+A94D, \xea\xa5\x8d, REJANG VOWEL SIGN EU
U+A94E, \xea\xa5\x8e, REJANG VOWEL SIGN EA
U+A94F, \xea\xa5\x8f, REJANG CONSONANT SIGN NG
U+A950, \xea\xa5\x90, REJANG CONSONANT SIGN N
U+A951, \xea\xa5\x91, REJANG CONSONANT SIGN R
U+A952, \xea\xa5\x92, REJANG CONSONANT SIGN H
U+A953, \xea\xa5\x93, REJANG VIRAMA
U+A95F, \xea\xa5\x9f, REJANG SECTION MARK
U+A960, \xea\xa5\xa0, HANGUL CHOSEONG TIKEUT-MIEUM
U+A961, \xea\xa5\xa1, HANGUL CHOSEONG TIKEUT-PIEUP
U+A962, \xea\xa5\xa2, HANGUL CHOSEONG TIKEUT-SIOS
U+A963, \xea\xa5\xa3, HANGUL CHOSEONG TIKEUT-CIEUC
U+A964, \xea\xa5\xa4, HANGUL CHOSEONG RIEUL-KIYEOK
U+A965, \xea\xa5\xa5, HANGUL CHOSEONG RIEUL-SSANGKIYEOK
U+A966, \xea\xa5\xa6, HANGUL CHOSEONG RIEUL-TIKEUT
U+A967, \xea\xa5\xa7, HANGUL CHOSEONG RIEUL-SSANGTIKEUT
U+A968, \xea\xa5\xa8, HANGUL CHOSEONG RIEUL-MIEUM
U+A969, \xea\xa5\xa9, HANGUL CHOSEONG RIEUL-PIEUP
U+A96A, \xea\xa5\xaa, HANGUL CHOSEONG RIEUL-SSANGPIEUP
U+A96B, \xea\xa5\xab, HANGUL CHOSEONG RIEUL-KAPYEOUNPIEUP
U+A96C, \xea\xa5\xac, HANGUL CHOSEONG RIEUL-SIOS
U+A96D, \xea\xa5\xad, HANGUL CHOSEONG RIEUL-CIEUC
U+A96E, \xea\xa5\xae, HANGUL CHOSEONG RIEUL-KHIEUKH
U+A96F, \xea\xa5\xaf, HANGUL CHOSEONG MIEUM-KIYEOK
U+A970, \xea\xa5\xb0, HANGUL CHOSEONG MIEUM-TIKEUT
U+A971, \xea\xa5\xb1, HANGUL CHOSEONG MIEUM-SIOS
U+A972, \xea\xa5\xb2, HANGUL CHOSEONG PIEUP-SIOS-THIEUTH
U+A973, \xea\xa5\xb3, HANGUL CHOSEONG PIEUP-KHIEUKH
U+A974, \xea\xa5\xb4, HANGUL CHOSEONG PIEUP-HIEUH
U+A975, \xea\xa5\xb5, HANGUL CHOSEONG SSANGSIOS-PIEUP
U+A976, \xea\xa5\xb6, HANGUL CHOSEONG IEUNG-RIEUL
