# Latin-1 Supplement
U+00A0, \xc2\xa0, NO-BREAK SPACE
U+00A1, \xc2\xa1, INVERTED EXCLAMATION MARK
U+00A2, \xc2\xa2, CENT SIGN
U+00A3, \xc2\xa3, POUND SIGN
U+00A4, \xc2\xa4, CURRENCY SIGN
U+00A5, \xc2\xa5, YEN SIGN
U+00A6, \xc2\xa6, BROKEN BAR
U+00A7, \xc2\xa7, SECTION SIGN
U+00A8, \xc2\xa8, DIAERESIS
U+00A9, \xc2\xa9, COPYRIGHT SIGN
U+00AA, \xc2\xaa, FEMININE ORDINAL INDICATOR
U+00AB, \xc2\xab, LEFT-POINTING DOUBLE ANGLE QUOTATION MARK
U+00AC, \xc2\xac, NOT SIGN
U+00AD, \xc2\xad, SOFT HYPHEN
U+00AE, \xc2\xae, REGISTERED SIGN
U+00AF, \xc2\xaf, MACRON
U+00B0, \xc2\xb0, DEGREE SIGN
U+00B1, \xc2\xb1, PLUS-MINUS SIGN
U+00B2, \xc2\xb2, SUPERSCRIPT TWO
U+00B3, \xc2\xb3, SUPERSCRIPT THREE
U+00B4, \xc2\xb4, ACUTE ACCENT
U+00B5, \xc2\xb5, MICRO SIGN
U+00B6, \xc2\xb6, PILCROW SIGN
U+00B7, \xc2\xb7, MIDDLE DOT
U+00B8, \xc2\xb8, CEDILLA
U+00B9, \xc2\xb9, SUPERSCRIPT ONE
U+00BA, \xc2\xba, MASCULINE ORDINAL INDICATOR
U+00BB, \xc2\xbb, RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK
U+00BC, \xc2\xbc, VULGAR FRACTION ONE QUARTER
U+00BD, \xc2\xbd, VULGAR FRACTION ONE HALF
U+00BE, \xc2\xbe, VULGAR FRACTION THREE QUARTERS
U+00BF, \xc2\xbf, INVERTED QUESTION MARK
U+00C0, \xc3\x80, LATIN CAPITAL LETTER A WITH GRAVE
U+00C1, \xc3\x81, LATIN CAPITAL LETTER A WITH ACUTE
U+00C2, \xc3\x82, LATIN CAPITAL LETTER A WITH CIRCUMFLEX
U+00C3, \xc3\x83, LATIN CAPITAL LETTER A WITH TILDE
U+00C4, \xc3\x84, LATIN CAPITAL LETTER A WITH DIAERESIS
U+00C5, \xc3\x85, LATIN CAPITAL LETTER A WITH RING ABOVE
U+00C6, \xc3\x86, LATIN CAPITAL LETTER AE
U+00C7, \xc3\x87, LATIN CAPITAL LETTER C WITH CEDILLA
U+00C8, \xc3\x88, LATIN CAPITAL LETTER E WITH GRAVE
U+00C9, \xc3\x89, LATIN CAPITAL LETTER E WITH ACUTE
U+00CA, \xc3\x8a, LATIN CAPITAL LETTER E WITH CIRCUMFLEX
U+00CB, \xc3\x8b, LATIN CAPITAL LETTER E WITH DIAERESIS
U+00CC, \xc3\x8c, LATIN CAPITAL LETTER I WITH GRAVE
U+00CD, \xc3\x8d, LATIN CAPITAL LETTER I WITH ACUTE
U+00CE, \xc3\x8e, LATIN CAPITAL LETTER I WITH CIRCUMFLEX
U+00CF, \xc3\x8f, LATIN CAPITAL LETTER I WITH DIAERESIS
U+00D0, \xc3\x90, LATIN CAPITAL LETTER ETH
U+00D1, \xc3\x91, LATIN CAPITAL LETTER N WITH TILDE
U+00D2, \xc3\x92, LATIN CAPITAL LETTER O WITH GRAVE
U+00D3, \xc3\x93, LATIN CAPITAL LETTER O WITH ACUTE
U+00D4, \xc3\x94, LATIN CAPITAL LETTER O WITH CIRCUMFLEX
U+00D5, \xc3\x95, LATIN CAPITAL LETTER O WITH TILDE
U+00D6, \xc3\x96, LATIN CAPITAL LETTER O WITH DIAERESIS
U+00D7, \xc3\x97, MULTIPLICATION SIGN
U+00D8, \xc3\x98, LATIN CAPITAL LETTER O WITH STROKE
U+00D9, \xc3\x99, LATIN CAPITAL LETTER U WITH GRAVE
U+00DA, \xc3\x9a, LATIN CAPITAL LETTER U WITH ACUTE
U+00DB, \xc3\x9b, LATIN CAPITAL LETTER U WITH CIRCUMFLEX
U+00DC, \xc3\x9c, LATIN CAPITAL LETTER U WITH DIAERESIS
U+00DD, \xc3\x9d, LATIN CAPITAL LETTER Y WITH ACUTE
U+00DE, \xc3\x9e, LATIN CAPITAL LETTER THORN
U+00DF, \xc3\x9f, LATIN SMALL LETTER SHARP S
U+00E0, \xc3\xa0, LATIN SMALL LETTER A WITH GRAVE
U+00E1, \xc3\xa1, LATIN SMALL LETTER A WITH ACUTE
U+00E2, \xc3\xa2, LATIN SMALL LETTER A WITH CIRCUMFLEX
U+00E3, \xc3\xa3, LATIN SMALL LETTER A WITH TILDE
U+00E4, \xc3\xa4, LATIN SMALL LETTER A WITH DIAERESIS
U+00E5, \xc3\xa5, LATIN SMALL LETTER A WITH RING ABOVE
U+00E6, \xc3\xa6, LATIN SMALL LETTER AE
U+00E7, \xc3\xa7, LATIN SMALL LETTER C WITH CEDILLA
U+00E8, \xc3\xa8, LATIN SMALL LETTER E WITH GRAVE
U+00E9, \xc3\xa9, LATIN SMALL LETTER E WITH ACUTE
U+00EA, \xc3\xaa, LATIN SMALL LETTER E WITH CIRCUMFLEX
U+00EB, \xc3\xab, LATIN SMALL LETTER E WITH DIAERESIS
U+00EC, \xc3\xac, LATIN SMALL LETTER I WITH GRAVE
U+00ED, \xc3\xad, LATIN SMALL LETTER I WITH ACUTE
U+00EE, \xc3\xae, LATIN SMALL LETTER I WITH CIRCUMFLEX
U+00EF, \xc3\xaf, LATIN SMALL LETTER I WITH DIAERESIS
U+00F0, \xc3\xb0, LATIN SMALL LETTER ETH
U+00F1, \xc3\xb1, LATIN SMALL LETTER N WITH TILDE
U+00F2, \xc3\xb2, LATIN SMALL LETTER O WITH GRAVE
U+00F3, \xc3\xb3, LATIN SMALL LETTER O WITH ACUTE
U+00F4, \xc3\xb4, LATIN SMALL LETTER O WITH CIRCUMFLEX
U+00F5, \xc3\xb5, LATIN SMALL LETTER O WITH TILDE
U+00F6, \xc3\xb6, LATIN SMALL LETTER O WITH DIAERESIS
U+00F7, \xc3\xb7, DIVISION SIGN
U+00F8, \xc3\xb8, LATIN SMALL LETTER O WITH STROKE
U+00F9, \xc3\xb9, LATIN SMALL LETTER U WITH GRAVE
U+00FA, \xc3\xba, LATIN SMALL LETTER U WITH ACUTE
U+00FB, \xc3\xbb, LATIN SMALL LETTER U WITH CIRCUMFLEX
U+00FC, \xc3\xbc, LATIN SMALL LETTER U WITH DIAERESIS
U+00FD, \xc3\xbd, LATIN SMALL LETTER Y WITH ACUTE
U+00FE, \xc3\xbe, LATIN SMALL LETTER THORN
U+00FF, \xc3\xbf, LATIN SMALL LETTER Y WITH DIAERESIS
U+0100, \xc4\x80, LATIN CAPITAL LETTER A WITH MACRON
U+0101, \xc4\x81, LATIN SMALL LETTER A WITH MACRON
U+0102, \xc4\x82, LATIN CAPITAL LETTER A WITH BREVE
U+0103, \xc4\x83, LATIN SMALL LETTER A WITH BREVE
U+0104, \xc4\x84, LATIN CAPITAL LETTER A WITH OGONEK
U+0105, \xc4\x85, LATIN SMALL LETTER A WITH OGONEK
U+0106, \xc4\x86, LATIN CAPITAL LETTER C WITH ACUTE
U+0107, \xc4\x87, LATIN SMALL LETTER C WITH ACUTE
U+0108, \xc4\x88, LATIN CAPITAL LETTER C WITH CIRCUMFLEX
U+0109, \xc4\x89, LATIN SMALL LETTER C WITH CIRCUMFLEX
U+010A, \xc4\x8a, LATIN CAPITAL LETTER C WITH DOT ABOVE
U+010B, \xc4\x8b, LATIN SMALL LETTER C WITH DOT ABOVE
U+010C, \xc4\x8c, LATIN CAPITAL LETTER C WITH CARON
U+010D, \xc4\x8d, LATIN SMALL LETTER C WITH CARON
