# Miscellaneous Mathematical Symbols-B
U+2980, \xe2\xa6\x80, TRIPLE VERTICAL BAR DELIMITER
U+2981, \xe2\xa6\x81, Z NOTATION SPOT
U+2982, \xe2\xa6\x82, Z NOTATION TYPE COLON
U+2983, \xe2\xa6\x83, LEFT WHITE CURLY BRACKET
U+2984, \xe2\xa6\x84, RIGHT WHITE CURLY BRACKET
U+2985, \xe2\xa6\x85, LEFT WHITE PARENTHESIS
U+2986, \xe2\xa6\x86, RIGHT WHITE PARENTHESIS
U+2987, \xe2\xa6\x87, Z NOTATION LEFT IMAGE BRACKET
U+2988, \xe2\xa6\x88, Z NOTATION RIGHT IMAGE BRACKET
U+2989, \xe2\xa6\x89, Z NOTATION LEFT BINDING BRACKET
U+298A, \xe2\xa6\x8a, Z NOTATION RIGHT BINDING BRACKET
U+298B, \xe2\xa6\x8b, LEFT SQUARE BRACKET WITH UNDERBAR
U+298C, \xe2\xa6\x8c, RIGHT SQUARE BRACKET WITH UNDERBAR
U+298D, \xe2\xa6\x8d, LEFT SQUARE BRACKET WITH TICK IN TOP CORNER
U+298E, \xe2\xa6\x8e, RIGHT SQUARE BRACKET WITH TICK IN BOTTOM CORNER
U+298F, \xe2\xa6\x8f, LEFT SQUARE BRACKET WITH TICK IN BOTTOM CORNER
U+2990, \xe2\xa6\x90, RIGHT SQUARE BRACKET WITH TICK IN TOP CORNER
U+2991, \xe2\xa6\x91, LEFT ANGLE BRACKET WITH DOT
U+2992, \xe2\xa6\x92, RIGHT ANGLE BRACKET WITH DOT
U+2993, \xe2\xa6\x93, LEFT ARC LESS-THAN BRACKET
U+2994, \xe2\xa6\x94, RIGHT ARC GREATER-THAN BRACKET
U+2995, \xe2\xa6\x95, DOUBLE LEFT ARC GREATER-THAN BRACKET
U+2996, \xe2\xa6\x96, DOUBLE RIGHT ARC LESS-THAN BRACKET
U+2997, \xe2\xa6\x97, LEFT BLACK TORTOISE SHELL BRACKET
U+2998, \xe2\xa6\x98, RIGHT BLACK TORTOISE SHELL BRACKET
U+2999, \xe2\xa6\x99, DOTTED FENCE
