# Ogham
U+1680, \xe1\x9a\x80, OGHAM SPACE MARK
U+1681, \xe1\x9a\x81, OGHAM LETTER BEITH
U+1682, \xe1\x9a\x82, OGHAM LETTER LUIS
U+1683, \xe1\x9a\x83, OGHAM LETTER FEARN
U+1684, \xe1\x9a\x84, OGHAM LETTER SAIL
U+1685, \xe1\x9a\x85, OGHAM LETTER NION
U+1686, \xe1\x9a\x86, OGHAM LETTER UATH
U+1687, \xe1\x9a\x87, OGHAM LETTER DAIR
U+1688, \xe1\x9a\x88, OGHAM LETTER TINNE
U+1689, \xe1\x9a\x89, OGHAM LETTER COLL
U+168A, \xe1\x9a\x8a, OGHAM LETTER CEIRT
U+168B, \xe1\x9a\x8b, OGHAM LETTER MUIN
U+168C, \xe1\x9a\x8c, OGHAM LETTER GORT
U+168D, \xe1\x9a\x8d, OGHAM LETTER NGEADAL
U+168E, \xe1\x9a\x8e, OGHAM LETTER STRAIF
U+168F, \xe1\x9a\x8f, OGHAM LETTER RUIS
U+1690, \xe1\x9a\x90, OGHAM LETTER AILM
U+1691, \xe1\x9a\x91, OGHAM LETTER ONN
U+1692, \xe1\x9a\x92, OGHAM LETTER UR
U+1693, \xe1\x9a\x93, OGHAM LETTER EADHADH
U+1694, \xe1\x9a\x94, OGHAM LETTER IODHADH
U+1695, \xe1\x9a\x95, OGHAM LETTER EABHADH
U+1696, \xe1\x9a\x96, OGHAM LETTER OR
U+1697, \xe1\x9a\x97, OGHAM LETTER UILLEANN
U+1698, \xe1\x9a\x98, OGHAM LETTER IFIN
U+1699, \xe1\x9a\x99, OGHAM LETTER EAMHANCHOLL
U+169A, \xe1\x9a\x9a, OGHAM LETTER PEITH
U+169B, \xe1\x9a\x9b, OGHAM FEATHER MARK
U+169C, \xe1\x9a\x9c, OGHAM REVERSED FEATHER MARK
U+16A0, \xe1\x9a\xa0, RUNIC LETTER FEHU FEOH FE F
U+16A1, \xe1\x9a\xa1, RUNIC LETTER V
U+16A2, \xe1\x9a\xa2, RUNIC LETTER URUZ UR U
U+16A3, \xe1\x9a\xa3, RUNIC LETTER YR
U+16A4, \xe1\x9a\xa4, RUNIC LETTER Y
U+16A5, \xe1\x9a\xa5, RUNIC LETTER W
U+16A6, \xe1\x9a\xa6, RUNIC LETTER THURISAZ THURS THORN
U+16A7, \xe1\x9a\xa7, RUNIC LETTER ETH
U+16A8, \xe1\x9a\xa8, RUNIC LETTER ANSUZ A
U+16A9, \xe1\x9a\xa9, RUNIC LETTER OS O
U+16AA, \xe1\x9a\xaa, RUNIC LETTER AC A
U+16AB, \xe1\x9a\xab, RUNIC LETTER AESC
U+16AC, \xe1\x9a\xac, RUNIC LETTER LONG-BRANCH-OSS O
U+16AD, \xe1\x9a\xad, RUNIC LETTER SHORT-TWIG-OSS O
U+16AE, \xe1\x9a\xae, RUNIC LETTER O
U+16AF, \xe1\x9a\xaf, RUNIC LETTER OE
U+16B0, \xe1\x9a\xb0, RUNIC LETTER ON
U+16B1, \xe1\x9a\xb1, RUNIC LETTER RAIDO RAD REID R
U+16B2, \xe1\x9a\xb2, RUNIC LETTER KAUNA
U+16B3, \xe1\x9a\xb3, RUNIC LETTER CEN
U+16B4, \xe1\x9a\xb4, RUNIC LETTER KAUN K
U+16B5, \xe1\x9a\xb5, RUNIC LETTER G
U+16B6, \xe1\x9a\xb6, RUNIC LETTER ENG
U+16B7, \xe1\x9a\xb7, RUNIC LETTER GEBO GYFU G
U+16B8, \xe1\x9a\xb8, RUNIC LETTER GAR
U+16B9, \xe1\x9a\xb9, RUNIC LETTER WUNJO WYNN W
U+16BA, \xe1\x9a\xba, RUNIC LETTER HAGLAZ H
U+16BB, \xe1\x9a\xbb, RUNIC LETTER HAEGL H
U+16BC, \xe1\x9a\xbc, RUNIC LETTER LONG-BRANCH-HAGALL H
U+16BD, \xe1\x9a\xbd, RUNIC LETTER SHORT-TWIG-HAGALL H
U+16BE, \xe1\x9a\xbe, RUNIC LETTER NAUDIZ NYD NAUD N
U+16BF, \xe1\x9a\xbf, RUNIC LETTER SHORT-TWIG-NAUD N
U+16C0, \xe1\x9b\x80, RUNIC LETTER DOTTED-N
U+16C1, \xe1\x9b\x81, RUNIC LETTER ISAZ IS ISS I
U+16C2, \xe1\x9b\x82, RUNIC LETTER E
U+16C3, \xe1\x9b\x83, RUNIC LETTER JERAN J
U+16C4, \xe1\x9b\x84, RUNIC LETTER GER
U+16C5, \xe1\x9b\x85, RUNIC LETTER LONG-BRANCH-AR AE
U+16C6, \xe1\x9b\x86, RUNIC LETTER SHORT-TWIG-AR A
U+16C7, \xe1\x9b\x87, RUNIC LETTER IWAZ EOH
U+16C8, \xe1\x9b\x88, RUNIC LETTER PERTHO PEORTH P
U+16C9, \xe1\x9b\x89, RUNIC LETTER ALGIZ EOLHX
U+16CA, \xe1\x9b\x8a, RUNIC LETTER SOWILO S
U+16CB, \xe1\x9b\x8b, RUNIC LETTER SIGEL LONG-BRANCH-SOL S
U+16CC, \xe1\x9b\x8c, RUNIC LETTER SHORT-TWIG-SOL S
U+16CD, \xe1\x9b\x8d, RUNIC LETTER C
U+16CE, \xe1\x9b\x8e, RUNIC LETTER Z
U+16CF, \xe1\x9b\x8f, RUNIC LETTER TIWAZ TIR TYR T
U+16D0, \xe1\x9b\x90, RUNIC LETTER SHORT-TWIG-TYR T
U+16D1, \xe1\x9b\x91, RUNIC LETTER D
U+16D2, \xe1\x9b\x92, RUNIC LETTER BERKANAN BEORC BJARKAN B
U+16D3, \xe1\x9b\x93, RUNIC LETTER SHORT-TWIG-BJARKAN B
U+16D4, \xe1\x9b\x94, RUNIC LETTER DOTTED-P
U+16D5, \xe1\x9b\x95, RUNIC LETTER OPEN-P
U+16D6, \xe1\x9b\x96, RUNIC LETTER EHWAZ EH E
U+16D7, \xe1\x9b\x97, RUNIC LETTER MANNAZ MAN M
U+16D8, \xe1\x9b\x98, RUNIC LETTER LONG-BRANCH-MADR M
U+16D9, \xe1\x9b\x99, RUNIC LETTER SHORT-TWIG-MADR M
U+16DA, \xe1\x9b\x9a, RUNIC LETTER LAUKAZ LAGU LOGR L
U+16DB, \xe1\x9b\x9b, RUNIC LETTER DOTTED-L
U+16DC, \xe1\x9b\x9c, RUNIC LETTER INGWAZ
U+16DD, \xe1\x9b\x9d, RUNIC LETTER ING
U+16DE, \xe1\x9b\x9e, RUNIC LETTER DAGAZ DAEG D
U+16DF, \xe1\x9b\x9f, RUNIC LETTER OTHALAN ETHEL O
U+16E0, \xe1\x9b\xa0, RUNIC LETTER EAR
U+16E1, \xe1\x9b\xa1, RUNIC LETTER IOR
U+16E2, \xe1\x9b\xa2, RUNIC LETTER CWEORTH
