# Old Italic
U+10300, \xf0\x90\x8c\x80, OLD ITALIC LETTER A
U+10301, \xf0\x90\x8c\x81, OLD ITALIC LETTER BE
U+10302, \xf0\x90\x8c\x82, OLD ITALIC LETTER KE
U+10303, \xf0\x90\x8c\x83, OLD ITALIC LETTER DE
U+10304, \xf0\x90\x8c\x84, OLD ITALIC LETTER E
U+10305, \xf0\x90\x8c\x85, OLD ITALIC LETTER VE
U+10306, \xf0\x90\x8c\x86, OLD ITALIC LETTER ZE
U+10307, \xf0\x90\x8c\x87, OLD ITALIC LETTER HE
U+10308, \xf0\x90\x8c\x88, OLD ITALIC LETTER THE
U+10309, \xf0\x90\x8c\x89, OLD ITALIC LETTER I
U+1030A, \xf0\x90\x8c\x8a, OLD ITALIC LETTER KA
U+1030B, \xf0\x90\x8c\x8b, OLD ITALIC LETTER EL
U+1030C, \xf0\x90\x8c\x8c, OLD ITALIC LETTER EM
U+1030D, \xf0\x90\x8c\x8d, OLD ITALIC LETTER EN
U+1030E, \xf0\x90\x8c\x8e, OLD ITALIC LETTER ESH
U+1030F, \xf0\x90\x8c\x8f, OLD ITALIC LETTER O
U+10310, \xf0\x90\x8c\x90, OLD ITALIC LETTER PE
U+10311, \xf0\x90\x8c\x91, OLD ITALIC LETTER SHE
U+10312, \xf0\x90\x8c\x92, OLD ITALIC LETTER KU
U+10313, \xf0\x90\x8c\x93, OLD ITALIC LETTER ER
U+10314, \xf0\x90\x8c\x94, OLD ITALIC LETTER ES
U+10315, \xf0\x90\x8c\x95, OLD ITALIC LETTER TE
U+10316, \xf0\x90\x8c\x96, OLD ITALIC LETTER U
U+10317, \xf0\x90\x8c\x97, OLD ITALIC LETTER EKS
U+10318, \xf0\x90\x8c\x98, OLD ITALIC LETTER PHE
U+10319, \xf0\x90\x8c\x99, OLD ITALIC LETTER KHE
U+1031A, \xf0\x90\x8c\x9a, OLD ITALIC LETTER EF
U+1031B, \xf0\x90\x8c\x9b, OLD ITALIC LETTER ERS
U+1031C, \xf0\x90\x8c\x9c, OLD ITALIC LETTER CHE
U+1031D, \xf0\x90\x8c\x9d, OLD ITALIC LETTER II
U+1031E, \xf0\x90\x8c\x9e, OLD ITALIC LETTER UU
U+10320, \xf0\x90\x8c\xa0, OLD ITALIC NUMERAL ONE
U+10321, \xf0\x90\x8c\xa1, OLD ITALIC NUMERAL FIVE
U+10322, \xf0\x90\x8c\xa2, OLD ITALIC NUMERAL TEN
U+10323, \xf0\x90\x8c\xa3, OLD ITALIC NUMERAL FIFTY
U+10330, \xf0\x90\x8c\xb0, GOTHIC LETTER AHSA
U+10331, \xf0\x90\x8c\xb1, GOTHIC LETTER BAIRKAN
U+10332, \xf0\x90\x8c\xb2, GOTHIC LETTER GIBA
U+10333, \xf0\x90\x8c\xb3, GOTHIC LETTER DAGS
