# Specials
U+FFF9, \xef\xbf\xb9, INTERLINEAR ANNOTATION ANCHOR
U+FFFA, \xef\xbf\xba, INTERLINEAR ANNOTATION SEPARATOR
U+FFFB, \xef\xbf\xbb, INTERLINEAR ANNOTATION TERMINATOR
U+FFFC, \xef\xbf\xbc, OBJECT REPLACEMENT CHARACTER
U+FFFD, \xef\xbf\xbd, REPLACEMENT CHARACTER
U+10000, \xf0\x90\x80\x80, LINEAR B SYLLABLE B008 A
U+10001, \xf0\x90\x80\x81, LINEAR B SYLLABLE B038 E
U+10002, \xf0\x90\x80\x82, LINEAR B SYLLABLE B028 I
U+10003, \xf0\x90\x80\x83, LINEAR B SYLLABLE B061 O
U+10004, \xf0\x90\x80\x84, LINEAR B SYLLABLE B010 U
U+10005, \xf0\x90\x80\x85, LINEAR B SYLLABLE B001 DA
U+10006, \xf0\x90\x80\x86, LINEAR B SYLLABLE B045 DE
U+10007, \xf0\x90\x80\x87, LINEAR B SYLLABLE B007 DI
U+10008, \xf0\x90\x80\x88, LINEAR B SYLLABLE B014 DO
U+10009, \xf0\x90\x80\x89, LINEAR B SYLLABLE B051 DU
U+1000A, \xf0\x90\x80\x8a, LINEAR B SYLLABLE B057 JA
U+1000B, \xf0\x90\x80\x8b, LINEAR B SYLLABLE B046 JE
U+1000D, \xf0\x90\x80\x8d, LINEAR B SYLLABLE B036 JO
U+1000E, \xf0\x90\x80\x8e, LINEAR B SYLLABLE B065 JU
U+1000F, \xf0\x90\x80\x8f, LINEAR B SYLLABLE B077 KA
U+10010, \xf0\x90\x80\x90, LINEAR B SYLLABLE B044 KE
U+10011, \xf0\x90\x80\x91, LINEAR B SYLLABLE B067 KI
U+10012, \xf0\x90\x80\x92, LINEAR B SYLLABLE B070 KO
U+10013, \xf0\x90\x80\x93, LINEAR B SYLLABLE B081 KU
U+10014, \xf0\x90\x80\x94, LINEAR B SYLLABLE B080 MA
U+10015, \xf0\x90\x80\x95, LINEAR B SYLLABLE B013 ME
U+10016, \xf0\x90\x80\x96, LINEAR B SYLLABLE B073 MI
U+10017, \xf0\x90\x80\x97, LINEAR B SYLLABLE B015 MO
U+10018, \xf0\x90\x80\x98, LINEAR B SYLLABLE B023 MU
U+10019, \xf0\x90\x80\x99, LINEAR B SYLLABLE B006 NA
U+1001A, \xf0\x90\x80\x9a, LINEAR B SYLLABLE B024 NE
U+1001B, \xf0\x90\x80\x9b, LINEAR B SYLLABLE B030 NI
U+1001C, \xf0\x90\x80\x9c, LINEAR B SYLLABLE B052 NO
U+1001D, \xf0\x90\x80\x9d, LINEAR B SYLLABLE B055 NU
U+1001E, \xf0\x90\x80\x9e, LINEAR B SYLLABLE B003 PA
U+1001F, \xf0\x90\x80\x9f, LINEAR B SYLLABLE B072 PE
U+10020, \xf0\x90\x80\xa0, LINEAR B SYLLABLE B039 PI
U+10021, \xf0\x90\x80\xa1, LINEAR B SYLLABLE B011 PO
U+10022, \xf0\x90\x80\xa2, LINEAR B SYLLABLE B050 PU
U+10023, \xf0\x90\x80\xa3, LINEAR B SYLLABLE B016 QA
U+10024, \xf0\x90\x80\xa4, LINEAR B SYLLABLE B078 QE
U+10025, \xf0\x90\x80\xa5, LINEAR B SYLLABLE B021 QI
U+10026, \xf0\x90\x80\xa6, LINEAR B SYLLABLE B032 QO
U+10028, \xf0\x90\x80\xa8, LINEAR B SYLLABLE B060 RA
U+10029, \xf0\x90\x80\xa9, LINEAR B SYLLABLE B027 RE
U+1002A, \xf0\x90\x80\xaa, LINEAR B SYLLABLE B053 RI
U+1002B, \xf0\x90\x80\xab, LINEAR B SYLLABLE B002 RO
U+1002C, \xf0\x90\x80\xac, LINEAR B SYLLABLE B026 RU
U+1002D, \xf0\x90\x80\xad, LINEAR B SYLLABLE B031 SA
U+1002E, \xf0\x90\x80\xae, LINEAR B SYLLABLE B009 SE
U+1002F, \xf0\x90\x80\xaf, LINEAR B SYLLABLE B041 SI
U+10030, \xf0\x90\x80\xb0, LINEAR B SYLLABLE B012 SO
U+10031, \xf0\x90\x80\xb1, LINEAR B SYLLABLE B058 SU
U+10032, \xf0\x90\x80\xb2, LINEAR B SYLLABLE B059 TA
U+10033, \xf0\x90\x80\xb3, LINEAR B SYLLABLE B004 TE
U+10034, \xf0\x90\x80\xb4, LINEAR B SYLLABLE B037 TI
