# Syriac
U+0700, \xdc\x80, SYRIAC END OF PARAGRAPH
U+0701, \xdc\x81, SYRIAC SUPRALINEAR FULL STOP
U+0702, \xdc\x82, SYRIAC SUBLINEAR FULL STOP
U+0703, \xdc\x83, SYRIAC SUPRALINEAR COLON
U+0704, \xdc\x84, SYRIAC SUBLINEAR COLON
U+0705, \xdc\x85, SYRIAC HORIZONTAL COLON
U+0706, \xdc\x86, SYRIAC COLON SKEWED LEFT
U+0707, \xdc\x87, SYRIAC COLON SKEWED RIGHT
U+0708, \xdc\x88, SYRIAC SUPRALINEAR COLON SKEWED LEFT
U+0709, \xdc\x89, SYRIAC SUBLINEAR COLON SKEWED RIGHT
U+070A, \xdc\x8a, SYRIAC CONTRACTION
U+070B, \xdc\x8b, SYRIAC HARKLEAN OBELUS
U+070C, \xdc\x8c, SYRIAC HARKLEAN METOBELUS
U+070D, \xdc\x8d, SYRIAC HARKLEAN ASTERISCUS
U+070F, \xdc\x8f, SYRIAC ABBREVIATION MARK
U+0710, \xdc\x90, SYRIAC LETTER ALAPH
U+0711, \xdc\x91, SYRIAC LETTER SUPERSCRIPT ALAPH
U+0712, \xdc\x92, SYRIAC LETTER BETH
U+0713, \xdc\x93, SYRIAC LETTER GAMAL
U+0714, \xdc\x94, SYRIAC LETTER GAMAL GARSHUNI
U+0715, \xdc\x95, SYRIAC LETTER DALATH
U+0716, \xdc\x96, SYRIAC LETTER DOTLESS DALATH RISH
U+0717, \xdc\x97, SYRIAC LETTER HE
U+0718, \xdc\x98, SYRIAC LETTER WAW
U+0719, \xdc\x99, SYRIAC LETTER ZAIN
U+071A, \xdc\x9a, SYRIAC LETTER HETH
U+071B, \xdc\x9b, SYRIAC LETTER TETH
U+071C, \xdc\x9c, SYRIAC LETTER TETH GARSHUNI
U+071D, \xdc\x9d, SYRIAC LETTER YUDH
U+071E, \xdc\x9e, SYRIAC LETTER YUDH HE
U+071F, \xdc\x9f, SYRIAC LETTER KAPH
U+0720, \xdc\xa0, SYRIAC LETTER LAMADH
U+0721, \xdc\xa1, SYRIAC LETTER MIM
U+0722, \xdc\xa2, SYRIAC LETTER NUN
U+0723, \xdc\xa3, SYRIAC LETTER SEMKATH
U+0724, \xdc\xa4, SYRIAC LETTER FINAL SEMKATH
U+0725, \xdc\xa5, SYRIAC LETTER E
U+0726, \xdc\xa6, SYRIAC LETTER PE
U+0727, \xdc\xa7, SYRIAC LETTER REVERSED PE
U+0728, \xdc\xa8, SYRIAC LETTER SADHE
U+0729, \xdc\xa9, SYRIAC LETTER QAPH
U+072A, \xdc\xaa, SYRIAC LETTER RISH
U+072B, \xdc\xab, SYRIAC LETTER SHIN
U+072C, \xdc\xac, SYRIAC LETTER TAW
U+072D, \xdc\xad, SYRIAC LETTER PERSIAN BHETH
U+072E, \xdc\xae, SYRIAC LETTER PERSIAN GHAMAL
U+072F, \xdc\xaf, SYRIAC LETTER PERSIAN DHALATH
U+0730, \xdc\xb0, SYRIAC PTHAHA ABOVE
U+0731, \xdc\xb1, SYRIAC PTHAHA BELOW
U+0732, \xdc\xb2, SYRIAC PTHAHA DOTTED
U+0733, \xdc\xb3, SYRIAC ZQAPHA ABOVE
U+0734, \xdc\xb4, SYRIAC ZQAPHA BELOW
U+0735, \xdc\xb5, SYRIAC ZQAPHA DOTTED
U+0736, \xdc\xb6, SYRIAC RBASA ABOVE
U+0737, \xdc\xb7, SYRIAC RBASA BELOW
U+0738, \xdc\xb8, SYRIAC DOTTED ZLAMA HORIZONTAL
U+0739, \xdc\xb9, SYRIAC DOTTED ZLAMA ANGULAR
U+073A, \xdc\xba, SYRIAC HBASA ABOVE
U+073B, \xdc\xbb, SYRIAC HBASA BELOW
U+073C, \xdc\xbc, SYRIAC HBASA-ESASA DOTTED
U+073D, \xdc\xbd, SYRIAC ESASA ABOVE
U+073E, \xdc\xbe, SYRIAC ESASA BELOW
U+073F, \xdc\xbf, SYRIAC RWAHA
U+0740, \xdd\x80, SYRIAC FEMININE DOT
U+0741, \xdd\x81, SYRIAC QUSHSHAYA
U+0742, \xdd\x82, SYRIAC RUKKAKHA
U+0743, \xdd\x83, SYRIAC TWO VERTICAL DOTS ABOVE
U+0744, \xdd\x84, SYRIAC TWO VERTICAL DOTS BELOW
U+0745, \xdd\x85, SYRIAC THREE DOTS ABOVE
U+0746, \xdd\x86, SYRIAC THREE DOTS BELOW
U+0747, \xdd\x87, SYRIAC OBLIQUE LINE ABOVE
U+0748, \xdd\x88, SYRIAC OBLIQUE LINE BELOW
U+0749, \xdd\x89, SYRIAC MUSIC
U+074A, \xdd\x8a, SYRIAC BARREKH
U+074D, \xdd\x8d, SYRIAC LETTER SOGDIAN ZHAIN
U+074E, \xdd\x8e, SYRIAC LETTER SOGDIAN KHAPH
U+074F, \xdd\x8f, SYRIAC LETTER SOGDIAN FE
U+0750, \xdd\x90, ARABIC LETTER BEH WITH THREE DOTS HORIZONTALLY BELOW
U+0751, \xdd\x91, ARABIC LETTER BEH WITH DOT BELOW AND THREE DOTS ABOVE
U+0752, \xdd\x92, ARABIC LETTER BEH WITH THREE DOTS POINTING UPWARDS BELOW
U+0753, \xdd\x93, ARABIC LETTER BEH WITH THREE DOTS POINTING UPWARDS BELOW AND TWO DOTS ABOVE
U+0754, \xdd\x94, ARABIC LETTER BEH WITH TWO DOTS BELOW AND DOT ABOVE
U+0755, \xdd\x95, ARABIC LETTER BEH WITH INVERTED SMALL V BELOW
U+0756, \xdd\x96, ARABIC LETTER BEH WITH SMALL V
U+0757, \xdd\x97, ARABIC LETTER HAH WITH TWO DOTS ABOVE
U+0758, \xdd\x98, ARABIC LETTER HAH WITH THREE DOTS POINTING UPWARDS BELOW
U+0759, \xdd\x99, ARABIC LETTER DAL WITH TWO DOTS VERTICALLY BELOW AND SMALL TAH
U+075A, \xdd\x9a, ARABIC LETTER DAL WITH INVERTED SMALL V BELOW
U+075B, \xdd\x9b, ARABIC LETTER REH WITH STROKE
U+075C, \xdd\x9c, ARABIC LETTER SEEN WITH FOUR DOTS ABOVE
U+075D, \xdd\x9d, ARABIC LETTER AIN WITH TWO DOTS ABOVE
U+075E, \xdd\x9e, ARABIC LETTER AIN WITH THREE DOTS POINTING DOWNWARDS ABOVE
U+075F, \xdd\x9f, ARABIC LETTER AIN WITH TWO DOTS VERTICALLY ABOVE
U+0760, \xdd\xa0, ARABIC LETTER FEH WITH TWO DOTS BELOW
U+0761, \xdd\xa1, ARABIC LETTER FEH WITH THREE DOTS POINTING UPWARDS BELOW
U+0762, \xdd\xa2, ARABIC LETTER KEHEH WITH DOT ABOVE
U+0763, \xdd\xa3, ARABIC LETTER KEHEH WITH THREE DOTS ABOVE
U+0764, \xdd\xa4, ARABIC LETTER KEHEH WITH THREE DOTS POINTING UPWARDS BELOW
U+0765, \xdd\xa5, ARABIC LETTER MEEM WITH DOT ABOVE
U+0766, \xdd\xa6, ARABIC LETTER MEEM WITH DOT BELOW
U+0767, \xdd\xa7, ARABIC LETTER NOON WITH TWO DOTS BELOW
U+0768, \xdd\xa8, ARABIC LETTER NOON WITH SMALL TAH
U+0769, \xdd\xa9, ARABIC LETTER NOON WITH SMALL V
U+076A, \xdd\xaa, ARABIC LETTER LAM WITH BAR
U+076B, \xdd\xab, ARABIC LETTER REH WITH TWO DOTS VERTICALLY ABOVE
U+076C, \xdd\xac, ARABIC LETTER REH WITH HAMZA ABOVE
U+076D, \xdd\xad, ARABIC LETTER SEEN WITH TWO DOTS VERTICALLY ABOVE
U+076E, \xdd\xae, ARABIC LETTER HAH WITH SMALL ARABIC LETTER TAH BELOW
U+076F, \xdd\xaf, ARABIC LETTER HAH WITH SMALL ARABIC LETTER TAH AND TWO DOTS
U+0770, \xdd\xb0, ARABIC LETTER SEEN WITH SMALL ARABIC LETTER TAH AND TWO DOTS
U+0771, \xdd\xb1, ARABIC LETTER REH WITH SMALL ARABIC LETTER TAH AND TWO DOTS
U+0772, \xdd\xb2, ARABIC LETTER HAH WITH SMALL ARABIC LETTER TAH ABOVE
U+0773, \xdd\xb3, ARABIC LETTER ALEF WITH EXTENDED ARABIC-INDIC DIGIT TWO ABOVE
U+0774, \xdd\xb4, ARABIC LETTER ALEF WITH EXTENDED ARABIC-INDIC DIGIT THREE ABOVE
U+0775, \xdd\xb5, ARABIC LETTER FARSI YEH WITH EXTENDED ARABIC-INDIC DIGIT TWO ABOVE
U+0776, \xdd\xb6, ARABIC LETTER FARSI YEH WITH EXTENDED ARABIC-INDIC DIGIT THREE ABOVE
U+0777, \xdd\xb7, ARABIC LETTER FARSI YEH WITH EXTENDED ARABIC-INDIC DIGIT FOUR BELOW
U+0778, \xdd\xb8, ARABIC LETTER WAW WITH EXTENDED ARABIC-INDIC DIGIT TWO ABOVE
U+0779, \xdd\xb9, ARABIC LETTER WAW WITH EXTENDED ARABIC-INDIC DIGIT THREE ABOVE
U+077A, \xdd\xba, ARABIC LETTER YEH BARREE WITH EXTENDED ARABIC-INDIC DIGIT TWO ABOVE
U+077B, \xdd\xbb, ARABIC LETTER YEH BARREE WITH EXTENDED ARABIC-INDIC DIGIT THREE ABOVE
U+077C, \xdd\xbc, ARABIC LETTER HAH WITH EXTENDED ARABIC-INDIC DIGIT FOUR BELOW
U+077D, \xdd\xbd, ARABIC LETTER SEEN WITH EXTENDED ARABIC-INDIC DIGIT FOUR ABOVE
U+077E, \xdd\xbe, ARABIC LETTER SEEN WITH INVERTED V
U+077F, \xdd\xbf, ARABIC LETTER KAF WITH TWO DOTS ABOVE
U+0780, \xde\x80, THAANA LETTER HAA
U+0781, \xde\x81, THAANA LETTER SHAVIYANI
U+0782, \xde\x82, THAANA LETTER NOONU
U+0783, \xde\x83, THAANA LETTER RAA
U+0784, \xde\x84, THAANA LETTER BAA
U+0785, \xde\x85, THAANA LETTER LHAVIYANI
U+0786, \xde\x86, THAANA LETTER KAAFU
U+0787, \xde\x87, THAANA LETTER ALIFU
U+0788, \xde\x88, THAANA LETTER VAAVU
U+0789, \xde\x89, THAANA LETTER MEEMU
U+078A, \xde\x8a, THAANA LETTER FAAFU
U+078B, \xde\x8b, THAANA LETTER DHAALU
U+078C, \xde\x8c, THAANA LETTER THAA
U+078D, \xde\x8d, THAANA LETTER LAAMU
U+078E, \xde\x8e, THAANA LETTER GAAFU
U+078F, \xde\x8f, THAANA LETTER GNAVIYANI
U+0790, \xde\x90, THAANA LETTER SEENU
U+0791, \xde\x91, THAANA LETTER DAVIYANI
U+0792, \xde\x92, THAANA LETTER ZAVIYANI
U+0793, \xde\x93, THAANA LETTER TAVIYANI
U+0794, \xde\x94, THAANA LETTER YAA
U+0795, \xde\x95, THAANA LETTER PAVIYANI
U+0796, \xde\x96, THAANA LETTER JAVIYANI
U+0797, \xde\x97, THAANA LETTER CHAVIYANI
U+0798, \xde\x98, THAANA LETTER TTAA
U+0799, \xde\x99, THAANA LETTER HHAA
U+079A, \xde\x9a, THAANA LETTER KHAA
U+079B, \xde\x9b, THAANA LETTER THAALU
U+079C, \xde\x9c, THAANA LETTER ZAA
U+079D, \xde\x9d, THAANA LETTER SHEENU
U+079E, \xde\x9e, THAANA LETTER SAADHU
U+079F, \xde\x9f, THAANA LETTER DAADHU
U+07A0, \xde\xa0, THAANA LETTER TO
U+07A1, \xde\xa1, THAANA LETTER ZO
U+07A2, \xde\xa2, THAANA LETTER AINU
U+07A3, \xde\xa3, THAANA LETTER GHAINU
U+07A4, \xde\xa4, THAANA LETTER QAAFU
U+07A5, \xde\xa5, THAANA LETTER WAAVU
U+07A6, \xde\xa6, THAANA ABAFILI
U+07A7, \xde\xa7, THAANA AABAAFILI
U+07A8, \xde\xa8, THAANA IBIFILI
U+07A9, \xde\xa9, THAANA EEBEEFILI
U+07AA, \xde\xaa, THAANA UBUFILI
U+07AB, \xde\xab, THAANA OOBOOFILI
U+07AC, \xde\xac, THAANA EBEFILI
U+07AD, \xde\xad, THAANA EYBEYFILI
U+07AE, \xde\xae, THAANA OBOFILI
U+07AF, \xde\xaf, THAANA OABOAFILI
U+07B0, \xde\xb0, THAANA SUKUN
U+07B1, \xde\xb1, THAANA LETTER NAA
U+07C0, \xdf\x80, NKO DIGIT ZERO
U+07C1, \xdf\x81, NKO DIGIT ONE
U+07C2, \xdf\x82, NKO DIGIT TWO
U+07C3, \xdf\x83, NKO DIGIT THREE
U+07C4, \xdf\x84, NKO DIGIT FOUR
U+07C5, \xdf\x85, NKO DIGIT FIVE
U+07C6, \xdf\x86, NKO DIGIT SIX
U+07C7, \xdf\x87, NKO DIGIT SEVEN
U+07C8, \xdf\x88, NKO DIGIT EIGHT
U+07C9, \xdf\x89, NKO DIGIT NINE
U+07CA, \xdf\x8a, NKO LETTER A
U+07CB, \xdf\x8b, NKO LETTER EE
U+07CC, \xdf\x8c, NKO LETTER I
U+07CD, \xdf\x8d, NKO LETTER E
U+07CE, \xdf\x8e, NKO LETTER U
U+07CF, \xdf\x8f, NKO LETTER OO
U+07D0, \xdf\x90, NKO LETTER O
U+07D1, \xdf\x91, NKO LETTER DAGBASINNA
U+07D2, \xdf\x92, NKO LETTER N
U+07D3, \xdf\x93, NKO LETTER BA
U+07D4, \xdf\x94, NKO LETTER PA
U+07D5, \xdf\x95, NKO LETTER TA
U+07D6, \xdf\x96, NKO LETTER JA
U+07D7, \xdf\x97, NKO LETTER CHA
U+07D8, \xdf\x98, NKO LETTER DA
U+07D9, \xdf\x99, NKO LETTER RA
U+07DA, \xdf\x9a, NKO LETTER RRA
U+07DB, \xdf\x9b, NKO LETTER SA
U+07DC, \xdf\x9c, NKO LETTER GBA
U+07DD, \xdf\x9d, NKO LETTER FA
U+07DE, \xdf\x9e, NKO LETTER KA
U+07DF, \xdf\x9f, NKO LETTER LA
U+07E0, \xdf\xa0, NKO LETTER NA WOLOSO
U+07E1, \xdf\xa1, NKO LETTER MA
U+07E2, \xdf\xa2, NKO LETTER NYA
U+07E3, \xdf\xa3, NKO LETTER NA
U+07E4, \xdf\xa4, NKO LETTER HA
U+07E5, \xdf\xa5, NKO LETTER WA
U+07E6, \xdf\xa6, NKO LETTER YA
U+07E7, \xdf\xa7, NKO LETTER NYA WOLOSO
U+07E8, \xdf\xa8, NKO LETTER JONA JA
U+07E9, \xdf\xa9, NKO LETTER JONA CHA
U+07EA, \xdf\xaa, NKO LETTER JONA RA
U+07EB, \xdf\xab, NKO COMBINING SHORT HIGH TONE
U+07EC, \xdf\xac, NKO COMBINING SHORT LOW TONE
U+07ED, \xdf\xad, NKO COMBINING SHORT RISING TONE
U+07EE, \xdf\xae, NKO COMBINING LONG DESCENDING TONE
U+07EF, \xdf\xaf, NKO COMBINING LONG HIGH TONE
U+07F0, \xdf\xb0, NKO COMBINING LONG LOW TONE
U+07F1, \xdf\xb1, NKO COMBINING LONG RISING TONE
U+07F2, \xdf\xb2, NKO COMBINING NASALIZATION MARK
U+07F3, \xdf\xb3, NKO COMBINING DOUBLE DOT ABOVE
U+07F4, \xdf\xb4, NKO HIGH TONE APOSTROPHE
U+07F5, \xdf\xb5, NKO LOW TONE APOSTROPHE
U+07F6, \xdf\xb6, NKO SYMBOL OO DENNEN
U+07F7, \xdf\xb7, NKO SYMBOL GBAKURUNEN
U+07F8, \xdf\xb8, NKO COMMA
U+07F9, \xdf\xb9, NKO EXCLAMATION MARK
U+07FA, \xdf\xba, NKO LAJANYALAN
