# Tagbanwa
U+1760, \xe1\x9d\xa0, TAGBANWA LETTER A
U+1761, \xe1\x9d\xa1, TAGBANWA LETTER I
U+1762, \xe1\x9d\xa2, TAGBANWA LETTER U
U+1763, \xe1\x9d\xa3, TAGBANWA LETTER KA
U+1764, \xe1\x9d\xa4, TAGBANWA LETTER GA
U+1765, \xe1\x9d\xa5, TAGBANWA LETTER NGA
U+1766, \xe1\x9d\xa6, TAGBANWA LETTER TA
U+1767, \xe1\x9d\xa7, TAGBANWA LETTER DA
U+1768, \xe1\x9d\xa8, TAGBANWA LETTER NA
U+1769, \xe1\x9d\xa9, TAGBANWA LETTER PA
U+176A, \xe1\x9d\xaa, TAGBANWA LETTER BA
U+176B, \xe1\x9d\xab, TAGBANWA LETTER MA
U+176C, \xe1\x9d\xac, TAGBANWA LETTER YA
U+176E, \xe1\x9d\xae, TAGBANWA LETTER LA
U+176F, \xe1\x9d\xaf, TAGBANWA LETTER WA
U+1770, \xe1\x9d\xb0, TAGBANWA LETTER SA
U+1772, \xe1\x9d\xb2, TAGBANWA VOWEL SIGN I
U+1773, \xe1\x9d\xb3, TAGBANWA VOWEL SIGN U
U+1780, \xe1\x9e\x80, KHMER LETTER KA
U+1781, \xe1\x9e\x81, KHMER LETTER KHA
U+1782, \xe1\x9e\x82, KHMER LETTER KO
U+1783, \xe1\x9e\x83, KHMER LETTER KHO
U+1784, \xe1\x9e\x84, KHMER LETTER NGO
U+1785, \xe1\x9e\x85, KHMER LETTER CA
U+1786, \xe1\x9e\x86, KHMER LETTER CHA
U+1787, \xe1\x9e\x87, KHMER LETTER CO
U+1788, \xe1\x9e\x88, KHMER LETTER CHO
U+1789, \xe1\x9e\x89, KHMER LETTER NYO
U+178A, \xe1\x9e\x8a, KHMER LETTER DA
U+178B, \xe1\x9e\x8b, KHMER LETTER TTHA
U+178C, \xe1\x9e\x8c, KHMER LETTER DO
U+178D, \xe1\x9e\x8d, KHMER LETTER TTHO
U+178E, \xe1\x9e\x8e, KHMER LETTER NNO
U+178F, \xe1\x9e\x8f, KHMER LETTER TA
U+1790, \xe1\x9e\x90, KHMER LETTER THA
U+1791, \xe1\x9e\x91, KHMER LETTER TO
U+1792, \xe1\x9e\x92, KHMER LETTER THO
U+1793, \xe1\x9e\x93, KHMER LETTER NO
U+1794, \xe1\x9e\x94, KHMER LETTER BA
U+1795, \xe1\x9e\x95, KHMER LETTER PHA
U+1796, \xe1\x9e\x96, KHMER LETTER PO
U+1797, \xe1\x9e\x97, KHMER LETTER PHO
U+1798, \xe1\x9e\x98, KHMER LETTER MO
U+1799, \xe1\x9e\x99, KHMER LETTER YO
U+179A, \xe1\x9e\x9a, KHMER LETTER RO
U+179B, \xe1\x9e\x9b, KHMER LETTER LO
U+179C, \xe1\x9e\x9c, KHMER LETTER VO
U+179D, \xe1\x9e\x9d, KHMER LETTER SHA
U+179E, \xe1\x9e\x9e, KHMER LETTER SSO
U+179F, \xe1\x9e\x9f, KHMER LETTER SA
U+17A0, \xe1\x9e\xa0, KHMER LETTER HA
U+17A1, \xe1\x9e\xa1, KHMER LETTER LA
U+17A2, \xe1\x9e\xa2, KHMER LETTER QA
U+17A3, \xe1\x9e\xa3, KHMER INDEPENDENT VOWEL QAQ
U+17A4, \xe1\x9e\xa4, KHMER INDEPENDENT VOWEL QAA
U+17A5, \xe1\x9e\xa5, KHMER INDEPENDENT VOWEL QI
U+17A6, \xe1\x9e\xa6, KHMER INDEPENDENT VOWEL QII
U+17A7, \xe1\x9e\xa7, KHMER INDEPENDENT VOWEL QU
U+17A8, \xe1\x9e\xa8, KHMER INDEPENDENT VOWEL QUK
U+17A9, \xe1\x9e\xa9, KHMER INDEPENDENT VOWEL QUU
U+17AA, \xe1\x9e\xaa, KHMER INDEPENDENT VOWEL QUUV
U+17AB, \xe1\x9e\xab, KHMER INDEPENDENT VOWEL RY
U+17AC, \xe1\x9e\xac, KHMER INDEPENDENT VOWEL RYY
U+17AD, \xe1\x9e\xad, KHMER INDEPENDENT VOWEL LY
U+17AE, \xe1\x9e\xae, KHMER INDEPENDENT VOWEL LYY
U+17AF, \xe1\x9e\xaf, KHMER INDEPENDENT VOWEL QE
U+17B0, \xe1\x9e\xb0, KHMER INDEPENDENT VOWEL QAI
U+17B1, \xe1\x9e\xb1, KHMER INDEPENDENT VOWEL QOO TYPE ONE
U+17B2, \xe1\x9e\xb2, KHMER INDEPENDENT VOWEL QOO TYPE TWO
U+17B3, \xe1\x9e\xb3, KHMER INDEPENDENT VOWEL QAU
U+17B4, \xe1\x9e\xb4, KHMER VOWEL INHERENT AQ
U+17B5, \xe1\x9e\xb5, KHMER VOWEL INHERENT AA
U+17B6, \xe1\x9e\xb6, KHMER VOWEL SIGN AA
U+17B7, \xe1\x9e\xb7, KHMER VOWEL SIGN I
U+17B8, \xe1\x9e\xb8, KHMER VOWEL SIGN II
U+17B9, \xe1\x9e\xb9, KHMER VOWEL SIGN Y
U+17BA, \xe1\x9e\xba, KHMER VOWEL SIGN YY
U+17BB, \xe1\x9e\xbb, KHMER VOWEL SIGN U
U+17BC, \xe1\x9e\xbc, KHMER VOWEL SIGN UU
U+17BD, \xe1\x9e\xbd, KHMER VOWEL SIGN UA
U+17BE, \xe1\x9e\xbe, KHMER VOWEL SIGN OE
U+17BF, \xe1\x9e\xbf, KHMER VOWEL SIGN YA
