# Tai Xuan Jing Symbols
U+1D300, \xf0\x9d\x8c\x80, MONOGRAM FOR EARTH
U+1D301, \xf0\x9d\x8c\x81, DIGRAM FOR HEAVENLY EARTH
U+1D302, \xf0\x9d\x8c\x82, DIGRAM FOR HUMAN EARTH
U+1D303, \xf0\x9d\x8c\x83, DIGRAM FOR EARTHLY HEAVEN
U+1D304, \xf0\x9d\x8c\x84, DIGRAM FOR EARTHLY HUMAN
U+1D305, \xf0\x9d\x8c\x85, DIGRAM FOR EARTH
U+1D306, \xf0\x9d\x8c\x86, TETRAGRAM FOR CENTRE
U+1D307, \xf0\x9d\x8c\x87, TETRAGRAM FOR FULL CIRCLE
U+1D308, \xf0\x9d\x8c\x88, TETRAGRAM FOR MIRED
U+1D309, \xf0\x9d\x8c\x89, TETRAGRAM FOR BARRIER
U+1D30A, \xf0\x9d\x8c\x8a, TETRAGRAM FOR KEEPING SMALL
U+1D30B, \xf0\x9d\x8c\x8b, TETRAGRAM FOR CONTRARIETY
U+1D30C, \xf0\x9d\x8c\x8c, TETRAGRAM FOR ASCENT
U+1D30D, \xf0\x9d\x8c\x8d, TETRAGRAM FOR OPPOSITION
U+1D30E, \xf0\x9d\x8c\x8e, TETRAGRAM FOR BRANCHING OUT
U+1D30F, \xf0\x9d\x8c\x8f, TETRAGRAM FOR DEFECTIVENESS OR DISTORTION
U+1D310, \xf0\x9d\x8c\x90, TETRAGRAM FOR DIVERGENCE
U+1D311, \xf0\x9d\x8c\x91, TETRAGRAM FOR YOUTHFULNESS
U+1D312, \xf0\x9d\x8c\x92, TETRAGRAM FOR INCREASE
U+1D313, \xf0\x9d\x8c\x93, TETRAGRAM FOR PENETRATION
U+1D314, \xf0\x9d\x8c\x94, TETRAGRAM FOR REACH
U+1D315, \xf0\x9d\x8c\x95, TETRAGRAM FOR CONTACT
U+1D316, \xf0\x9d\x8c\x96, TETRAGRAM FOR HOLDING BACK
U+1D317, \xf0\x9d\x8c\x97, TETRAGRAM FOR WAITING
U+1D318, \xf0\x9d\x8c\x98, TETRAGRAM FOR FOLLOWING
U+1D319, \xf0\x9d\x8c\x99, TETRAGRAM FOR ADVANCE
