# Unicode Characters in the Basic Latin Block
# Source: http://www.fileformat.info/info/unicode/block/basic_latin/list.htm
"U+0000", "\x00", "NULL (U+0000)"
"U+0001", "\x01", "START OF HEADING (U+0001)"
"U+0002", "\x02", "START OF TEXT (U+0002)"
"U+0003", "\x03", "END OF TEXT (U+0003)"
"U+0004", "\x04", "END OF TRANSMISSION (U+0004)"
"U+0005", "\x05", "ENQUIRY (U+0005)"
"U+0006", "\x06", "ACKNOWLEDGE (U+0006)"
"U+0007", "\x07", "BELL (U+0007)"
"U+0008", "\x08", "BACKSPACE (U+0008)"
"U+0009", "\x09", "CHARACTER TABULATION (U+0009)"
"U+000A", "\x0a", "LINE FEED (LF) (U+000A)"
"U+000B", "\x0b", "LINE TABULATION (U+000B)"
"U+000C", "\x0c", "FORM FEED (FF) (U+000C)"
"U+000D", "\x0d", "CARRIAGE RETURN (CR) (U+000D)"
"U+000E", "\x0e", "SHIFT OUT (U+000E)"
"U+000F", "\x0f", "SHIFT IN (U+000F)"
"U+0010", "\x10", "DATA LINK ESCAPE (U+0010)"
"U+0011", "\x11", "DEVICE CONTROL ONE (U+0011)"
"U+0012", "\x12", "DEVICE CONTROL TWO (U+0012)"
"U+0013", "\x13", "DEVICE CONTROL THREE (U+0013)"
"U+0014", "\x14", "DEVICE CONTROL FOUR (U+0014)"
"U+0015", "\x15", "NEGATIVE ACKNOWLEDGE (U+0015)"
"U+0016", "\x16", "SYNCHRONOUS IDLE (U+0016)"
"U+0017", "\x17", "END OF TRANSMISSION BLOCK (U+0017)"
"U+0018", "\x18", "CANCEL (U+0018)"
"U+0019", "\x19", "END OF MEDIUM (U+0019)"
"U+001A", "\x1a", "SUBSTITUTE (U+001A)"
"U+001B", "\x1b", "ESCAPE (U+001B)"
"U+001C", "\x1c", "INFORMATION SEPARATOR FOUR (U+001C)"
"U+001D", "\x1d", "INFORMATION SEPARATOR THREE (U+001D)"
"U+001E", "\x1e", "INFORMATION SEPARATOR TWO (U+001E)"
"U+001F", "\x1f", "INFORMATION SEPARATOR ONE (U+001F)"
"U+0020", "\x20", "SPACE (U+0020)"
"U+0021", "\x21", "EXCLAMATION MARK (U+0021)"
"U+0022", "\x22", "QUOTATION MARK (U+0022)"
"U+0023", "\x23", "NUMBER SIGN (U+0023)"
"U+0024", "\x24", "DOLLAR SIGN (U+0024)"
"U+0025", "\x25", "PERCENT SIGN (U+0025)"
"U+0026", "\x26", "AMPERSAND (U+0026)"
"U+0027", "\x27", "APOSTROPHE (U+0027)"
"U+0028", "\x28", "LEFT PARENTHESIS (U+0028)"
"U+0029", "\x29", "RIGHT PARENTHESIS (U+0029)"
"U+002A", "\x2a", "ASTERISK (U+002A)"
"U+002B", "\x2b", "PLUS SIGN (U+002B)"
"U+002C", "\x2c", "COMMA (U+002C)"
"U+002D", "\x2d", "HYPHEN-MINUS (U+002D)"
"U+002E", "\x2e", "FULL STOP (U+002E)"
"U+002F", "\x2f", "SOLIDUS (U+002F)"
"U+0030", "\x30", "DIGIT ZERO (U+0030)"
"U+0031", "\x31", "DIGIT ONE (U+0031)"
"U+0032", "\x32", "DIGIT TWO (U+0032)"
"U+0033", "\x33", "DIGIT THREE (U+0033)"
"U+0034", "\x34", "DIGIT FOUR (U+0034)"
"U+0035", "\x35", "DIGIT FIVE (U+0035)"
"U+0036", "\x36", "DIGIT SIX (U+0036)"
"U+0037", "\x37", "DIGIT SEVEN (U+0037)"
"U+0038", "\x38", "DIGIT EIGHT (U+0038)"
"U+0039", "\x39", "DIGIT NINE (U+0039)"
"U+003A", "\x3a", "COLON (U+003A)"
"U+003B", "\x3b", "SEMICOLON (U+003B)"
"U+003C", "\x3c", "LESS-THAN SIGN (U+003C)"
"U+003D", "\x3d", "EQUALS SIGN (U+003D)"
"U+003E", "\x3e", "GREATER-THAN SIGN (U+003E)"
"U+003F", "\x3f", "QUESTION MARK (U+003F)"
"U+0040", "\x40", "COMMERCIAL AT (U+0040)"
"U+0041", "\x41", "LATIN CAPITAL LETTER A (U+0041)"
"U+0042", "\x42", "LATIN CAPITAL LETTER B (U+0042)"
"U+0043", "\x43", "LATIN CAPITAL LETTER C (U+0043)"
"U+0044", "\x44", "LATIN CAPITAL LETTER D (U+0044)"
"U+0045", "\x45", "LATIN CAPITAL LETTER E (U+0045)"
"U+0046", "\x46", "LATIN CAPITAL LETTER F (U+0046)"
"U+0047", "\x47", "LATIN CAPITAL LETTER G (U+0047)"
"U+0048", "\x48", "LATIN CAPITAL LETTER H (U+0048)"
"U+0049", "\x49", "LATIN CAPITAL LETTER I (U+0049)"
"U+004A", "\x4a", "LATIN CAPITAL LETTER J (U+004A)"
"U+004B", "\x4b", "LATIN CAPITAL LETTER K (U+004B)"
"U+004C", "\x4c", "LATIN CAPITAL LETTER L (U+004C)"
"U+004D", "\x4d", "LATIN CAPITAL LETTER M (U+004D)"
"U+004E", "\x4e", "LATIN CAPITAL LETTER N (U+004E)"
"U+004F", "\x4f", "LATIN CAPITAL LETTER O (U+004F)"
"U+0050", "\x50", "LATIN CAPITAL LETTER P (U+0050)"
"U+0051", "\x51", "LATIN CAPITAL LETTER Q (U+0051)"
"U+0052", "\x52", "LATIN CAPITAL LETTER R (U+0052)"
"U+0053", "\x53", "LATIN CAPITAL LETTER S (U+0053)"
"U+0054", "\x54", "LATIN CAPITAL LETTER T (U+0054)"
"U+0055", "\x55", "LATIN CAPITAL LETTER U (U+0055)"
"U+0056", "\x56", "LATIN CAPITAL LETTER V (U+0056)"
"U+0057", "\x57", "LATIN CAPITAL LETTER W (U+0057)"
"U+0058", "\x58", "LATIN CAPITAL LETTER X (U+0058)"
"U+0059", "\x59", "LATIN CAPITAL LETTER Y (U+0059)"
"U+005A", "\x5a", "LATIN CAPITAL LETTER Z (U+005A)"
"U+005B", "\x5b", "LEFT SQUARE BRACKET (U+005B)"
"U+005C", "\x5c", "REVERSE SOLIDUS (U+005C)"
"U+005D", "\x5d", "RIGHT SQUARE BRACKET (U+005D)"
"U+005E", "\x5e", "CIRCUMFLEX ACCENT (U+005E)"
"U+005F", "\x5f", "LOW LINE (U+005F)"
