# Unicode Characters in the Latin-1 Supplement Block
# Source: http://www.fileformat.info/info/unicode/block/latin_supplement/list.htm
"U+0080", "\xc2\x80", "<control> (U+0080)"
"U+0081", "\xc2\x81", "<control> (U+0081)"
"U+0082", "\xc2\x82", "BREAK PERMITTED HERE (U+0082)"
"U+0083", "\xc2\x83", "NO BREAK HERE (U+0083)"
"U+0084", "\xc2\x84", "<control> (U+0084)"
"U+0085", "\xc2\x85", "NEXT LINE (NEL) (U+0085)"
"U+0086", "\xc2\x86", "START OF SELECTED AREA (U+0086)"
"U+0087", "\xc2\x87", "END OF SELECTED AREA (U+0087)"
"U+0088", "\xc2\x88", "CHARACTER TABULATION SET (U+0088)"
"U+0089", "\xc2\x89", "CHARACTER TABULATION WITH JUSTIFICATION (U+0089)"
"U+008A", "\xc2\x8a", "LINE TABULATION SET (U+008A)"
"U+008B", "\xc2\x8b", "PARTIAL LINE FORWARD (U+008B)"
"U+008C", "\xc2\x8c", "PARTIAL LINE BACKWARD (U+008C)"
"U+008D", "\xc2\x8d", "REVERSE LINE FEED (U+008D)"
"U+008E", "\xc2\x8e", "SINGLE SHIFT TWO (U+008E)"
"U+008F", "\xc2\x8f", "SINGLE SHIFT THREE (U+008F)"
"U+0090", "\xc2\x90", "DEVICE CONTROL STRING (U+0090)"
"U+0091", "\xc2\x91", "PRIVATE USE ONE (U+0091)"
"U+0092", "\xc2\x92", "PRIVATE USE TWO (U+0092)"
"U+0093", "\xc2\x93", "SET TRANSMIT STATE (U+0093)"
"U+0094", "\xc2\x94", "CANCEL CHARACTER (U+0094)"
"U+0095", "\xc2\x95", "MESSAGE WAITING (U+0095)"
"U+0096", "\xc2\x96", "START OF GUARDED AREA (U+0096)"
"U+0097", "\xc2\x97", "END OF GUARDED AREA (U+0097)"
"U+0098", "\xc2\x98", "START OF STRING (U+0098)"
"U+0099", "\xc2\x99", "<control> (U+0099)"
"U+009A", "\xc2\x9a", "SINGLE CHARACTER INTRODUCER (U+009A)"
"U+009B", "\xc2\x9b", "CONTROL SEQUENCE INTRODUCER (U+009B)"
"U+009C", "\xc2\x9c", "STRING TERMINATOR (U+009C)"
"U+009D", "\xc2\x9d", "OPERATING SYSTEM COMMAND (U+009D)"
"U+009E", "\xc2\x9e", "PRIVACY MESSAGE (U+009E)"
"U+009F", "\xc2\x9f", "APPLICATION PROGRAM COMMAND (U+009F)"
"U+00A0", "\xc2\xa0", "NO-BREAK SPACE (U+00A0)"
"U+00A1", "\xc2\xa1", "INVERTED EXCLAMATION MARK (U+00A1)"
"U+00A2", "\xc2\xa2", "CENT SIGN (U+00A2)"
"U+00A3", "\xc2\xa3", "POUND SIGN (U+00A3)"
"U+00A4", "\xc2\xa4", "CURRENCY SIGN (U+00A4)"
"U+00A5", "\xc2\xa5", "YEN SIGN (U+00A5)"
"U+00A6", "\xc2\xa6", "BROKEN BAR (U+00A6)"
"U+00A7", "\xc2\xa7", "SECTION SIGN (U+00A7)"
"U+00A8", "\xc2\xa8", "DIAERESIS (U+00A8)"
"U+00A9", "\xc2\xa9", "COPYRIGHT SIGN (U+00A9)"
"U+00AA", "\xc2\xaa", "FEMININE ORDINAL INDICATOR (U+00AA)"
"U+00AB", "\xc2\xab", "LEFT-POINTING DOUBLE ANGLE QUOTATION MARK (U+00AB)"
"U+00AC", "\xc2\xac", "NOT SIGN (U+00AC)"
