# Unicode Characters in the Latin Extended-B Block
# Source: http://www.fileformat.info/info/unicode/block/latin_extended_b/list.htm
"U+0180", "\xc6\x80", "LATIN SMALL LETTER B WITH STROKE (U+0180)"
"U+0181", "\xc6\x81", "LATIN CAPITAL LETTER B WITH HOOK (U+0181)"
"U+0182", "\xc6\x82", "LATIN CAPITAL LETTER B WITH TOPBAR (U+0182)"
"U+0183", "\xc6\x83", "LATIN SMALL LETTER B WITH TOPBAR (U+0183)"
"U+0184", "\xc6\x84", "LATIN CAPITAL LETTER TONE SIX (U+0184)"
"U+0185", "\xc6\x85", "LATIN SMALL LETTER TONE SIX (U+0185)"
"U+0186", "\xc6\x86", "LATIN CAPITAL LETTER OPEN O (U+0186)"
"U+0187", "\xc6\x87", "LATIN CAPITAL LETTER C WITH HOOK (U+0187)"
"U+0188", "\xc6\x88", "LATIN SMALL LETTER C WITH HOOK (U+0188)"
"U+0189", "\xc6\x89", "LATIN CAPITAL LETTER AFRICAN D (U+0189)"
"U+018A", "\xc6\x8a", "LATIN CAPITAL LETTER D WITH HOOK (U+018A)"
"U+018B", "\xc6\x8b", "LATIN CAPITAL LETTER D WITH TOPBAR (U+018B)"
"U+018C", "\xc6\x8c", "LATIN SMALL LETTER D WITH TOPBAR (U+018C)"
"U+018D", "\xc6\x8d", "LATIN SMALL LETTER TURNED DELTA (U+018D)"
"U+018E", "\xc6\x8e", "LATIN CAPITAL LETTER REVERSED E (U+018E)"
"U+018F", "\xc6\x8f", "LATIN CAPITAL LETTER SCHWA (U+018F)"
"U+0190", "\xc6\x90", "LATIN CAPITAL LETTER OPEN E (U+0190)"
"U+0191", "\xc6\x91", "LATIN CAPITAL LETTER F WITH HOOK (U+0191)"
"U+0192", "\xc6\x92", "LATIN SMALL LETTER F WITH HOOK (U+0192)"
"U+0193", "\xc6\x93", "LATIN CAPITAL LETTER G WITH HOOK (U+0193)"
"U+0194", "\xc6\x94", "LATIN CAPITAL LETTER GAMMA (U+0194)"
"U+0195", "\xc6\x95", "LATIN SMALL LETTER HV (U+0195)"
"U+0196", "\xc6\x96", "LATIN CAPITAL LETTER IOTA (U+0196)"
"U+0197", "\xc6\x97", "LATIN CAPITAL LETTER I WITH STROKE (U+0197)"
"U+0198", "\xc6\x98", "LATIN CAPITAL LETTER K WITH HOOK (U+0198)"
"U+0199", "\xc6\x99", "LATIN SMALL LETTER K WITH HOOK (U+0199)"
"U+019A", "\xc6\x9a", "LATIN SMALL LETTER L WITH BAR (U+019A)"
"U+019B", "\xc6\x9b", "LATIN SMALL LETTER LAMBDA WITH STROKE (U+019B)"
"U+019C", "\xc6\x9c", "LATIN CAPITAL LETTER TURNED M (U+019C)"
"U+019D", "\xc6\x9d", "LATIN CAPITAL LETTER N WITH LEFT HOOK (U+019D)"
"U+019E", "\xc6\x9e", "LATIN SMALL LETTER N WITH LONG RIGHT LEG (U+019E)"
"U+019F", "\xc6\x9f", "LATIN CAPITAL LETTER O WITH MIDDLE TILDE (U+019F)"
"U+01A0", "\xc6\xa0", "LATIN CAPITAL LETTER O WITH HORN (U+01A0)"
"U+01A1", "\xc6\xa1", "LATIN SMALL LETTER O WITH HORN (U+01A1)"
"U+01A2", "\xc6\xa2", "LATIN CAPITAL LETTER OI (U+01A2)"
"U+01A3", "\xc6\xa3", "LATIN SMALL LETTER OI (U+01A3)"
"U+01A4", "\xc6\xa4", "LATIN CAPITAL LETTER P WITH HOOK (U+01A4)"
"U+01A5", "\xc6\xa5", "LATIN SMALL LETTER P WITH HOOK (U+01A5)"
"U+01A6", "\xc6\xa6", "LATIN LETTER YR (U+01A6)"
"U+01A7", "\xc6\xa7", "LATIN CAPITAL LETTER TONE TWO (U+01A7)"
"U+01A8", "\xc6\xa8", "LATIN SMALL LETTER TONE TWO (U+01A8)"
"U+01A9", "\xc6\xa9", "LATIN CAPITAL LETTER ESH (U+01A9)"
"U+01AA", "\xc6\xaa", "LATIN LETTER REVERSED ESH LOOP (U+01AA)"
"U+01AB", "\xc6\xab", "LATIN SMALL LETTER T WITH PALATAL HOOK (U+01AB)"
"U+01AC", "\xc6\xac", "LATIN CAPITAL LETTER T WITH HOOK (U+01AC)"
"U+01AD", "\xc6\xad", "LATIN SMALL LETTER T WITH HOOK (U+01AD)"
"U+01AE", "\xc6\xae", "LATIN CAPITAL LETTER T WITH RETROFLEX HOOK (U+01AE)"
"U+01AF", "\xc6\xaf", "LATIN CAPITAL LETTER U WITH HORN (U+01AF)"
"U+01B0", "\xc6\xb0", "LATIN SMALL LETTER U WITH HORN (U+01B0)"
"U+01B1", "\xc6\xb1", "LATIN CAPITAL LETTER UPSILON (U+01B1)"
"U+01B2", "\xc6\xb2", "LATIN CAPITAL LETTER V WITH HOOK (U+01B2)"
"U+01B3", "\xc6\xb3", "LATIN CAPITAL LETTER Y WITH HOOK (U+01B3)"
"U+01B4", "\xc6\xb4", "LATIN SMALL LETTER Y WITH HOOK (U+01B4)"
"U+01B5", "\xc6\xb5", "LATIN CAPITAL LETTER Z WITH STROKE (U+01B5)"
"U+01B6", "\xc6\xb6", "LATIN SMALL LETTER Z WITH STROKE (U+01B6)"
"U+01B7", "\xc6\xb7", "LATIN CAPITAL LETTER EZH (U+01B7)"
"U+01B8", "\xc6\xb8", "LATIN CAPITAL LETTER EZH REVERSED (U+01B8)"
"U+01B9", "\xc6\xb9", "LATIN SMALL LETTER EZH REVERSED (U+01B9)"
"U+01BA", "\xc6\xba", "LATIN SMALL LETTER EZH WITH TAIL (U+01BA)"
"U+01BB", "\xc6\xbb", "LATIN LETTER TWO WITH STROKE (U+01BB)"
"U+01BC", "\xc6\xbc", "LATIN CAPITAL LETTER TONE FIVE (U+01BC)"
"U+01BD", "\xc6\xbd", "LATIN SMALL LETTER TONE FIVE (U+01BD)"
"U+01BE", "\xc6\xbe", "LATIN LETTER INVERTED GLOTTAL STOP WITH STROKE (U+01BE)"
"U+01BF", "\xc6\xbf", "LATIN LETTER WYNN (U+01BF)"
"U+01C0", "\xc7\x80", "LATIN LETTER DENTAL CLICK (U+01C0)"
"U+01C1", "\xc7\x81", "LATIN LETTER LATERAL CLICK (U+01C1)"
"U+01C2", "\xc7\x82", "LATIN LETTER ALVEOLAR CLICK (U+01C2)"
"U+01C3", "\xc7\x83", "LATIN LETTER RETROFLEX CLICK (U+01C3)"
"U+01C4", "\xc7\x84", "LATIN CAPITAL LETTER DZ WITH CARON (U+01C4)"
"U+01C5", "\xc7\x85", "LATIN CAPITAL LETTER D WITH SMALL LETTER Z WITH CARON (U+01C5)"
"U+01C6", "\xc7\x86", "LATIN SMALL LETTER DZ WITH CARON (U+01C6)"
"U+01C7", "\xc7\x87", "LATIN CAPITAL LETTER LJ (U+01C7)"
"U+01C8", "\xc7\x88", "LATIN CAPITAL LETTER L WITH SMALL LETTER J (U+01C8)"
"U+01C9", "\xc7\x89", "LATIN SMALL LETTER LJ (U+01C9)"
"U+01CA", "\xc7\x8a", "LATIN CAPITAL LETTER NJ (U+01CA)"
"U+01CB", "\xc7\x8b", "LATIN CAPITAL LETTER N WITH SMALL LETTER J (U+01CB)"
"U+01CC", "\xc7\x8c", "LATIN SMALL LETTER NJ (U+01CC)"
"U+01CD", "\xc7\x8d", "LATIN CAPITAL LETTER A WITH CARON (U+01CD)"
"U+01CE", "\xc7\x8e", "LATIN SMALL LETTER A WITH CARON (U+01CE)"
"U+01CF", "\xc7\x8f", "LATIN CAPITAL LETTER I WITH CARON (U+01CF)"
"U+01D0", "\xc7\x90", "LATIN SMALL LETTER I WITH CARON (U+01D0)"
"U+01D1", "\xc7\x91", "LATIN CAPITAL LETTER O WITH CARON (U+01D1)"
"U+01D2", "\xc7\x92", "LATIN SMALL LETTER O WITH CARON (U+01D2)"
"U+01D3", "\xc7\x93", "LATIN CAPITAL LETTER U WITH CARON (U+01D3)"
"U+01D4", "\xc7\x94", "LATIN SMALL LETTER U WITH CARON (U+01D4)"
