# Unicode Characters in the IPA Extensions Block
# Source: http://www.fileformat.info/info/unicode/block/ipa_extensions/list.htm
"U+0250", "\xc9\x90", "LATIN SMALL LETTER TURNED A (U+0250)"
"U+0251", "\xc9\x91", "LATIN SMALL LETTER ALPHA (U+0251)"
"U+0252", "\xc9\x92", "LATIN SMALL LETTER TURNED ALPHA (U+0252)"
"U+0253", "\xc9\x93", "LATIN SMALL LETTER B WITH HOOK (U+0253)"
"U+0254", "\xc9\x94", "LATIN SMALL LETTER OPEN O (U+0254)"
"U+0255", "\xc9\x95", "LATIN SMALL LETTER C WITH CURL (U+0255)"
"U+0256", "\xc9\x96", "LATIN SMALL LETTER D WITH TAIL (U+0256)"
"U+0257", "\xc9\x97", "LATIN SMALL LETTER D WITH HOOK (U+0257)"
"U+0258", "\xc9\x98", "LATIN SMALL LETTER REVERSED E (U+0258)"
"U+0259", "\xc9\x99", "LATIN SMALL LETTER SCHWA (U+0259)"
"U+025A", "\xc9\x9a", "LATIN SMALL LETTER SCHWA WITH HOOK (U+025A)"
"U+025B", "\xc9\x9b", "LATIN SMALL LETTER OPEN E (U+025B)"
"U+025C", "\xc9\x9c", "LATIN SMALL LETTER REVERSED OPEN E (U+025C)"
"U+025D", "\xc9\x9d", "LATIN SMALL LETTER REVERSED OPEN E WITH HOOK (U+025D)"
"U+025E", "\xc9\x9e", "LATIN SMALL LETTER CLOSED REVERSED OPEN E (U+025E)"
"U+025F", "\xc9\x9f", "LATIN SMALL LETTER DOTLESS J WITH STROKE (U+025F)"
"U+0260", "\xc9\xa0", "LATIN SMALL LETTER G WITH HOOK (U+0260)"
"U+0261", "\xc9\xa1", "LATIN SMALL LETTER SCRIPT G (U+0261)"
"U+0262", "\xc9\xa2", "LATIN LETTER SMALL CAPITAL G (U+0262)"
"U+0263", "\xc9\xa3", "LATIN SMALL LETTER GAMMA (U+0263)"
"U+0264", "\xc9\xa4", "LATIN SMALL LETTER RAMS HORN (U+0264)"
"U+0265", "\xc9\xa5", "LATIN SMALL LETTER TURNED H (U+0265)"
"U+0266", "\xc9\xa6", "LATIN SMALL LETTER H WITH HOOK (U+0266)"
"U+0267", "\xc9\xa7", "LATIN SMALL LETTER HENG WITH HOOK (U+0267)"
"U+0268", "\xc9\xa8", "LATIN SMALL LETTER I WITH STROKE (U+0268)"
"U+0269", "\xc9\xa9", "LATIN SMALL LETTER IOTA (U+0269)"
"U+026A", "\xc9\xaa", "LATIN LETTER SMALL CAPITAL I (U+026A)"
"U+026B", "\xc9\xab", "LATIN SMALL LETTER L WITH MIDDLE TILDE (U+026B)"
"U+026C", "\xc9\xac", "LATIN SMALL LETTER L WITH BELT (U+026C)"
"U+026D", "\xc9\xad", "LATIN SMALL LETTER L WITH RETROFLEX HOOK (U+026D)"
"U+026E", "\xc9\xae", "LATIN SMALL LETTER LEZH (U+026E)"
"U+026F", "\xc9\xaf", "LATIN SMALL LETTER TURNED M (U+026F)"
"U+0270", "\xc9\xb0", "LATIN SMALL LETTER TURNED M WITH LONG LEG (U+0270)"
"U+0271", "\xc9\xb1", "LATIN SMALL LETTER M WITH HOOK (U+0271)"
"U+0272", "\xc9\xb2", "LATIN SMALL LETTER N WITH LEFT HOOK (U+0272)"
"U+0273", "\xc9\xb3", "LATIN SMALL LETTER N WITH RETROFLEX HOOK (U+0273)"
"U+0274", "\xc9\xb4", "LATIN LETTER SMALL CAPITAL N (U+0274)"
"U+0275", "\xc9\xb5", "LATIN SMALL LETTER BARRED O (U+0275)"
"U+0276", "\xc9\xb6", "LATIN LETTER SMALL CAPITAL OE (U+0276)"
"U+0277", "\xc9\xb7", "LATIN SMALL LETTER CLOSED OMEGA (U+0277)"
"U+0278", "\xc9\xb8", "LATIN SMALL LETTER PHI (U+0278)"
"U+0279", "\xc9\xb9", "LATIN SMALL LETTER TURNED R (U+0279)"
"U+027A", "\xc9\xba", "LATIN SMALL LETTER TURNED R WITH LONG LEG (U+027A)"
"U+027B", "\xc9\xbb", "LATIN SMALL LETTER TURNED R WITH HOOK (U+027B)"
"U+027C", "\xc9\xbc", "LATIN SMALL LETTER R WITH LONG LEG (U+027C)"
"U+027D", "\xc9\xbd", "LATIN SMALL LETTER R WITH TAIL (U+027D)"
"U+027E", "\xc9\xbe", "LATIN SMALL LETTER R WITH FISHHOOK (U+027E)"
"U+027F", "\xc9\xbf", "LATIN SMALL LETTER REVERSED R WITH FISHHOOK (U+027F)"
"U+0280", "\xca\x80", "LATIN LETTER SMALL CAPITAL R (U+0280)"
"U+0281", "\xca\x81", "LATIN LETTER SMALL CAPITAL INVERTED R (U+0281)"
"U+0282", "\xca\x82", "LATIN SMALL LETTER S WITH HOOK (U+0282)"
"U+0283", "\xca\x83", "LATIN SMALL LETTER ESH (U+0283)"
"U+0284", "\xca\x84", "LATIN SMALL LETTER DOTLESS J WITH STROKE AND HOOK (U+0284)"
"U+0285", "\xca\x85", "LATIN SMALL LETTER SQUAT REVERSED ESH (U+0285)"
"U+0286", "\xca\x86", "LATIN SMALL LETTER ESH WITH CURL (U+0286)"
"U+0287", "\xca\x87", "LATIN SMALL LETTER TURNED T (U+0287)"
"U+0288", "\xca\x88", "LATIN SMALL LETTER T WITH RETROFLEX HOOK (U+0288)"
"U+0289", "\xca\x89", "LATIN SMALL LETTER U BAR (U+0289)"
"U+028A", "\xca\x8a", "LATIN SMALL LETTER UPSILON (U+028A)"
"U+028B", "\xca\x8b", "LATIN SMALL LETTER V WITH HOOK (U+028B)"
"U+028C", "\xca\x8c", "LATIN SMALL LETTER TURNED V (U+028C)"
"U+028D", "\xca\x8d", "LATIN SMALL LETTER TURNED W (U+028D)"
"U+028E", "\xca\x8e", "LATIN SMALL LETTER TURNED Y (U+028E)"
"U+028F", "\xca\x8f", "LATIN LETTER SMALL CAPITAL Y (U+028F)"
"U+0290", "\xca\x90", "LATIN SMALL LETTER Z WITH RETROFLEX HOOK (U+0290)"
"U+0291", "\xca\x91", "LATIN SMALL LETTER Z WITH CURL (U+0291)"
"U+0292", "\xca\x92", "LATIN SMALL LETTER EZH (U+0292)"
"U+0293", "\xca\x93", "LATIN SMALL LETTER EZH WITH CURL (U+0293)"
"U+0294", "\xca\x94", "LATIN LETTER GLOTTAL STOP (U+0294)"
"U+0295", "\xca\x95", "LATIN LETTER PHARYNGEAL VOICED FRICATIVE (U+0295)"
"U+0296", "\xca\x96", "LATIN LETTER INVERTED GLOTTAL STOP (U+0296)"
"U+0297", "\xca\x97", "LATIN LETTER STRETCHED C (U+0297)"
"U+0298", "\xca\x98", "LATIN LETTER BILABIAL CLICK (U+0298)"
"U+0299", "\xca\x99", "LATIN LETTER SMALL CAPITAL B (U+0299)"
"U+029A", "\xca\x9a", "LATIN SMALL LETTER CLOSED OPEN E (U+029A)"
"U+029B", "\xca\x9b", "LATIN LETTER SMALL CAPITAL G WITH HOOK (U+029B)"
"U+029C", "\xca\x9c", "LATIN LETTER SMALL CAPITAL H (U+029C)"
"U+029D", "\xca\x9d", "LATIN SMALL LETTER J WITH CROSSED-TAIL (U+029D)"
"U+029E", "\xca\x9e", "LATIN SMALL LETTER TURNED K (U+029E)"
"U+029F", "\xca\x9f", "LATIN LETTER SMALL CAPITAL L (U+029F)"
"U+02A0", "\xca\xa0", "LATIN SMALL LETTER Q WITH HOOK (U+02A0)"
"U+02A1", "\xca\xa1", "LATIN LETTER GLOTTAL STOP WITH STROKE (U+02A1)"
"U+02A2", "\xca\xa2", "LATIN LETTER REVERSED GLOTTAL STOP WITH STROKE (U+02A2)"
"U+02A3", "\xca\xa3", "LATIN SMALL LETTER DZ DIGRAPH (U+02A3)"
"U+02A4", "\xca\xa4", "LATIN SMALL LETTER DEZH DIGRAPH (U+02A4)"
"U+02A5", "\xca\xa5", "LATIN SMALL LETTER DZ DIGRAPH WITH CURL (U+02A5)"
"U+02A6", "\xca\xa6", "LATIN SMALL LETTER TS DIGRAPH (U+02A6)"
"U+02A7", "\xca\xa7", "LATIN SMALL LETTER TESH DIGRAPH (U+02A7)"
"U+02A8", "\xca\xa8", "LATIN SMALL LETTER TC DIGRAPH WITH CURL (U+02A8)"
"U+02A9", "\xca\xa9", "LATIN SMALL LETTER FENG DIGRAPH (U+02A9)"
"U+02AA", "\xca\xaa", "LATIN SMALL LETTER LS DIGRAPH (U+02AA)"
"U+02AB", "\xca\xab", "LATIN SMALL LETTER LZ DIGRAPH (U+02AB)"
"U+02AC", "\xca\xac", "LATIN LETTER BILABIAL PERCUSSIVE (U+02AC)"
