# Unicode Characters in the Combining Diacritical Marks Block
# Source: http://www.fileformat.info/info/unicode/block/combining_diacritical_marks/list.htm
"U+0300", "\xcc\x80", "COMBINING GRAVE ACCENT (U+0300)"
"U+0301", "\xcc\x81", "COMBINING ACUTE ACCENT (U+0301)"
"U+0302", "\xcc\x82", "COMBINING CIRCUMFLEX ACCENT (U+0302)"
"U+0303", "\xcc\x83", "COMBINING TILDE (U+0303)"
"U+0304", "\xcc\x84", "COMBINING MACRON (U+0304)"
"U+0305", "\xcc\x85", "COMBINING OVERLINE (U+0305)"
"U+0306", "\xcc\x86", "COMBINING BREVE (U+0306)"
"U+0307", "\xcc\x87", "COMBINING DOT ABOVE (U+0307)"
"U+0308", "\xcc\x88", "COMBINING DIAERESIS (U+0308)"
"U+0309", "\xcc\x89", "COMBINING HOOK ABOVE (U+0309)"
"U+030A", "\xcc\x8a", "COMBINING RING ABOVE (U+030A)"
"U+030B", "\xcc\x8b", "COMBINING DOUBLE ACUTE ACCENT (U+030B)"
"U+030C", "\xcc\x8c", "COMBINING CARON (U+030C)"
"U+030D", "\xcc\x8d", "COMBINING VERTICAL LINE ABOVE (U+030D)"
"U+030E", "\xcc\x8e", "COMBINING DOUBLE VERTICAL LINE ABOVE (U+030E)"
"U+030F", "\xcc\x8f", "COMBINING DOUBLE GRAVE ACCENT (U+030F)"
"U+0310", "\xcc\x90", "COMBINING CANDRABINDU (U+0310)"
"U+0311", "\xcc\x91", "COMBINING INVERTED BREVE (U+0311)"
"U+0312", "\xcc\x92", "COMBINING TURNED COMMA ABOVE (U+0312)"
"U+0313", "\xcc\x93", "COMBINING COMMA ABOVE (U+0313)"
"U+0314", "\xcc\x94", "COMBINING REVERSED COMMA ABOVE (U+0314)"
"U+0315", "\xcc\x95", "COMBINING COMMA ABOVE RIGHT (U+0315)"
"U+0316", "\xcc\x96", "COMBINING GRAVE ACCENT BELOW (U+0316)"
"U+0317", "\xcc\x97", "COMBINING ACUTE ACCENT BELOW (U+0317)"
"U+0318", "\xcc\x98", "COMBINING LEFT TACK BELOW (U+0318)"
"U+0319", "\xcc\x99", "COMBINING RIGHT TACK BELOW (U+0319)"
"U+031A", "\xcc\x9a", "COMBINING LEFT ANGLE ABOVE (U+031A)"
"U+031B", "\xcc\x9b", "COMBINING HORN (U+031B)"
"U+031C", "\xcc\x9c", "COMBINING LEFT HALF RING BELOW (U+031C)"
"U+031D", "\xcc\x9d", "COMBINING UP TACK BELOW (U+031D)"
"U+031E", "\xcc\x9e", "COMBINING DOWN TACK BELOW (U+031E)"
"U+031F", "\xcc\x9f", "COMBINING PLUS SIGN BELOW (U+031F)"
"U+0320", "\xcc\xa0", "COMBINING MINUS SIGN BELOW (U+0320)"
"U+0321", "\xcc\xa1", "COMBINING PALATALIZED HOOK BELOW (U+0321)"
"U+0322", "\xcc\xa2", "COMBINING RETROFLEX HOOK BELOW (U+0322)"
"U+0323", "\xcc\xa3", "COMBINING DOT BELOW (U+0323)"
"U+0324", "\xcc\xa4", "COMBINING DIAERESIS BELOW (U+0324)"
"U+0325", "\xcc\xa5", "COMBINING RING BELOW (U+0325)"
"U+0326", "\xcc\xa6", "COMBINING COMMA BELOW (U+0326)"
"U+0327", "\xcc\xa7", "COMBINING CEDILLA (U+0327)"
"U+0328", "\xcc\xa8", "COMBINING OGONEK (U+0328)"
"U+0329", "\xcc\xa9", "COMBINING VERTICAL LINE BELOW (U+0329)"
"U+032A", "\xcc\xaa", "COMBINING BRIDGE BELOW (U+032A)"
