# Unicode Characters in the Cyrillic Block
# Source: http://www.fileformat.info/info/unicode/block/cyrillic/list.htm
"U+0400", "\xd0\x80", "CYRILLIC CAPITAL LETTER IE WITH GRAVE (U+0400)"
"U+0401", "\xd0\x81", "CYRILLIC CAPITAL LETTER IO (U+0401)"
"U+0402", "\xd0\x82", "CYRILLIC CAPITAL LETTER DJE (U+0402)"
"U+0403", "\xd0\x83", "CYRILLIC CAPITAL LETTER GJE (U+0403)"
"U+0404", "\xd0\x84", "CYRILLIC CAPITAL LETTER UKRAINIAN IE (U+0404)"
"U+0405", "\xd0\x85", "CYRILLIC CAPITAL LETTER DZE (U+0405)"
"U+0406", "\xd0\x86", "CYRILLIC CAPITAL LETTER BYELORUSSIAN-UKRAINIAN I (U+0406)"
"U+0407", "\xd0\x87", "CYRILLIC CAPITAL LETTER YI (U+0407)"
"U+0408", "\xd0\x88", "CYRILLIC CAPITAL LETTER JE (U+0408)"
"U+0409", "\xd0\x89", "CYRILLIC CAPITAL LETTER LJE (U+0409)"
"U+040A", "\xd0\x8a", "CYRILLIC CAPITAL LETTER NJE (U+040A)"
"U+040B", "\xd0\x8b", "CYRILLIC CAPITAL LETTER TSHE (U+040B)"
"U+040C", "\xd0\x8c", "CYRILLIC CAPITAL LETTER KJE (U+040C)"
"U+040D", "\xd0\x8d", "CYRILLIC CAPITAL LETTER I WITH GRAVE (U+040D)"
"U+040E", "\xd0\x8e", "CYRILLIC CAPITAL LETTER SHORT U (U+040E)"
"U+040F", "\xd0\x8f", "CYRILLIC CAPITAL LETTER DZHE (U+040F)"
"U+0410", "\xd0\x90", "CYRILLIC CAPITAL LETTER A (U+0410)"
"U+0411", "\xd0\x91", "CYRILLIC CAPITAL LETTER BE (U+0411)"
"U+0412", "\xd0\x92", "CYRILLIC CAPITAL LETTER VE (U+0412)"
"U+0413", "\xd0\x93", "CYRILLIC CAPITAL LETTER GHE (U+0413)"
"U+0414", "\xd0\x94", "CYRILLIC CAPITAL LETTER DE (U+0414)"
"U+0415", "\xd0\x95", "CYRILLIC CAPITAL LETTER IE (U+0415)"
"U+0416", "\xd0\x96", "CYRILLIC CAPITAL LETTER ZHE (U+0416)"
"U+0417", "\xd0\x97", "CYRILLIC CAPITAL LETTER ZE (U+0417)"
"U+0418", "\xd0\x98", "CYRILLIC CAPITAL LETTER I (U+0418)"
"U+0419", "\xd0\x99", "CYRILLIC CAPITAL LETTER SHORT I (U+0419)"
"U+041A", "\xd0\x9a", "CYRILLIC CAPITAL LETTER KA (U+041A)"
