# Unicode Characters in the Cyrillic Supplement Block
# Source: http://www.fileformat.info/info/unicode/block/cyrillic_supplement/list.htm
"U+0500", "\xd4\x80", "CYRILLIC CAPITAL LETTER KOMI DE (U+0500)"
"U+0501", "\xd4\x81", "CYRILLIC SMALL LETTER KOMI DE (U+0501)"
"U+0502", "\xd4\x82", "CYRILLIC CAPITAL LETTER KOMI DJE (U+0502)"
"U+0503", "\xd4\x83", "CYRILLIC SMALL LETTER KOMI DJE (U+0503)"
"U+0504", "\xd4\x84", "CYRILLIC CAPITAL LETTER KOMI ZJE (U+0504)"
"U+0505", "\xd4\x85", "CYRILLIC SMALL LETTER KOMI ZJE (U+0505)"
"U+0506", "\xd4\x86", "CYRILLIC CAPITAL LETTER KOMI DZJE (U+0506)"
"U+0507", "\xd4\x87", "CYRILLIC SMALL LETTER KOMI DZJE (U+0507)"
"U+0508", "\xd4\x88", "CYRILLIC CAPITAL LETTER KOMI LJE (U+0508)"
"U+0509", "\xd4\x89", "CYRILLIC SMALL LETTER KOMI LJE (U+0509)"
"U+050A", "\xd4\x8a", "CYRILLIC CAPITAL LETTER KOMI NJE (U+050A)"
"U+050B", "\xd4\x8b", "CYRILLIC SMALL LETTER KOMI NJE (U+050B)"
"U+050C", "\xd4\x8c", "CYRILLIC CAPITAL LETTER KOMI SJE (U+050C)"
"U+050D", "\xd4\x8d", "CYRILLIC SMALL LETTER KOMI SJE (U+050D)"
"U+050E", "\xd4\x8e", "CYRILLIC CAPITAL LETTER KOMI TJE (U+050E)"
"U+050F", "\xd4\x8f", "CYRILLIC SMALL LETTER KOMI TJE (U+050F)"
"U+0510", "\xd4\x90", "CYRILLIC CAPITAL LETTER REVERSED ZE (U+0510)"
"U+0511", "\xd4\x91", "CYRILLIC SMALL LETTER REVERSED ZE (U+0511)"
"U+0512", "\xd4\x92", "CYRILLIC CAPITAL LETTER EL WITH HOOK (U+0512)"
"U+0513", "\xd4\x93", "CYRILLIC SMALL LETTER EL WITH HOOK (U+0513)"
"U+0514", "\xd4\x94", "CYRILLIC CAPITAL LETTER LHA (U+0514)"
"U+0515", "\xd4\x95", "CYRILLIC SMALL LETTER LHA (U+0515)"
"U+0516", "\xd4\x96", "CYRILLIC CAPITAL LETTER RHA (U+0516)"
"U+0517", "\xd4\x97", "CYRILLIC SMALL LETTER RHA (U+0517)"
"U+0518", "\xd4\x98", "CYRILLIC CAPITAL LETTER YAE (U+0518)"
"U+0519", "\xd4\x99", "CYRILLIC SMALL LETTER YAE (U+0519)"
"U+051A", "\xd4\x9a", "CYRILLIC CAPITAL LETTER QA (U+051A)"
"U+051B", "\xd4\x9b", "CYRILLIC SMALL LETTER QA (U+051B)"
"U+051C", "\xd4\x9c", "CYRILLIC CAPITAL LETTER WE (U+051C)"
"U+051D", "\xd4\x9d", "CYRILLIC SMALL LETTER WE (U+051D)"
"U+051E", "\xd4\x9e", "CYRILLIC CAPITAL LETTER ALEUT KA (U+051E)"
"U+051F", "\xd4\x9f", "CYRILLIC SMALL LETTER ALEUT KA (U+051F)"
"U+0520", "\xd4\xa0", "CYRILLIC CAPITAL LETTER EL WITH MIDDLE HOOK (U+0520)"
"U+0521", "\xd4\xa1", "CYRILLIC SMALL LETTER EL WITH MIDDLE HOOK (U+0521)"
"U+0522", "\xd4\xa2", "CYRILLIC CAPITAL LETTER EN WITH MIDDLE HOOK (U+0522)"
"U+0523", "\xd4\xa3", "CYRILLIC SMALL LETTER EN WITH MIDDLE HOOK (U+0523)"
"U+0524", "\xd4\xa4", "CYRILLIC CAPITAL LETTER PE WITH DESCENDER (U+0524)"
"U+0525", "\xd4\xa5", "CYRILLIC SMALL LETTER PE WITH DESCENDER (U+0525)"
"U+0526", "\xd4\xa6", "CYRILLIC CAPITAL LETTER SHHA WITH DESCENDER (U+0526)"
"U+0527", "\xd4\xa7", "CYRILLIC SMALL LETTER SHHA WITH DESCENDER (U+0527)"
