# Unicode Characters in the Armenian Block
# Source: http://www.fileformat.info/info/unicode/block/armenian/list.htm
"U+0531", "\xd4\xb1", "ARMENIAN CAPITAL LETTER AYB (U+0531)"
"U+0532", "\xd4\xb2", "ARMENIAN CAPITAL LETTER BEN (U+0532)"
"U+0533", "\xd4\xb3", "ARMENIAN CAPITAL LETTER GIM (U+0533)"
"U+0534", "\xd4\xb4", "ARMENIAN CAPITAL LETTER DA (U+0534)"
"U+0535", "\xd4\xb5", "ARMENIAN CAPITAL LETTER ECH (U+0535)"
"U+0536", "\xd4\xb6", "ARMENIAN CAPITAL LETTER ZA (U+0536)"
"U+0537", "\xd4\xb7", "ARMENIAN CAPITAL LETTER EH (U+0537)"
"U+0538", "\xd4\xb8", "ARMENIAN CAPITAL LETTER ET (U+0538)"
"U+0539", "\xd4\xb9", "ARMENIAN CAPITAL LETTER TO (U+0539)"
"U+053A", "\xd4\xba", "ARMENIAN CAPITAL LETTER ZHE (U+053A)"
"U+053B", "\xd4\xbb", "ARMENIAN CAPITAL LETTER INI (U+053B)"
"U+053C", "\xd4\xbc", "ARMENIAN CAPITAL LETTER LIWN (U+053C)"
"U+053D", "\xd4\xbd", "ARMENIAN CAPITAL LETTER XEH (U+053D)"
"U+053E", "\xd4\xbe", "ARMENIAN CAPITAL LETTER CA (U+053E)"
"U+053F", "\xd4\xbf", "ARMENIAN CAPITAL LETTER KEN (U+053F)"
"U+0540", "\xd5\x80", "ARMENIAN CAPITAL LETTER HO (U+0540)"
"U+0541", "\xd5\x81", "ARMENIAN CAPITAL LETTER JA (U+0541)"
"U+0542", "\xd5\x82", "ARMENIAN CAPITAL LETTER GHAD (U+0542)"
"U+0543", "\xd5\x83", "ARMENIAN CAPITAL LETTER CHEH (U+0543)"
"U+0544", "\xd5\x84", "ARMENIAN CAPITAL LETTER MEN (U+0544)"
"U+0545", "\xd5\x85", "ARMENIAN CAPITAL LETTER YI (U+0545)"
"U+0546", "\xd5\x86", "ARMENIAN CAPITAL LETTER NOW (U+0546)"
"U+0547", "\xd5\x87", "ARMENIAN CAPITAL LETTER SHA (U+0547)"
"U+0548", "\xd5\x88", "ARMENIAN CAPITAL LETTER VO (U+0548)"
"U+0549", "\xd5\x89", "ARMENIAN CAPITAL LETTER CHA (U+0549)"
"U+054A", "\xd5\x8a", "ARMENIAN CAPITAL LETTER PEH (U+054A)"
"U+054B", "\xd5\x8b", "ARMENIAN CAPITAL LETTER JHEH (U+054B)"
"U+054C", "\xd5\x8c", "ARMENIAN CAPITAL LETTER RA (U+054C)"
"U+054D", "\xd5\x8d", "ARMENIAN CAPITAL LETTER SEH (U+054D)"
"U+054E", "\xd5\x8e", "ARMENIAN CAPITAL LETTER VEW (U+054E)"
"U+054F", "\xd5\x8f", "ARMENIAN CAPITAL LETTER TIWN (U+054F)"
"U+0550", "\xd5\x90", "ARMENIAN CAPITAL LETTER REH (U+0550)"
"U+0551", "\xd5\x91", "ARMENIAN CAPITAL LETTER CO (U+0551)"
"U+0552", "\xd5\x92", "ARMENIAN CAPITAL LETTER YIWN (U+0552)"
"U+0553", "\xd5\x93", "ARMENIAN CAPITAL LETTER PIWR (U+0553)"
"U+0554", "\xd5\x94", "ARMENIAN CAPITAL LETTER KEH (U+0554)"
"U+0555", "\xd5\x95", "ARMENIAN CAPITAL LETTER OH (U+0555)"
"U+0556", "\xd5\x96", "ARMENIAN CAPITAL LETTER FEH (U+0556)"
"U+0559", "\xd5\x99", "ARMENIAN MODIFIER LETTER LEFT HALF RING (U+0559)"
"U+055A", "\xd5\x9a", "ARMENIAN APOSTROPHE (U+055A)"
"U+055B", "\xd5\x9b", "ARMENIAN EMPHASIS MARK (U+055B)"
"U+055C", "\xd5\x9c", "ARMENIAN EXCLAMATION MARK (U+055C)"
"U+055D", "\xd5\x9d", "ARMENIAN COMMA (U+055D)"
"U+055E", "\xd5\x9e", "ARMENIAN QUESTION MARK (U+055E)"
"U+055F", "\xd5\x9f", "ARMENIAN ABBREVIATION MARK (U+055F)"
"U+0561", "\xd5\xa1", "ARMENIAN SMALL LETTER AYB (U+0561)"
"U+0562", "\xd5\xa2", "ARMENIAN SMALL LETTER BEN (U+0562)"
"U+0563", "\xd5\xa3", "ARMENIAN SMALL LETTER GIM (U+0563)"
"U+0564", "\xd5\xa4", "ARMENIAN SMALL LETTER DA (U+0564)"
"U+0565", "\xd5\xa5", "ARMENIAN SMALL LETTER ECH (U+0565)"
"U+0566", "\xd5\xa6", "ARMENIAN SMALL LETTER ZA (U+0566)"
"U+0567", "\xd5\xa7", "ARMENIAN SMALL LETTER EH (U+0567)"
"U+0568", "\xd5\xa8", "ARMENIAN SMALL LETTER ET (U+0568)"
"U+0569", "\xd5\xa9", "ARMENIAN SMALL LETTER TO (U+0569)"
"U+056A", "\xd5\xaa", "ARMENIAN SMALL LETTER ZHE (U+056A)"
"U+056B", "\xd5\xab", "ARMENIAN SMALL LETTER INI (U+056B)"
"U+056C", "\xd5\xac", "ARMENIAN SMALL LETTER LIWN (U+056C)"
"U+056D", "\xd5\xad", "ARMENIAN SMALL LETTER XEH (U+056D)"
"U+056E", "\xd5\xae", "ARMENIAN SMALL LETTER CA (U+056E)"
"U+056F", "\xd5\xaf", "ARMENIAN SMALL LETTER KEN (U+056F)"
"U+0570", "\xd5\xb0", "ARMENIAN SMALL LETTER HO (U+0570)"
"U+0571", "\xd5\xb1", "ARMENIAN SMALL LETTER JA (U+0571)"
"U+0572", "\xd5\xb2", "ARMENIAN SMALL LETTER GHAD (U+0572)"
"U+0573", "\xd5\xb3", "ARMENIAN SMALL LETTER CHEH (U+0573)"
"U+0574", "\xd5\xb4", "ARMENIAN SMALL LETTER MEN (U+0574)"
"U+0575", "\xd5\xb5", "ARMENIAN SMALL LETTER YI (U+0575)"
"U+0576", "\xd5\xb6", "ARMENIAN SMALL LETTER NOW (U+0576)"
"U+0577", "\xd5\xb7", "ARMENIAN SMALL LETTER SHA (U+0577)"
"U+0578", "\xd5\xb8", "ARMENIAN SMALL LETTER VO (U+0578)"
"U+0579", "\xd5\xb9", "ARMENIAN SMALL LETTER CHA (U+0579)"
"U+057A", "\xd5\xba", "ARMENIAN SMALL LETTER PEH (U+057A)"
"U+057B", "\xd5\xbb", "ARMENIAN SMALL LETTER JHEH (U+057B)"
"U+057C", "\xd5\xbc", "ARMENIAN SMALL LETTER RA (U+057C)"
"U+057D", "\xd5\xbd", "ARMENIAN SMALL LETTER SEH (U+057D)"
"U+057E", "\xd5\xbe", "ARMENIAN SMALL LETTER VEW (U+057E)"
"U+057F", "\xd5\xbf", "ARMENIAN SMALL LETTER TIWN (U+057F)"
"U+0580", "\xd6\x80", "ARMENIAN SMALL LETTER REH (U+0580)"
"U+0581", "\xd6\x81", "ARMENIAN SMALL LETTER CO (U+0581)"
"U+0582", "\xd6\x82", "ARMENIAN SMALL LETTER YIWN (U+0582)"
"U+0583", "\xd6\x83", "ARMENIAN SMALL LETTER PIWR (U+0583)"
"U+0584", "\xd6\x84", "ARMENIAN SMALL LETTER KEH (U+0584)"
"U+0585", "\xd6\x85", "ARMENIAN SMALL LETTER OH (U+0585)"
"U+0586", "\xd6\x86", "ARMENIAN SMALL LETTER FEH (U+0586)"
"U+0587", "\xd6\x87", "ARMENIAN SMALL LIGATURE ECH YIWN (U+0587)"
"U+0589", "\xd6\x89", "ARMENIAN FULL STOP (U+0589)"
"U+058A", "\xd6\x8a", "ARMENIAN HYPHEN (U+058A)"
"U+058F", "\xd6\x8f", "ARMENIAN DRAM SIGN (U+058F)"
