# Unicode Characters in the Hebrew Block
# Source: http://www.fileformat.info/info/unicode/block/hebrew/list.htm
"U+0591", "\xd6\x91", "HEBREW ACCENT ETNAHTA (U+0591)"
"U+0592", "\xd6\x92", "HEBREW ACCENT SEGOL (U+0592)"
"U+0593", "\xd6\x93", "HEBREW ACCENT SHALSHELET (U+0593)"
"U+0594", "\xd6\x94", "HEBREW ACCENT ZAQEF QATAN (U+0594)"
"U+0595", "\xd6\x95", "HEBREW ACCENT ZAQEF GADOL (U+0595)"
"U+0596", "\xd6\x96", "HEBREW ACCENT TIPEHA (U+0596)"
"U+0597", "\xd6\x97", "HEBREW ACCENT REVIA (U+0597)"
"U+0598", "\xd6\x98", "HEBREW ACCENT ZARQA (U+0598)"
"U+0599", "\xd6\x99", "HEBREW ACCENT PASHTA (U+0599)"
"U+059A", "\xd6\x9a", "HEBREW ACCENT YETIV (U+059A)"
"U+059B", "\xd6\x9b", "HEBREW ACCENT TEVIR (U+059B)"
"U+059C", "\xd6\x9c", "HEBREW ACCENT GERESH (U+059C)"
"U+059D", "\xd6\x9d", "HEBREW ACCENT GERESH MUQDAM (U+059D)"
"U+059E", "\xd6\x9e", "HEBREW ACCENT GERSHAYIM (U+059E)"
"U+059F", "\xd6\x9f", "HEBREW ACCENT QARNEY PARA (U+059F)"
"U+05A0", "\xd6\xa0", "HEBREW ACCENT TELISHA GEDOLA (U+05A0)"
"U+05A1", "\xd6\xa1", "HEBREW ACCENT PAZER (U+05A1)"
"U+05A2", "\xd6\xa2", "HEBREW ACCENT ATNAH HAFUKH (U+05A2)"
"U+05A3", "\xd6\xa3", "HEBREW ACCENT MUNAH (U+05A3)"
"U+05A4", "\xd6\xa4", "HEBREW ACCENT MAHAPAKH (U+05A4)"
"U+05A5", "\xd6\xa5", "HEBREW ACCENT MERKHA (U+05A5)"
"U+05A6", "\xd6\xa6", "HEBREW ACCENT MERKHA KEFULA (U+05A6)"
"U+05A7", "\xd6\xa7", "HEBREW ACCENT DARGA (U+05A7)"
"U+05A8", "\xd6\xa8", "HEBREW ACCENT QADMA (U+05A8)"
"U+05A9", "\xd6\xa9", "HEBREW ACCENT TELISHA QETANA (U+05A9)"
"U+05AA", "\xd6\xaa", "HEBREW ACCENT YERAH BEN YOMO (U+05AA)"
"U+05AB", "\xd6\xab", "HEBREW ACCENT OLE (U+05AB)"
"U+05AC", "\xd6\xac", "HEBREW ACCENT ILUY (U+05AC)"
"U+05AD", "\xd6\xad", "HEBREW ACCENT DEHI (U+05AD)"
"U+05AE", "\xd6\xae", "HEBREW ACCENT ZINOR (U+05AE)"
"U+05AF", "\xd6\xaf", "HEBREW MARK MASORA CIRCLE (U+05AF)"
"U+05B0", "\xd6\xb0", "HEBREW POINT SHEVA (U+05B0)"
"U+05B1", "\xd6\xb1", "HEBREW POINT HATAF SEGOL (U+05B1)"
"U+05B2", "\xd6\xb2", "HEBREW POINT HATAF PATAH (U+05B2)"
"U+05B3", "\xd6\xb3", "HEBREW POINT HATAF QAMATS (U+05B3)"
"U+05B4", "\xd6\xb4", "HEBREW POINT HIRIQ (U+05B4)"
"U+05B5", "\xd6\xb5", "HEBREW POINT TSERE (U+05B5)"
"U+05B6", "\xd6\xb6", "HEBREW POINT SEGOL (U+05B6)"
"U+05B7", "\xd6\xb7", "HEBREW POINT PATAH (U+05B7)"
"U+05B8", "\xd6\xb8", "HEBREW POINT QAMATS (U+05B8)"
"U+05B9", "\xd6\xb9", "HEBREW POINT HOLAM (U+05B9)"
"U+05BA", "\xd6\xba", "HEBREW POINT HOLAM HASER FOR VAV (U+05BA)"
"U+05BB", "\xd6\xbb", "HEBREW POINT QUBUTS (U+05BB)"
"U+05BC", "\xd6\xbc", "HEBREW POINT DAGESH OR MAPIQ (U+05BC)"
"U+05BD", "\xd6\xbd", "HEBREW POINT METEG (U+05BD)"
"U+05BE", "\xd6\xbe", "HEBREW PUNCTUATION MAQAF (U+05BE)"
"U+05BF", "\xd6\xbf", "HEBREW POINT RAFE (U+05BF)"
"U+05C0", "\xd7\x80", "HEBREW PUNCTUATION PASEQ (U+05C0)"
"U+05C1", "\xd7\x81", "HEBREW POINT SHIN DOT (U+05C1)"
