# Unicode Characters in the Arabic Block
# Source: http://www.fileformat.info/info/unicode/block/arabic/list.htm
"U+0600", "\xd8\x80", "ARABIC NUMBER SIGN (U+0600)"
"U+0601", "\xd8\x81", "ARABIC SIGN SANAH (U+0601)"
"U+0602", "\xd8\x82", "ARABIC FOOTNOTE MARKER (U+0602)"
"U+0603", "\xd8\x83", "ARABIC SIGN SAFHA (U+0603)"
"U+0604", "\xd8\x84", "ARABIC SIGN SAMVAT (U+0604)"
"U+0606", "\xd8\x86", "ARABIC-INDIC CUBE ROOT (U+0606)"
"U+0607", "\xd8\x87", "ARABIC-INDIC FOURTH ROOT (U+0607)"
"U+0608", "\xd8\x88", "ARABIC RAY (U+0608)"
"U+0609", "\xd8\x89", "ARABIC-INDIC PER MILLE SIGN (U+0609)"
"U+060A", "\xd8\x8a", "ARABIC-INDIC PER TEN THOUSAND SIGN (U+060A)"
"U+060B", "\xd8\x8b", "AFGHANI SIGN (U+060B)"
"U+060C", "\xd8\x8c", "ARABIC COMMA (U+060C)"
"U+060D", "\xd8\x8d", "ARABIC DATE SEPARATOR (U+060D)"
"U+060E", "\xd8\x8e", "ARABIC POETIC VERSE SIGN (U+060E)"
"U+060F", "\xd8\x8f", "ARABIC SIGN MISRA (U+060F)"
"U+0610", "\xd8\x90", "ARABIC SIGN SALLALLAHOU ALAYHE WASSALLAM (U+0610)"
"U+0611", "\xd8\x91", "ARABIC SIGN ALAYHE ASSALLAM (U+0611)"
"U+0612", "\xd8\x92", "ARABIC SIGN RAHMATULLAH ALAYHE (U+0612)"
"U+0613", "\xd8\x93", "ARABIC SIGN RADI ALLAHOU ANHU (U+0613)"
"U+0614", "\xd8\x94", "ARABIC SIGN TAKHALLUS (U+0614)"
"U+0615", "\xd8\x95", "ARABIC SMALL HIGH TAH (U+0615)"
"U+0616", "\xd8\x96", "ARABIC SMALL HIGH LIGATURE ALEF WITH LAM WITH YEH (U+0616)"
"U+0617", "\xd8\x97", "ARABIC SMALL HIGH ZAIN (U+0617)"
"U+0618", "\xd8\x98", "ARABIC SMALL FATHA (U+0618)"
"U+0619", "\xd8\x99", "ARABIC SMALL DAMMA (U+0619)"
"U+061A", "\xd8\x9a", "ARABIC SMALL KASRA (U+061A)"
"U+061B", "\xd8\x9b", "ARABIC SEMICOLON (U+061B)"
"U+061E", "\xd8\x9e", "ARABIC TRIPLE DOT PUNCTUATION MARK (U+061E)"
"U+061F", "\xd8\x9f", "ARABIC QUESTION MARK (U+061F)"
"U+0620", "\xd8\xa0", "ARABIC LETTER KASHMIRI YEH (U+0620)"
"U+0621", "\xd8\xa1", "ARABIC LETTER HAMZA (U+0621)"
"U+0622", "\xd8\xa2", "ARABIC LETTER ALEF WITH MADDA ABOVE (U+0622)"
"U+0623", "\xd8\xa3", "ARABIC LETTER ALEF WITH HAMZA ABOVE (U+0623)"
"U+0624", "\xd8\xa4", "ARABIC LETTER WAW WITH HAMZA ABOVE (U+0624)"
"U+0625", "\xd8\xa5", "ARABIC LETTER ALEF WITH HAMZA BELOW (U+0625)"
"U+0626", "\xd8\xa6", "ARABIC LETTER YEH WITH HAMZA ABOVE (U+0626)"
"U+0627", "\xd8\xa7", "ARABIC LETTER ALEF (U+0627)"
"U+0628", "\xd8\xa8", "ARABIC LETTER BEH (U+0628)"
"U+0629", "\xd8\xa9", "ARABIC LETTER TEH MARBUTA (U+0629)"
"U+062A", "\xd8\xaa", "ARABIC LETTER TEH (U+062A)"
"U+062B", "\xd8\xab", "ARABIC LETTER THEH (U+062B)"
