# Unicode Characters in the Syriac Block
# Source: http://www.fileformat.info/info/unicode/block/syriac/list.htm
"U+0700", "\xdc\x80", "SYRIAC END OF PARAGRAPH (U+0700)"
"U+0701", "\xdc\x81", "SYRIAC SUPRALINEAR FULL STOP (U+0701)"
"U+0702", "\xdc\x82", "SYRIAC SUBLINEAR FULL STOP (U+0702)"
"U+0703", "\xdc\x83", "SYRIAC SUPRALINEAR COLON (U+0703)"
"U+0704", "\xdc\x84", "SYRIAC SUBLINEAR COLON (U+0704)"
"U+0705", "\xdc\x85", "SYRIAC HORIZONTAL COLON (U+0705)"
"U+0706", "\xdc\x86", "SYRIAC COLON SKEWED LEFT (U+0706)"
"U+0707", "\xdc\x87", "SYRIAC COLON SKEWED RIGHT (U+0707)"
"U+0708", "\xdc\x88", "SYRIAC SUPRALINEAR COLON SKEWED LEFT (U+0708)"
"U+0709", "\xdc\x89", "SYRIAC SUBLINEAR COLON SKEWED RIGHT (U+0709)"
"U+070A", "\xdc\x8a", "SYRIAC CONTRACTION (U+070A)"
"U+070B", "\xdc\x8b", "SYRIAC HARKLEAN OBELUS (U+070B)"
"U+070C", "\xdc\x8c", "SYRIAC HARKLEAN METOBELUS (U+070C)"
"U+070D", "\xdc\x8d", "SYRIAC HARKLEAN ASTERISCUS (U+070D)"
"U+070F", "\xdc\x8f", "SYRIAC ABBREVIATION MARK (U+070F)"
"U+0710", "\xdc\x90", "SYRIAC LETTER ALAPH (U+0710)"
"U+0711", "\xdc\x91", "SYRIAC LETTER SUPERSCRIPT ALAPH (U+0711)"
"U+0712", "\xdc\x92", "SYRIAC LETTER BETH (U+0712)"
"U+0713", "\xdc\x93", "SYRIAC LETTER GAMAL (U+0713)"
"U+0714", "\xdc\x94", "SYRIAC LETTER GAMAL GARSHUNI (U+0714)"
"U+0715", "\xdc\x95", "SYRIAC LETTER DALATH (U+0715)"
"U+0716", "\xdc\x96", "SYRIAC LETTER DOTLESS DALATH RISH (U+0716)"
"U+0717", "\xdc\x97", "SYRIAC LETTER HE (U+0717)"
"U+0718", "\xdc\x98", "SYRIAC LETTER WAW (U+0718)"
"U+0719", "\xdc\x99", "SYRIAC LETTER ZAIN (U+0719)"
"U+071A", "\xdc\x9a", "SYRIAC LETTER HETH (U+071A)"
"U+071B", "\xdc\x9b", "SYRIAC LETTER TETH (U+071B)"
"U+071C", "\xdc\x9c", "SYRIAC LETTER TETH GARSHUNI (U+071C)"
"U+071D", "\xdc\x9d", "SYRIAC LETTER YUDH (U+071D)"
"U+071E", "\xdc\x9e", "SYRIAC LETTER YUDH HE (U+071E)"
"U+071F", "\xdc\x9f", "SYRIAC LETTER KAPH (U+071F)"
"U+0720", "\xdc\xa0", "SYRIAC LETTER LAMADH (U+0720)"
"U+0721", "\xdc\xa1", "SYRIAC LETTER MIM (U+0721)"
"U+0722", "\xdc\xa2", "SYRIAC LETTER NUN (U+0722)"
"U+0723", "\xdc\xa3", "SYRIAC LETTER SEMKATH (U+0723)"
"U+0724", "\xdc\xa4", "SYRIAC LETTER FINAL SEMKATH (U+0724)"
"U+0725", "\xdc\xa5", "SYRIAC LETTER E (U+0725)"
"U+0726", "\xdc\xa6", "SYRIAC LETTER PE (U+0726)"
"U+0727", "\xdc\xa7", "SYRIAC LETTER REVERSED PE (U+0727)"
"U+0728", "\xdc\xa8", "SYRIAC LETTER SADHE (U+0728)"
"U+0729", "\xdc\xa9", "SYRIAC LETTER QAPH (U+0729)"
"U+072A", "\xdc\xaa", "SYRIAC LETTER RISH (U+072A)"
