# Unicode Characters in the NKo Block
# Source: http://www.fileformat.info/info/unicode/block/nko/list.htm
"U+07C0", "\xdf\x80", "NKO DIGIT ZERO (U+07C0)"
"U+07C1", "\xdf\x81", "NKO DIGIT ONE (U+07C1)"
"U+07C2", "\xdf\x82", "NKO DIGIT TWO (U+07C2)"
"U+07C3", "\xdf\x83", "NKO DIGIT THREE (U+07C3)"
"U+07C4", "\xdf\x84", "NKO DIGIT FOUR (U+07C4)"
"U+07C5", "\xdf\x85", "NKO DIGIT FIVE (U+07C5)"
"U+07C6", "\xdf\x86", "NKO DIGIT SIX (U+07C6)"
"U+07C7", "\xdf\x87", "NKO DIGIT SEVEN (U+07C7)"
"U+07C8", "\xdf\x88", "NKO DIGIT EIGHT (U+07C8)"
"U+07C9", "\xdf\x89", "NKO DIGIT NINE (U+07C9)"
"U+07CA", "\xdf\x8a", "NKO LETTER A (U+07CA)"
"U+07CB", "\xdf\x8b", "NKO LETTER EE (U+07CB)"
"U+07CC", "\xdf\x8c", "NKO LETTER I (U+07CC)"
"U+07CD", "\xdf\x8d", "NKO LETTER E (U+07CD)"
"U+07CE", "\xdf\x8e", "NKO LETTER U (U+07CE)"
"U+07CF", "\xdf\x8f", "NKO LETTER OO (U+07CF)"
"U+07D0", "\xdf\x90", "NKO LETTER O (U+07D0)"
"U+07D1", "\xdf\x91", "NKO LETTER DAGBASINNA (U+07D1)"
"U+07D2", "\xdf\x92", "NKO LETTER N (U+07D2)"
"U+07D3", "\xdf\x93", "NKO LETTER BA (U+07D3)"
"U+07D4", "\xdf\x94", "NKO LETTER PA (U+07D4)"
"U+07D5", "\xdf\x95", "NKO LETTER TA (U+07D5)"
"U+07D6", "\xdf\x96", "NKO LETTER JA (U+07D6)"
"U+07D7", "\xdf\x97", "NKO LETTER CHA (U+07D7)"
"U+07D8", "\xdf\x98", "NKO LETTER DA (U+07D8)"
"U+07D9", "\xdf\x99", "NKO LETTER RA (U+07D9)"
"U+07DA", "\xdf\x9a", "NKO LETTER RRA (U+07DA)"
"U+07DB", "\xdf\x9b", "NKO LETTER SA (U+07DB)"
"U+07DC", "\xdf\x9c", "NKO LETTER GBA (U+07DC)"
"U+07DD", "\xdf\x9d", "NKO LETTER FA (U+07DD)"
"U+07DE", "\xdf\x9e", "NKO LETTER KA (U+07DE)"
"U+07DF", "\xdf\x9f", "NKO LETTER LA (U+07DF)"
"U+07E0", "\xdf\xa0", "NKO LETTER NA WOLOSO (U+07E0)"
"U+07E1", "\xdf\xa1", "NKO LETTER MA (U+07E1)"
"U+07E2", "\xdf\xa2", "NKO LETTER NYA (U+07E2)"
"U+07E3", "\xdf\xa3", "NKO LETTER NA (U+07E3)"
"U+07E4", "\xdf\xa4", "NKO LETTER HA (U+07E4)"
"U+07E5", "\xdf\xa5", "NKO LETTER WA (U+07E5)"
"U+07E6", "\xdf\xa6", "NKO LETTER YA (U+07E6)"
"U+07E7", "\xdf\xa7", "NKO LETTER NYA WOLOSO (U+07E7)"
"U+07E8", "\xdf\xa8", "NKO LETTER JONA JA (U+07E8)"
"U+07E9", "\xdf\xa9", "NKO LETTER JONA CHA (U+07E9)"
"U+07EA", "\xdf\xaa", "NKO LETTER JONA RA (U+07EA)"
"U+07EB", "\xdf\xab", "NKO COMBINING SHORT HIGH TONE (U+07EB)"
"U+07EC", "\xdf\xac", "NKO COMBINING SHORT LOW TONE (U+07EC)"
"U+07ED", "\xdf\xad", "NKO COMBINING SHORT RISING TONE (U+07ED)"
"U+07EE", "\xdf\xae", "NKO COMBINING LONG DESCENDING TONE (U+07EE)"
"U+07EF", "\xdf\xaf", "NKO COMBINING LONG HIGH TONE (U+07EF)"
"U+07F0", "\xdf\xb0", "NKO COMBINING LONG LOW TONE (U+07F0)"
"U+07F1", "\xdf\xb1", "NKO COMBINING LONG RISING TONE (U+07F1)"
"U+07F2", "\xdf\xb2", "NKO COMBINING NASALIZATION MARK (U+07F2)"
"U+07F3", "\xdf\xb3", "NKO COMBINING DOUBLE DOT ABOVE (U+07F3)"
"U+07F4", "\xdf\xb4", "NKO HIGH TONE APOSTROPHE (U+07F4)"
"U+07F5", "\xdf\xb5", "NKO LOW TONE APOSTROPHE (U+07F5)"
"U+07F6", "\xdf\xb6", "NKO SYMBOL OO DENNEN (U+07F6)"
"U+07F7", "\xdf\xb7", "NKO SYMBOL GBAKURUNEN (U+07F7)"
"U+07F8", "\xdf\xb8", "NKO COMMA (U+07F8)"
"U+07F9", "\xdf\xb9", "NKO EXCLAMATION MARK (U+07F9)"
"U+07FA", "\xdf\xba", "NKO LAJANYALAN (U+07FA)"
