# Unicode Characters in the Mandaic Block
# Source: http://www.fileformat.info/info/unicode/block/mandaic/list.htm
"U+0840", "\xe0\xa1\x80", "MANDAIC LETTER HALQA (U+0840)"
"U+0841", "\xe0\xa1\x81", "MANDAIC LETTER AB (U+0841)"
"U+0842", "\xe0\xa1\x82", "MANDAIC LETTER AG (U+0842)"
"U+0843", "\xe0\xa1\x83", "MANDAIC LETTER AD (U+0843)"
"U+0844", "\xe0\xa1\x84", "MANDAIC LETTER AH (U+0844)"
"U+0845", "\xe0\xa1\x85", "MANDAIC LETTER USHENNA (U+0845)"
"U+0846", "\xe0\xa1\x86", "MANDAIC LETTER AZ (U+0846)"
"U+0847", "\xe0\xa1\x87", "MANDAIC LETTER IT (U+0847)"
"U+0848", "\xe0\xa1\x88", "MANDAIC LETTER ATT (U+0848)"
"U+0849", "\xe0\xa1\x89", "MANDAIC LETTER AKSA (U+0849)"
"U+084A", "\xe0\xa1\x8a", "MANDAIC LETTER AK (U+084A)"
"U+084B", "\xe0\xa1\x8b", "MANDAIC LETTER AL (U+084B)"
"U+084C", "\xe0\xa1\x8c", "MANDAIC LETTER AM (U+084C)"
"U+084D", "\xe0\xa1\x8d", "MANDAIC LETTER AN (U+084D)"
"U+084E", "\xe0\xa1\x8e", "MANDAIC LETTER AS (U+084E)"
"U+084F", "\xe0\xa1\x8f", "MANDAIC LETTER IN (U+084F)"
"U+0850", "\xe0\xa1\x90", "MANDAIC LETTER AP (U+0850)"
"U+0851", "\xe0\xa1\x91", "MANDAIC LETTER ASZ (U+0851)"
"U+0852", "\xe0\xa1\x92", "MANDAIC LETTER AQ (U+0852)"
"U+0853", "\xe0\xa1\x93", "MANDAIC LETTER AR (U+0853)"
"U+0854", "\xe0\xa1\x94", "MANDAIC LETTER ASH (U+0854)"
"U+0855", "\xe0\xa1\x95", "MANDAIC LETTER AT (U+0855)"
"U+0856", "\xe0\xa1\x96", "MANDAIC LETTER DUSHENNA (U+0856)"
"U+0857", "\xe0\xa1\x97", "MANDAIC LETTER KAD (U+0857)"
"U+0858", "\xe0\xa1\x98", "MANDAIC LETTER AIN (U+0858)"
"U+0859", "\xe0\xa1\x99", "MANDAIC AFFRICATION MARK (U+0859)"
"U+085A", "\xe0\xa1\x9a", "MANDAIC VOCALIZATION MARK (U+085A)"
"U+085B", "\xe0\xa1\x9b", "MANDAIC GEMINATION MARK (U+085B)"
"U+085E", "\xe0\xa1\x9e", "MANDAIC PUNCTUATION (U+085E)"
