# Unicode Characters in the Arabic Extended-A Block
# Source: http://www.fileformat.info/info/unicode/block/arabic_extended_a/list.htm
"U+08A0", "\xe0\xa2\xa0", "ARABIC LETTER BEH WITH SMALL V BELOW (U+08A0)"
"U+08A2", "\xe0\xa2\xa2", "ARABIC LETTER JEEM WITH TWO DOTS ABOVE (U+08A2)"
"U+08A3", "\xe0\xa2\xa3", "ARABIC LETTER TAH WITH TWO DOTS ABOVE (U+08A3)"
"U+08A4", "\xe0\xa2\xa4", "ARABIC LETTER FEH WITH DOT BELOW AND THREE DOTS ABOVE (U+08A4)"
"U+08A5", "\xe0\xa2\xa5", "ARABIC LETTER QAF WITH DOT BELOW (U+08A5)"
"U+08A6", "\xe0\xa2\xa6", "ARABIC LETTER LAM WITH DOUBLE BAR (U+08A6)"
"U+08A7", "\xe0\xa2\xa7", "ARABIC LETTER MEEM WITH THREE DOTS ABOVE (U+08A7)"
"U+08A8", "\xe0\xa2\xa8", "ARABIC LETTER YEH WITH TWO DOTS BELOW AND HAMZA ABOVE (U+08A8)"
"U+08A9", "\xe0\xa2\xa9", "ARABIC LETTER YEH WITH TWO DOTS BELOW AND DOT ABOVE (U+08A9)"
"U+08AA", "\xe0\xa2\xaa", "ARABIC LETTER REH WITH LOOP (U+08AA)"
"U+08AB", "\xe0\xa2\xab", "ARABIC LETTER WAW WITH DOT WITHIN (U+08AB)"
"U+08AC", "\xe0\xa2\xac", "ARABIC LETTER ROHINGYA YEH (U+08AC)"
"U+08E4", "\xe0\xa3\xa4", "ARABIC CURLY FATHA (U+08E4)"
"U+08E5", "\xe0\xa3\xa5", "ARABIC CURLY DAMMA (U+08E5)"
"U+08E6", "\xe0\xa3\xa6", "ARABIC CURLY KASRA (U+08E6)"
"U+08E7", "\xe0\xa3\xa7", "ARABIC CURLY FATHATAN (U+08E7)"
"U+08E8", "\xe0\xa3\xa8", "ARABIC CURLY DAMMATAN (U+08E8)"
"U+08E9", "\xe0\xa3\xa9", "ARABIC CURLY KASRATAN (U+08E9)"
"U+08EA", "\xe0\xa3\xaa", "ARABIC TONE ONE DOT ABOVE (U+08EA)"
"U+08EB", "\xe0\xa3\xab", "ARABIC TONE TWO DOTS ABOVE (U+08EB)"
"U+08EC", "\xe0\xa3\xac", "ARABIC TONE LOOP ABOVE (U+08EC)"
"U+08ED", "\xe0\xa3\xad", "ARABIC TONE ONE DOT BELOW (U+08ED)"
"U+08EE", "\xe0\xa3\xae", "ARABIC TONE TWO DOTS BELOW (U+08EE)"
"U+08EF", "\xe0\xa3\xaf", "ARABIC TONE LOOP BELOW (U+08EF)"
"U+08F0", "\xe0\xa3\xb0", "ARABIC OPEN FATHATAN (U+08F0)"
"U+08F1", "\xe0\xa3\xb1", "ARABIC OPEN DAMMATAN (U+08F1)"
"U+08F2", "\xe0\xa3\xb2", "ARABIC OPEN KASRATAN (U+08F2)"
"U+08F3", "\xe0\xa3\xb3", "ARABIC SMALL HIGH WAW (U+08F3)"
"U+08F4", "\xe0\xa3\xb4", "ARABIC FATHA WITH RING (U+08F4)"
"U+08F5", "\xe0\xa3\xb5", "ARABIC FATHA WITH DOT ABOVE (U+08F5)"
"U+08F6", "\xe0\xa3\xb6", "ARABIC KASRA WITH DOT BELOW (U+08F6)"
"U+08F7", "\xe0\xa3\xb7", "ARABIC LEFT ARROWHEAD ABOVE (U+08F7)"
"U+08F8", "\xe0\xa3\xb8", "ARABIC RIGHT ARROWHEAD ABOVE (U+08F8)"
"U+08F9", "\xe0\xa3\xb9", "ARABIC LEFT ARROWHEAD BELOW (U+08F9)"
"U+08FA", "\xe0\xa3\xba", "ARABIC RIGHT ARROWHEAD BELOW (U+08FA)"
"U+08FB", "\xe0\xa3\xbb", "ARABIC DOUBLE RIGHT ARROWHEAD ABOVE (U+08FB)"
"U+08FC", "\xe0\xa3\xbc", "ARABIC DOUBLE RIGHT ARROWHEAD ABOVE WITH DOT (U+08FC)"
"U+08FD", "\xe0\xa3\xbd", "ARABIC RIGHT ARROWHEAD ABOVE WITH DOT (U+08FD)"
"U+08FE", "\xe0\xa3\xbe", "ARABIC DAMMA WITH DOT (U+08FE)"
