# Unicode Characters in the Devanagari Block
# Source: http://www.fileformat.info/info/unicode/block/devanagari/list.htm
"U+0900", "\xe0\xa4\x80", "DEVANAGARI SIGN INVERTED CANDRABINDU (U+0900)"
"U+0901", "\xe0\xa4\x81", "DEVANAGARI SIGN CANDRABINDU (U+0901)"
"U+0902", "\xe0\xa4\x82", "DEVANAGARI SIGN ANUSVARA (U+0902)"
"U+0903", "\xe0\xa4\x83", "DEVANAGARI SIGN VISARGA (U+0903)"
"U+0904", "\xe0\xa4\x84", "DEVANAGARI LETTER SHORT A (U+0904)"
"U+0905", "\xe0\xa4\x85", "DEVANAGARI LETTER A (U+0905)"
"U+0906", "\xe0\xa4\x86", "DEVANAGARI LETTER AA (U+0906)"
"U+0907", "\xe0\xa4\x87", "DEVANAGARI LETTER I (U+0907)"
"U+0908", "\xe0\xa4\x88", "DEVANAGARI LETTER II (U+0908)"
"U+0909", "\xe0\xa4\x89", "DEVANAGARI LETTER U (U+0909)"
"U+090A", "\xe0\xa4\x8a", "DEVANAGARI LETTER UU (U+090A)"
"U+090B", "\xe0\xa4\x8b", "DEVANAGARI LETTER VOCALIC R (U+090B)"
"U+090C", "\xe0\xa4\x8c", "DEVANAGARI LETTER VOCALIC L (U+090C)"
"U+090D", "\xe0\xa4\x8d", "DEVANAGARI LETTER CANDRA E (U+090D)"
"U+090E", "\xe0\xa4\x8e", "DEVANAGARI LETTER SHORT E (U+090E)"
"U+090F", "\xe0\xa4\x8f", "DEVANAGARI LETTER E (U+090F)"
"U+0910", "\xe0\xa4\x90", "DEVANAGARI LETTER AI (U+0910)"
"U+0911", "\xe0\xa4\x91", "DEVANAGARI LETTER CANDRA O (U+0911)"
"U+0912", "\xe0\xa4\x92", "DEVANAGARI LETTER SHORT O (U+0912)"
"U+0913", "\xe0\xa4\x93", "DEVANAGARI LETTER O (U+0913)"
"U+0914", "\xe0\xa4\x94", "DEVANAGARI LETTER AU (U+0914)"
"U+0915", "\xe0\xa4\x95", "DEVANAGARI LETTER KA (U+0915)"
"U+0916", "\xe0\xa4\x96", "DEVANAGARI LETTER KHA (U+0916)"
"U+0917", "\xe0\xa4\x97", "DEVANAGARI LETTER GA (U+0917)"
"U+0918", "\xe0\xa4\x98", "DEVANAGARI LETTER GHA (U+0918)"
"U+0919", "\xe0\xa4\x99", "DEVANAGARI LETTER NGA (U+0919)"
"U+091A", "\xe0\xa4\x9a", "DEVANAGARI LETTER CA (U+091A)"
"U+091B", "\xe0\xa4\x9b", "DEVANAGARI LETTER CHA (U+091B)"
"U+091C", "\xe0\xa4\x9c", "DEVANAGARI LETTER JA (U+091C)"
"U+091D", "\xe0\xa4\x9d", "DEVANAGARI LETTER JHA (U+091D)"
"U+091E", "\xe0\xa4\x9e", "DEVANAGARI LETTER NYA (U+091E)"
