# Unicode Characters in the Gujarati Block
# Source: http://www.fileformat.info/info/unicode/block/gujarati/list.htm
"U+0A81", "\xe0\xaa\x81", "GUJARATI SIGN CANDRABINDU (U+0A81)"
"U+0A82", "\xe0\xaa\x82", "GUJARATI SIGN ANUSVARA (U+0A82)"
"U+0A83", "\xe0\xaa\x83", "GUJARATI SIGN VISARGA (U+0A83)"
"U+0A85", "\xe0\xaa\x85", "GUJARATI LETTER A (U+0A85)"
"U+0A86", "\xe0\xaa\x86", "GUJARATI LETTER AA (U+0A86)"
"U+0A87", "\xe0\xaa\x87", "GUJARATI LETTER I (U+0A87)"
"U+0A88", "\xe0\xaa\x88", "GUJARATI LETTER II (U+0A88)"
"U+0A89", "\xe0\xaa\x89", "GUJARATI LETTER U (U+0A89)"
"U+0A8A", "\xe0\xaa\x8a", "GUJARATI LETTER UU (U+0A8A)"
"U+0A8B", "\xe0\xaa\x8b", "GUJARATI LETTER VOCALIC R (U+0A8B)"
"U+0A8C", "\xe0\xaa\x8c", "GUJARATI LETTER VOCALIC L (U+0A8C)"
"U+0A8D", "\xe0\xaa\x8d", "GUJARATI VOWEL CANDRA E (U+0A8D)"
"U+0A8F", "\xe0\xaa\x8f", "GUJARATI LETTER E (U+0A8F)"
"U+0A90", "\xe0\xaa\x90", "GUJARATI LETTER AI (U+0A90)"
"U+0A91", "\xe0\xaa\x91", "GUJARATI VOWEL CANDRA O (U+0A91)"
"U+0A93", "\xe0\xaa\x93", "GUJARATI LETTER O (U+0A93)"
"U+0A94", "\xe0\xaa\x94", "GUJARATI LETTER AU (U+0A94)"
"U+0A95", "\xe0\xaa\x95", "GUJARATI LETTER KA (U+0A95)"
"U+0A96", "\xe0\xaa\x96", "GUJARATI LETTER KHA (U+0A96)"
"U+0A97", "\xe0\xaa\x97", "GUJARATI LETTER GA (U+0A97)"
"U+0A98", "\xe0\xaa\x98", "GUJARATI LETTER GHA (U+0A98)"
"U+0A99", "\xe0\xaa\x99", "GUJARATI LETTER NGA (U+0A99)"
"U+0A9A", "\xe0\xaa\x9a", "GUJARATI LETTER CA (U+0A9A)"
"U+0A9B", "\xe0\xaa\x9b", "GUJARATI LETTER CHA (U+0A9B)"
"U+0A9C", "\xe0\xaa\x9c", "GUJARATI LETTER JA (U+0A9C)"
"U+0A9D", "\xe0\xaa\x9d", "GUJARATI LETTER JHA (U+0A9D)"
"U+0A9E", "\xe0\xaa\x9e", "GUJARATI LETTER NYA (U+0A9E)"
"U+0A9F", "\xe0\xaa\x9f", "GUJARATI LETTER TTA (U+0A9F)"
"U+0AA0", "\xe0\xaa\xa0", "GUJARATI LETTER TTHA (U+0AA0)"
"U+0AA1", "\xe0\xaa\xa1", "GUJARATI LETTER DDA (U+0AA1)"
"U+0AA2", "\xe0\xaa\xa2", "GUJARATI LETTER DDHA (U+0AA2)"
"U+0AA3", "\xe0\xaa\xa3", "GUJARATI LETTER NNA (U+0AA3)"
"U+0AA4", "\xe0\xaa\xa4", "GUJARATI LETTER TA (U+0AA4)"
"U+0AA5", "\xe0\xaa\xa5", "GUJARATI LETTER THA (U+0AA5)"
"U+0AA6", "\xe0\xaa\xa6", "GUJARATI LETTER DA (U+0AA6)"
"U+0AA7", "\xe0\xaa\xa7", "GUJARATI LETTER DHA (U+0AA7)"
"U+0AA8", "\xe0\xaa\xa8", "GUJARATI LETTER NA (U+0AA8)"
"U+0AAA", "\xe0\xaa\xaa", "GUJARATI LETTER PA (U+0AAA)"
"U+0AAB", "\xe0\xaa\xab", "GUJARATI LETTER PHA (U+0AAB)"
"U+0AAC", "\xe0\xaa\xac", "GUJARATI LETTER BA (U+0AAC)"
"U+0AAD", "\xe0\xaa\xad", "GUJARATI LETTER BHA (U+0AAD)"
"U+0AAE", "\xe0\xaa\xae", "GUJARATI LETTER MA (U+0AAE)"
"U+0AAF", "\xe0\xaa\xaf", "GUJARATI LETTER YA (U+0AAF)"
"U+0AB0", "\xe0\xaa\xb0", "GUJARATI LETTER RA (U+0AB0)"
"U+0AB2", "\xe0\xaa\xb2", "GUJARATI LETTER LA (U+0AB2)"
"U+0AB3", "\xe0\xaa\xb3", "GUJARATI LETTER LLA (U+0AB3)"
"U+0AB5", "\xe0\xaa\xb5", "GUJARATI LETTER VA (U+0AB5)"
"U+0AB6", "\xe0\xaa\xb6", "GUJARATI LETTER SHA (U+0AB6)"
"U+0AB7", "\xe0\xaa\xb7", "GUJARATI LETTER SSA (U+0AB7)"
"U+0AB8", "\xe0\xaa\xb8", "GUJARATI LETTER SA (U+0AB8)"
"U+0AB9", "\xe0\xaa\xb9", "GUJARATI LETTER HA (U+0AB9)"
"U+0ABC", "\xe0\xaa\xbc", "GUJARATI SIGN NUKTA (U+0ABC)"
"U+0ABD", "\xe0\xaa\xbd", "GUJARATI SIGN AVAGRAHA (U+0ABD)"
