# Unicode Characters in the Tamil Block
# Source: http://www.fileformat.info/info/unicode/block/tamil/list.htm
"U+0B82", "\xe0\xae\x82", "TAMIL SIGN ANUSVARA (U+0B82)"
"U+0B83", "\xe0\xae\x83", "TAMIL SIGN VISARGA (U+0B83)"
"U+0B85", "\xe0\xae\x85", "TAMIL LETTER A (U+0B85)"
"U+0B86", "\xe0\xae\x86", "TAMIL LETTER AA (U+0B86)"
"U+0B87", "\xe0\xae\x87", "TAMIL LETTER I (U+0B87)"
"U+0B88", "\xe0\xae\x88", "TAMIL LETTER II (U+0B88)"
"U+0B89", "\xe0\xae\x89", "TAMIL LETTER U (U+0B89)"
"U+0B8A", "\xe0\xae\x8a", "TAMIL LETTER UU (U+0B8A)"
"U+0B8E", "\xe0\xae\x8e", "TAMIL LETTER E (U+0B8E)"
"U+0B8F", "\xe0\xae\x8f", "TAMIL LETTER EE (U+0B8F)"
"U+0B90", "\xe0\xae\x90", "TAMIL LETTER AI (U+0B90)"
"U+0B92", "\xe0\xae\x92", "TAMIL LETTER O (U+0B92)"
"U+0B93", "\xe0\xae\x93", "TAMIL LETTER OO (U+0B93)"
"U+0B94", "\xe0\xae\x94", "TAMIL LETTER AU (U+0B94)"
"U+0B95", "\xe0\xae\x95", "TAMIL LETTER KA (U+0B95)"
"U+0B99", "\xe0\xae\x99", "TAMIL LETTER NGA (U+0B99)"
"U+0B9A", "\xe0\xae\x9a", "TAMIL LETTER CA (U+0B9A)"
"U+0B9C", "\xe0\xae\x9c", "TAMIL LETTER JA (U+0B9C)"
"U+0B9E", "\xe0\xae\x9e", "TAMIL LETTER NYA (U+0B9E)"
"U+0B9F", "\xe0\xae\x9f", "TAMIL LETTER TTA (U+0B9F)"
"U+0BA3", "\xe0\xae\xa3", "TAMIL LETTER NNA (U+0BA3)"
"U+0BA4", "\xe0\xae\xa4", "TAMIL LETTER TA (U+0BA4)"
"U+0BA8", "\xe0\xae\xa8", "TAMIL LETTER NA (U+0BA8)"
"U+0BA9", "\xe0\xae\xa9", "TAMIL LETTER NNNA (U+0BA9)"
"U+0BAA", "\xe0\xae\xaa", "TAMIL LETTER PA (U+0BAA)"
"U+0BAE", "\xe0\xae\xae", "TAMIL LETTER MA (U+0BAE)"
"U+0BAF", "\xe0\xae\xaf", "TAMIL LETTER YA (U+0BAF)"
