# Unicode Characters in the Telugu Block
# Source: http://www.fileformat.info/info/unicode/block/telugu/list.htm
"U+0C01", "\xe0\xb0\x81", "TELUGU SIGN CANDRABINDU (U+0C01)"
"U+0C02", "\xe0\xb0\x82", "TELUGU SIGN ANUSVARA (U+0C02)"
"U+0C03", "\xe0\xb0\x83", "TELUGU SIGN VISARGA (U+0C03)"
"U+0C05", "\xe0\xb0\x85", "TELUGU LETTER A (U+0C05)"
"U+0C06", "\xe0\xb0\x86", "TELUGU LETTER AA (U+0C06)"
"U+0C07", "\xe0\xb0\x87", "TELUGU LETTER I (U+0C07)"
"U+0C08", "\xe0\xb0\x88", "TELUGU LETTER II (U+0C08)"
"U+0C09", "\xe0\xb0\x89", "TELUGU LETTER U (U+0C09)"
"U+0C0A", "\xe0\xb0\x8a", "TELUGU LETTER UU (U+0C0A)"
"U+0C0B", "\xe0\xb0\x8b", "TELUGU LETTER VOCALIC R (U+0C0B)"
"U+0C0C", "\xe0\xb0\x8c", "TELUGU LETTER VOCALIC L (U+0C0C)"
"U+0C0E", "\xe0\xb0\x8e", "TELUGU LETTER E (U+0C0E)"
"U+0C0F", "\xe0\xb0\x8f", "TELUGU LETTER EE (U+0C0F)"
"U+0C10", "\xe0\xb0\x90", "TELUGU LETTER AI (U+0C10)"
"U+0C12", "\xe0\xb0\x92", "TELUGU LETTER O (U+0C12)"
"U+0C13", "\xe0\xb0\x93", "TELUGU LETTER OO (U+0C13)"
"U+0C14", "\xe0\xb0\x94", "TELUGU LETTER AU (U+0C14)"
"U+0C15", "\xe0\xb0\x95", "TELUGU LETTER KA (U+0C15)"
"U+0C16", "\xe0\xb0\x96", "TELUGU LETTER KHA (U+0C16)"
"U+0C17", "\xe0\xb0\x97", "TELUGU LETTER GA (U+0C17)"
"U+0C18", "\xe0\xb0\x98", "TELUGU LETTER GHA (U+0C18)"
"U+0C19", "\xe0\xb0\x99", "TELUGU LETTER NGA (U+0C19)"
"U+0C1A", "\xe0\xb0\x9a", "TELUGU LETTER CA (U+0C1A)"
"U+0C1B", "\xe0\xb0\x9b", "TELUGU LETTER CHA (U+0C1B)"
"U+0C1C", "\xe0\xb0\x9c", "TELUGU LETTER JA (U+0C1C)"
"U+0C1D", "\xe0\xb0\x9d", "TELUGU LETTER JHA (U+0C1D)"
"U+0C1E", "\xe0\xb0\x9e", "TELUGU LETTER NYA (U+0C1E)"
"U+0C1F", "\xe0\xb0\x9f", "TELUGU LETTER TTA (U+0C1F)"
"U+0C20", "\xe0\xb0\xa0", "TELUGU LETTER TTHA (U+0C20)"
"U+0C21", "\xe0\xb0\xa1", "TELUGU LETTER DDA (U+0C21)"
"U+0C22", "\xe0\xb0\xa2", "TELUGU LETTER DDHA (U+0C22)"
"U+0C23", "\xe0\xb0\xa3", "TELUGU LETTER NNA (U+0C23)"
"U+0C24", "\xe0\xb0\xa4", "TELUGU LETTER TA (U+0C24)"
"U+0C25", "\xe0\xb0\xa5", "TELUGU LETTER THA (U+0C25)"
"U+0C26", "\xe0\xb0\xa6", "TELUGU LETTER DA (U+0C26)"
"U+0C27", "\xe0\xb0\xa7", "TELUGU LETTER DHA (U+0C27)"
"U+0C28", "\xe0\xb0\xa8", "TELUGU LETTER NA (U+0C28)"
"U+0C2A", "\xe0\xb0\xaa", "TELUGU LETTER PA (U+0C2A)"
"U+0C2B", "\xe0\xb0\xab", "TELUGU LETTER PHA (U+0C2B)"
"U+0C2C", "\xe0\xb0\xac", "TELUGU LETTER BA (U+0C2C)"
"U+0C2D", "\xe0\xb0\xad", "TELUGU LETTER BHA (U+0C2D)"
"U+0C2E", "\xe0\xb0\xae", "TELUGU LETTER MA (U+0C2E)"
"U+0C2F", "\xe0\xb0\xaf", "TELUGU LETTER YA (U+0C2F)"
"U+0C30", "\xe0\xb0\xb0", "TELUGU LETTER RA (U+0C30)"
"U+0C31", "\xe0\xb0\xb1", "TELUGU LETTER RRA (U+0C31)"
"U+0C32", "\xe0\xb0\xb2", "TELUGU LETTER LA (U+0C32)"
"U+0C33", "\xe0\xb0\xb3", "TELUGU LETTER LLA (U+0C33)"
"U+0C35", "\xe0\xb0\xb5", "TELUGU LETTER VA (U+0C35)"
"U+0C36", "\xe0\xb0\xb6", "TELUGU LETTER SHA (U+0C36)"
"U+0C37", "\xe0\xb0\xb7", "TELUGU LETTER SSA (U+0C37)"
"U+0C38", "\xe0\xb0\xb8", "TELUGU LETTER SA (U+0C38)"
"U+0C39", "\xe0\xb0\xb9", "TELUGU LETTER HA (U+0C39)"
"U+0C3D", "\xe0\xb0\xbd", "TELUGU SIGN AVAGRAHA (U+0C3D)"
"U+0C3E", "\xe0\xb0\xbe", "TELUGU VOWEL SIGN AA (U+0C3E)"
