# Unicode Characters in the Malayalam Block
# Source: http://www.fileformat.info/info/unicode/block/malayalam/list.htm
"U+0D02", "\xe0\xb4\x82", "MALAYALAM SIGN ANUSVARA (U+0D02)"
"U+0D03", "\xe0\xb4\x83", "MALAYALAM SIGN VISARGA (U+0D03)"
"U+0D05", "\xe0\xb4\x85", "MALAYALAM LETTER A (U+0D05)"
"U+0D06", "\xe0\xb4\x86", "MALAYALAM LETTER AA (U+0D06)"
"U+0D07", "\xe0\xb4\x87", "MALAYALAM LETTER I (U+0D07)"
"U+0D08", "\xe0\xb4\x88", "MALAYALAM LETTER II (U+0D08)"
"U+0D09", "\xe0\xb4\x89", "MALAYALAM LETTER U (U+0D09)"
"U+0D0A", "\xe0\xb4\x8a", "MALAYALAM LETTER UU (U+0D0A)"
"U+0D0B", "\xe0\xb4\x8b", "MALAYALAM LETTER VOCALIC R (U+0D0B)"
"U+0D0C", "\xe0\xb4\x8c", "MALAYALAM LETTER VOCALIC L (U+0D0C)"
"U+0D0E", "\xe0\xb4\x8e", "MALAYALAM LETTER E (U+0D0E)"
"U+0D0F", "\xe0\xb4\x8f", "MALAYALAM LETTER EE (U+0D0F)"
"U+0D10", "\xe0\xb4\x90", "MALAYALAM LETTER AI (U+0D10)"
"U+0D12", "\xe0\xb4\x92", "MALAYALAM LETTER O (U+0D12)"
"U+0D13", "\xe0\xb4\x93", "MALAYALAM LETTER OO (U+0D13)"
"U+0D14", "\xe0\xb4\x94", "MALAYALAM LETTER AU (U+0D14)"
"U+0D15", "\xe0\xb4\x95", "MALAYALAM LETTER KA (U+0D15)"
"U+0D16", "\xe0\xb4\x96", "MALAYALAM LETTER KHA (U+0D16)"
"U+0D17", "\xe0\xb4\x97", "MALAYALAM LETTER GA (U+0D17)"
"U+0D18", "\xe0\xb4\x98", "MALAYALAM LETTER GHA (U+0D18)"
"U+0D19", "\xe0\xb4\x99", "MALAYALAM LETTER NGA (U+0D19)"
"U+0D1A", "\xe0\xb4\x9a", "MALAYALAM LETTER CA (U+0D1A)"
"U+0D1B", "\xe0\xb4\x9b", "MALAYALAM LETTER CHA (U+0D1B)"
"U+0D1C", "\xe0\xb4\x9c", "MALAYALAM LETTER JA (U+0D1C)"
"U+0D1D", "\xe0\xb4\x9d", "MALAYALAM LETTER JHA (U+0D1D)"
"U+0D1E", "\xe0\xb4\x9e", "MALAYALAM LETTER NYA (U+0D1E)"
"U+0D1F", "\xe0\xb4\x9f", "MALAYALAM LETTER TTA (U+0D1F)"
"U+0D20", "\xe0\xb4\xa0", "MALAYALAM LETTER TTHA (U+0D20)"
"U+0D21", "\xe0\xb4\xa1", "MALAYALAM LETTER DDA (U+0D21)"
"U+0D22", "\xe0\xb4\xa2", "MALAYALAM LETTER DDHA (U+0D22)"
"U+0D23", "\xe0\xb4\xa3", "MALAYALAM LETTER NNA (U+0D23)"
"U+0D24", "\xe0\xb4\xa4", "MALAYALAM LETTER TA (U+0D24)"
"U+0D25", "\xe0\xb4\xa5", "MALAYALAM LETTER THA (U+0D25)"
"U+0D26", "\xe0\xb4\xa6", "MALAYALAM LETTER DA (U+0D26)"
"U+0D27", "\xe0\xb4\xa7", "MALAYALAM LETTER DHA (U+0D27)"
"U+0D28", "\xe0\xb4\xa8", "MALAYALAM LETTER NA (U+0D28)"
"U+0D29", "\xe0\xb4\xa9", "MALAYALAM LETTER NNNA (U+0D29)"
"U+0D2A", "\xe0\xb4\xaa", "MALAYALAM LETTER PA (U+0D2A)"
"U+0D2B", "\xe0\xb4\xab", "MALAYALAM LETTER PHA (U+0D2B)"
"U+0D2C", "\xe0\xb4\xac", "MALAYALAM LETTER BA (U+0D2C)"
"U+0D2D", "\xe0\xb4\xad", "MALAYALAM LETTER BHA (U+0D2D)"
"U+0D2E", "\xe0\xb4\xae", "MALAYALAM LETTER MA (U+0D2E)"
"U+0D2F", "\xe0\xb4\xaf", "MALAYALAM LETTER YA (U+0D2F)"
"U+0D30", "\xe0\xb4\xb0", "MALAYALAM LETTER RA (U+0D30)"
"U+0D31", "\xe0\xb4\xb1", "MALAYALAM LETTER RRA (U+0D31)"
"U+0D32", "\xe0\xb4\xb2", "MALAYALAM LETTER LA (U+0D32)"
"U+0D33", "\xe0\xb4\xb3", "MALAYALAM LETTER LLA (U+0D33)"
"U+0D34", "\xe0\xb4\xb4", "MALAYALAM LETTER LLLA (U+0D34)"
"U+0D35", "\xe0\xb4\xb5", "MALAYALAM LETTER VA (U+0D35)"
"U+0D36", "\xe0\xb4\xb6", "MALAYALAM LETTER SHA (U+0D36)"
"U+0D37", "\xe0\xb4\xb7", "MALAYALAM LETTER SSA (U+0D37)"
"U+0D38", "\xe0\xb4\xb8", "MALAYALAM LETTER SA (U+0D38)"
"U+0D39", "\xe0\xb4\xb9", "MALAYALAM LETTER HA (U+0D39)"
"U+0D3A", "\xe0\xb4\xba", "MALAYALAM LETTER TTTA (U+0D3A)"
"U+0D3D", "\xe0\xb4\xbd", "MALAYALAM SIGN AVAGRAHA (U+0D3D)"
"U+0D3E", "\xe0\xb4\xbe", "MALAYALAM VOWEL SIGN AA (U+0D3E)"
"U+0D3F", "\xe0\xb4\xbf", "MALAYALAM VOWEL SIGN I (U+0D3F)"
"U+0D40", "\xe0\xb5\x80", "MALAYALAM VOWEL SIGN II (U+0D40)"
"U+0D41", "\xe0\xb5\x81", "MALAYALAM VOWEL SIGN U (U+0D41)"
"U+0D42", "\xe0\xb5\x82", "MALAYALAM VOWEL SIGN UU (U+0D42)"
"U+0D43", "\xe0\xb5\x83", "MALAYALAM VOWEL SIGN VOCALIC R (U+0D43)"
"U+0D44", "\xe0\xb5\x84", "MALAYALAM VOWEL SIGN VOCALIC RR (U+0D44)"
"U+0D46", "\xe0\xb5\x86", "MALAYALAM VOWEL SIGN E (U+0D46)"
"U+0D47", "\xe0\xb5\x87", "MALAYALAM VOWEL SIGN EE (U+0D47)"
"U+0D48", "\xe0\xb5\x88", "MALAYALAM VOWEL SIGN AI (U+0D48)"
"U+0D4A", "\xe0\xb5\x8a", "MALAYALAM VOWEL SIGN O (U+0D4A)"
"U+0D4B", "\xe0\xb5\x8b", "MALAYALAM VOWEL SIGN OO (U+0D4B)"
"U+0D4C", "\xe0\xb5\x8c", "MALAYALAM VOWEL SIGN AU (U+0D4C)"
"U+0D4D", "\xe0\xb5\x8d", "MALAYALAM SIGN VIRAMA (U+0D4D)"
